video_id,lang,text,timecode
b7WH30_8vos,English,"Uh, real quick, we've just released another  set of enamel pins! We finally got Zeus and  ",0:00 / 14:50
b7WH30_8vos,English,"Uh, real quick, we've just released another  set of enamel pins! We finally got Zeus and  ",0:01 / 14:50
b7WH30_8vos,English,"Uh, real quick, we've just released another  set of enamel pins! We finally got Zeus and  ",0:02 / 14:50
b7WH30_8vos,English,"Hera ready to go, brought together  by their mutual dislike of Jason,  ",0:03 / 14:50
b7WH30_8vos,English,"Hera ready to go, brought together  by their mutual dislike of Jason,  ",0:04 / 14:50
b7WH30_8vos,English,"Hera ready to go, brought together  by their mutual dislike of Jason,  ",0:05 / 14:50
b7WH30_8vos,English,"Hera ready to go, brought together  by their mutual dislike of Jason,  ",0:06 / 14:50
b7WH30_8vos,English,"and I'm honestly really happy  with how these ones turned out,  ",0:06 / 14:50
b7WH30_8vos,English,"and I'm honestly really happy  with how these ones turned out,  ",0:07 / 14:50
b7WH30_8vos,English,"and I'm honestly really happy  with how these ones turned out,  ",0:08 / 14:50
b7WH30_8vos,English,so check out the link to our crowdmate  shop and snag a set before they're gone!,0:09 / 14:50
b7WH30_8vos,English,so check out the link to our crowdmate  shop and snag a set before they're gone!,0:10 / 14:50
b7WH30_8vos,English,,0:11 / 14:50
b7WH30_8vos,English,,0:12 / 14:50
b7WH30_8vos,English,I don’t think it’s exactly controversial to  suggest that Greek Mythology is a bit lacking  ,0:12 / 14:50
b7WH30_8vos,English,I don’t think it’s exactly controversial to  suggest that Greek Mythology is a bit lacking  ,0:13 / 14:50
b7WH30_8vos,English,I don’t think it’s exactly controversial to  suggest that Greek Mythology is a bit lacking  ,0:14 / 14:50
b7WH30_8vos,English,I don’t think it’s exactly controversial to  suggest that Greek Mythology is a bit lacking  ,0:15 / 14:50
b7WH30_8vos,English,I don’t think it’s exactly controversial to  suggest that Greek Mythology is a bit lacking  ,0:16 / 14:50
b7WH30_8vos,English,"in the “nuanced female characters” department. The  goddesses have their fair share of personality,  ",0:17 / 14:50
b7WH30_8vos,English,"in the “nuanced female characters” department. The  goddesses have their fair share of personality,  ",0:18 / 14:50
b7WH30_8vos,English,"in the “nuanced female characters” department. The  goddesses have their fair share of personality,  ",0:19 / 14:50
b7WH30_8vos,English,"in the “nuanced female characters” department. The  goddesses have their fair share of personality,  ",0:20 / 14:50
b7WH30_8vos,English,"in the “nuanced female characters” department. The  goddesses have their fair share of personality,  ",0:21 / 14:50
b7WH30_8vos,English,"and you do get the occasional anomalous powerhouse  like Atalanta and Circe, but for the most part,  ",0:21 / 14:50
b7WH30_8vos,English,"and you do get the occasional anomalous powerhouse  like Atalanta and Circe, but for the most part,  ",0:22 / 14:50
b7WH30_8vos,English,"and you do get the occasional anomalous powerhouse  like Atalanta and Circe, but for the most part,  ",0:23 / 14:50
b7WH30_8vos,English,"and you do get the occasional anomalous powerhouse  like Atalanta and Circe, but for the most part,  ",0:24 / 14:50
b7WH30_8vos,English,"and you do get the occasional anomalous powerhouse  like Atalanta and Circe, but for the most part,  ",0:25 / 14:50
b7WH30_8vos,English,"the ladies of greek mythology are fairly one-note  - queens who mother heroes, princesses who fall  ",0:25 / 14:50
b7WH30_8vos,English,"the ladies of greek mythology are fairly one-note  - queens who mother heroes, princesses who fall  ",0:26 / 14:50
b7WH30_8vos,English,"the ladies of greek mythology are fairly one-note  - queens who mother heroes, princesses who fall  ",0:27 / 14:50
b7WH30_8vos,English,"the ladies of greek mythology are fairly one-note  - queens who mother heroes, princesses who fall  ",0:28 / 14:50
b7WH30_8vos,English,"the ladies of greek mythology are fairly one-note  - queens who mother heroes, princesses who fall  ",0:29 / 14:50
b7WH30_8vos,English,"the ladies of greek mythology are fairly one-note  - queens who mother heroes, princesses who fall  ",0:30 / 14:50
b7WH30_8vos,English,"in love with heroes, random targets of divine  retribution, Zeus’s victims of the week. Not  ",0:30 / 14:50
b7WH30_8vos,English,"in love with heroes, random targets of divine  retribution, Zeus’s victims of the week. Not  ",0:31 / 14:50
b7WH30_8vos,English,"in love with heroes, random targets of divine  retribution, Zeus’s victims of the week. Not  ",0:32 / 14:50
b7WH30_8vos,English,"in love with heroes, random targets of divine  retribution, Zeus’s victims of the week. Not  ",0:33 / 14:50
b7WH30_8vos,English,"in love with heroes, random targets of divine  retribution, Zeus’s victims of the week. Not  ",0:34 / 14:50
b7WH30_8vos,English,"a whole lot of variety, and certainly not much in  the depth department. Usually the most interesting  ",0:35 / 14:50
b7WH30_8vos,English,"a whole lot of variety, and certainly not much in  the depth department. Usually the most interesting  ",0:36 / 14:50
b7WH30_8vos,English,"a whole lot of variety, and certainly not much in  the depth department. Usually the most interesting  ",0:37 / 14:50
b7WH30_8vos,English,"a whole lot of variety, and certainly not much in  the depth department. Usually the most interesting  ",0:38 / 14:50
b7WH30_8vos,English,"a whole lot of variety, and certainly not much in  the depth department. Usually the most interesting  ",0:39 / 14:50
b7WH30_8vos,English,thing about these women is either what hero they  boinked or how they died. Nice to know modern  ,0:40 / 14:50
b7WH30_8vos,English,thing about these women is either what hero they  boinked or how they died. Nice to know modern  ,0:41 / 14:50
b7WH30_8vos,English,thing about these women is either what hero they  boinked or how they died. Nice to know modern  ,0:42 / 14:50
b7WH30_8vos,English,thing about these women is either what hero they  boinked or how they died. Nice to know modern  ,0:43 / 14:50
b7WH30_8vos,English,"media’s really sticking to its roots on that one! But there’s one crowning exception to the rule,  ",0:43 / 14:50
b7WH30_8vos,English,"media’s really sticking to its roots on that one! But there’s one crowning exception to the rule,  ",0:44 / 14:50
b7WH30_8vos,English,"media’s really sticking to its roots on that one! But there’s one crowning exception to the rule,  ",0:45 / 14:50
b7WH30_8vos,English,"media’s really sticking to its roots on that one! But there’s one crowning exception to the rule,  ",0:46 / 14:50
b7WH30_8vos,English,"and that is Medea. Granddaughter of Helios,  princess of Colchis, powerful sorceress,  ",0:47 / 14:50
b7WH30_8vos,English,"and that is Medea. Granddaughter of Helios,  princess of Colchis, powerful sorceress,  ",0:48 / 14:50
b7WH30_8vos,English,"and that is Medea. Granddaughter of Helios,  princess of Colchis, powerful sorceress,  ",0:49 / 14:50
b7WH30_8vos,English,"and that is Medea. Granddaughter of Helios,  princess of Colchis, powerful sorceress,  ",0:50 / 14:50
b7WH30_8vos,English,"and that is Medea. Granddaughter of Helios,  princess of Colchis, powerful sorceress,  ",0:51 / 14:50
b7WH30_8vos,English,"and somewhere in the gray area between girlboss  and supervillain, Medea is anything but boring.  ",0:51 / 14:50
b7WH30_8vos,English,"and somewhere in the gray area between girlboss  and supervillain, Medea is anything but boring.  ",0:52 / 14:50
b7WH30_8vos,English,"and somewhere in the gray area between girlboss  and supervillain, Medea is anything but boring.  ",0:53 / 14:50
b7WH30_8vos,English,"and somewhere in the gray area between girlboss  and supervillain, Medea is anything but boring.  ",0:54 / 14:50
b7WH30_8vos,English,"and somewhere in the gray area between girlboss  and supervillain, Medea is anything but boring.  ",0:55 / 14:50
b7WH30_8vos,English,"and somewhere in the gray area between girlboss  and supervillain, Medea is anything but boring.  ",0:56 / 14:50
b7WH30_8vos,English,"She shows up off and on through later Greek  mythology, but her story is mostly codified  ",0:57 / 14:50
b7WH30_8vos,English,"She shows up off and on through later Greek  mythology, but her story is mostly codified  ",0:58 / 14:50
b7WH30_8vos,English,"She shows up off and on through later Greek  mythology, but her story is mostly codified  ",0:59 / 14:50
b7WH30_8vos,English,"She shows up off and on through later Greek  mythology, but her story is mostly codified  ",1:00 / 14:50
b7WH30_8vos,English,"in two texts - first, the Argonautica, a Greek  epic poem from the 200s BCE written by Apollonius  ",1:00 / 14:50
b7WH30_8vos,English,"in two texts - first, the Argonautica, a Greek  epic poem from the 200s BCE written by Apollonius  ",1:01 / 14:50
b7WH30_8vos,English,"in two texts - first, the Argonautica, a Greek  epic poem from the 200s BCE written by Apollonius  ",1:02 / 14:50
b7WH30_8vos,English,"in two texts - first, the Argonautica, a Greek  epic poem from the 200s BCE written by Apollonius  ",1:03 / 14:50
b7WH30_8vos,English,"in two texts - first, the Argonautica, a Greek  epic poem from the 200s BCE written by Apollonius  ",1:04 / 14:50
b7WH30_8vos,English,"in two texts - first, the Argonautica, a Greek  epic poem from the 200s BCE written by Apollonius  ",1:05 / 14:50
b7WH30_8vos,English,"Rhodius and based on the well-known Hellenistic  mythology of the time; and second, Medea, a tragic  ",1:06 / 14:50
b7WH30_8vos,English,"Rhodius and based on the well-known Hellenistic  mythology of the time; and second, Medea, a tragic  ",1:07 / 14:50
b7WH30_8vos,English,"Rhodius and based on the well-known Hellenistic  mythology of the time; and second, Medea, a tragic  ",1:08 / 14:50
b7WH30_8vos,English,"Rhodius and based on the well-known Hellenistic  mythology of the time; and second, Medea, a tragic  ",1:09 / 14:50
b7WH30_8vos,English,"Rhodius and based on the well-known Hellenistic  mythology of the time; and second, Medea, a tragic  ",1:10 / 14:50
b7WH30_8vos,English,"play written earlier by Euripides around 431  BCE. The first half of her life is an epic, the  ",1:10 / 14:50
b7WH30_8vos,English,"play written earlier by Euripides around 431  BCE. The first half of her life is an epic, the  ",1:11 / 14:50
b7WH30_8vos,English,"play written earlier by Euripides around 431  BCE. The first half of her life is an epic, the  ",1:12 / 14:50
b7WH30_8vos,English,"play written earlier by Euripides around 431  BCE. The first half of her life is an epic, the  ",1:13 / 14:50
b7WH30_8vos,English,"play written earlier by Euripides around 431  BCE. The first half of her life is an epic, the  ",1:14 / 14:50
b7WH30_8vos,English,"play written earlier by Euripides around 431  BCE. The first half of her life is an epic, the  ",1:15 / 14:50
b7WH30_8vos,English,second half is a tragedy - I think we can safely  assume this story is gonna have some twists in it.,1:15 / 14:50
b7WH30_8vos,English,second half is a tragedy - I think we can safely  assume this story is gonna have some twists in it.,1:16 / 14:50
b7WH30_8vos,English,second half is a tragedy - I think we can safely  assume this story is gonna have some twists in it.,1:17 / 14:50
b7WH30_8vos,English,second half is a tragedy - I think we can safely  assume this story is gonna have some twists in it.,1:18 / 14:50
b7WH30_8vos,English,second half is a tragedy - I think we can safely  assume this story is gonna have some twists in it.,1:19 / 14:50
b7WH30_8vos,English,Now this video is not about the Argonautica.  It’s about Medea. So we’re gonna play a  ,1:20 / 14:50
b7WH30_8vos,English,Now this video is not about the Argonautica.  It’s about Medea. So we’re gonna play a  ,1:21 / 14:50
b7WH30_8vos,English,Now this video is not about the Argonautica.  It’s about Medea. So we’re gonna play a  ,1:22 / 14:50
b7WH30_8vos,English,Now this video is not about the Argonautica.  It’s about Medea. So we’re gonna play a  ,1:23 / 14:50
b7WH30_8vos,English,Now this video is not about the Argonautica.  It’s about Medea. So we’re gonna play a  ,1:24 / 14:50
b7WH30_8vos,English,little fast and loose with this summary  until our leading lady hits the stage.  ,1:24 / 14:50
b7WH30_8vos,English,little fast and loose with this summary  until our leading lady hits the stage.  ,1:25 / 14:50
b7WH30_8vos,English,little fast and loose with this summary  until our leading lady hits the stage.  ,1:26 / 14:50
b7WH30_8vos,English,Got it? Good. Now the events of the Argonautica  take place a few decades before the Trojan  ,1:27 / 14:50
b7WH30_8vos,English,Got it? Good. Now the events of the Argonautica  take place a few decades before the Trojan  ,1:28 / 14:50
b7WH30_8vos,English,Got it? Good. Now the events of the Argonautica  take place a few decades before the Trojan  ,1:29 / 14:50
