video_id,lang,text,timecode
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:00 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:01 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:02 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:03 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:04 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:05 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Thank you, everybody.",0:06 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,[cheers and applause] -Whoo!,0:07 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,[cheers and applause] -Whoo!,0:08 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,[cheers and applause] -Whoo!,0:09 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,[cheers and applause] -Whoo!,0:10 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,[cheers and applause] -Whoo!,0:11 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,[cheers and applause] -Whoo!,0:12 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:12 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:13 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:14 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Okay, so this is for the authorization",0:15 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Okay, so this is for the authorization",0:16 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Okay, so this is for the authorization",0:17 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Okay, so this is for the authorization",0:18 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"-Okay, so this is for the authorization",0:19 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,of the needs assistance program major disasters,0:19 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,of the needs assistance program major disasters,0:20 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,of the needs assistance program major disasters,0:21 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,declaration related to the coronavirus disease.,0:22 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,declaration related to the coronavirus disease.,0:23 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,declaration related to the coronavirus disease.,0:24 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,declaration related to the coronavirus disease.,0:25 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:26 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:27 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:28 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:29 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:30 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:31 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:32 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:33 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"Okay, got it?",0:33 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"Okay, got it?",0:34 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:35 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:36 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:37 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,-Yeah. -Okay?,0:38 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,-Yeah. -Okay?,0:39 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,-Yeah. -Okay?,0:40 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:41 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:42 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:43 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:44 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:45 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:46 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:47 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:48 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:49 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:50 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:51 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:52 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:53 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:54 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,0:55 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",0:55 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",0:56 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",0:57 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",0:58 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",0:59 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",1:00 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"So this is, ""With the authority vested in me...""",1:01 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is the payment relief during the COVID-19 pandemic.,1:01 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is the payment relief during the COVID-19 pandemic.,1:02 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is the payment relief during the COVID-19 pandemic.,1:03 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is the payment relief during the COVID-19 pandemic.,1:04 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is the payment relief during the COVID-19 pandemic.,1:05 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is the payment relief during the COVID-19 pandemic.,1:06 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:07 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:08 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:09 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:10 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:11 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:12 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is fighting the spread of the COVID-19,1:12 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is fighting the spread of the COVID-19,1:13 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is fighting the spread of the COVID-19,1:14 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,This is fighting the spread of the COVID-19,1:15 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,by providing assistance to renters and homeowners,1:15 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,by providing assistance to renters and homeowners,1:16 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,by providing assistance to renters and homeowners,1:17 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,by providing assistance to renters and homeowners,1:18 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,with doing assistance.,1:19 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,with doing assistance.,1:20 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:21 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:22 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:23 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:24 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:25 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:26 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:27 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:28 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:29 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:30 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:31 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:32 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,,1:33 / 2:17
THQH9QJKrIE,English - PostTV Closed Captions,"And this is defer all payroll tax obligations,",1:33 / 2:17
