"video_id","min_timecode","max_timecode","text.user","text.auto"
"ijjxidpq154","00:00:00","00:00:00","","today"
"ijjxidpq154","00:00:01","00:00:02","- Today is an important day.","is an important day it's star"
"ijjxidpq154","00:00:02","00:00:04","It's Star Wars Day.","wars day may the fourth"
"ijjxidpq154","00:00:04","00:00:05","May the Fourth be with you,","be with you"
"ijjxidpq154","00:00:05","00:00:06","","but tomorrow"
"ijjxidpq154","00:00:08","00:00:09","tomorrow is NASCAR day.","tomorrow is nascar"
"ijjxidpq154","00:00:13","00:00:15","","day"
"ijjxidpq154","00:00:16","00:00:19","May 5th is the full unveiling of the 7th Generation","may 5th is the full unveiling of the seventh generation is the full unveiling of the seventh generation"
"ijjxidpq154","00:00:20","00:00:21","NASCAR Cup Car.","nascar cup car"
"ijjxidpq154","00:00:22","00:00:23","NASCAR, they have pulled out all the stops","nascar they have pulled out all the stops"
"ijjxidpq154","00:00:24","00:00:26","and have built one of the most advanced cars","and have built one of the most advanced cars to"
"ijjxidpq154","00:00:27","00:00:28","to ever go round and round a racetrack,","ever go round and round race track but"
"ijjxidpq154","00:00:29","00:00:29","but I'm impatient.","i'm impatient"
"ijjxidpq154","00:00:30","00:00:31","I couldn't wait for tomorrow.","i couldn't wait for tomorrow so today"
"ijjxidpq154","00:00:31","00:00:34","So today, we're gonna see what changes were made","we're going to see what changes were made to"
"ijjxidpq154","00:00:34","00:00:37","to this new age Cup Car and how they all work.","this new age cup car and how they all work"
"ijjxidpq154","00:00:38","00:00:40","NASCAR's putting the stock back in stock car,","nascar is putting the stock back in stock car"
"ijjxidpq154","00:00:41","00:00:41","kind of.","kind stock car kind"
"ijjxidpq154","00:00:42","00:00:44","(upbeat music)","of"
"ijjxidpq154","00:00:45","00:00:47","",""
"ijjxidpq154","00:00:48","00:00:49","- Big thanks to Omaze for sponsoring this episode.","big thanks to amaze for sponsoring this episode"
"ijjxidpq154","00:00:50","00:00:52","I'm out here at James' private Island","i'm out here at james's private island off the coast"
"ijjxidpq154","00:00:52","00:00:53","off the coast of Costa Rica","of costa rica"
"ijjxidpq154","00:00:54","00:00:55","to help train an awesome truck","to help train an awesome truck"
"ijjxidpq154","00:00:56","00:00:57","for one of you to win.","for one of you to win oh"
"ijjxidpq154","00:00:57","00:00:59","Oh oh, hey!","hey ah"
"ijjxidpq154","00:00:59","00:01:00","Ah, hey hey.","hey charlie"
"ijjxidpq154","00:01:00","00:01:02","Charlie, settle.","settle"
"ijjxidpq154","00:01:03","00:01:04","Settle. Okay.","settle okay"
"ijjxidpq154","00:01:04","00:01:06","","this"
"ijjxidpq154","00:01:06","00:01:09","This is the Ram 1500 TRX","is the ram 1500 trx"
"ijjxidpq154","00:01:10","00:01:10","and thanks to Omaze,","and thanks to amaze"
"ijjxidpq154","00:01:11","00:01:13","one of you has the chance to own it.","one of you has the chance to own it not only could you"
"ijjxidpq154","00:01:13","00:01:14","Not only could you win this awesome off-roader","this awesome off-roader"
"ijjxidpq154","00:01:15","00:01:16","with taxes and shipping included,","with taxes and shipping included"
"ijjxidpq154","00:01:17","00:01:19","you'll also win $20,000 cash.","you'll also win 20 000"
"ijjxidpq154","00:01:20","00:01:22","The Ram 1500 is the king of performance trucks","cash the ram 1500 is the king of performance trucks and it's"
"ijjxidpq154","00:01:22","00:01:24","and it's got the heart of a Hellcat","got the heart of a hellcat with a 702"
"ijjxidpq154","00:01:24","00:01:27","with a 702 horsepower supercharged V8 under the hood.","horsepower supercharged v8 under the"
"ijjxidpq154","00:01:28","00:01:31","It's been clocked doing zero to 60 in 3.7 seconds.","hood it's been clocked doing 0-60 in 3.7 seconds"
"ijjxidpq154","00:01:32","00:01:34","(motor zipping)","but it's"
"ijjxidpq154","00:01:34","00:01:35","But it's not all about speed.","not all about speed the"
"ijjxidpq154","00:01:35","00:01:37","The Ram TRX lets you ride in comfort","ram trx lets you ride in comfort wherever"
"ijjxidpq154","00:01:38","00:01:39","wherever you tear it up.","you tear it up it's got 35-inch"
"ijjxidpq154","00:01:39","00:01:40","It's got 35 inch tires,","tires"
