video_id,lang,text,timecode
TUd-AUvQms4,English - CC1,,0:00 / 2:29
TUd-AUvQms4,English - CC1,,0:01 / 2:29
TUd-AUvQms4,English - CC1,,0:02 / 2:29
TUd-AUvQms4,English - CC1,,0:03 / 2:29
TUd-AUvQms4,English - CC1,,0:04 / 2:29
TUd-AUvQms4,English - CC1,,0:05 / 2:29
TUd-AUvQms4,English - CC1,>> ANGELA TAYLOR: NO WORD YET,0:05 / 2:29
TUd-AUvQms4,English - CC1,>> ANGELA TAYLOR: NO WORD YET ON WHEN THE EXTENSION WILL,0:06 / 2:29
TUd-AUvQms4,English - CC1,>> ANGELA TAYLOR: NO WORD YET ON WHEN THE EXTENSION WILL BE BROUGHT UP FOR,0:06 / 2:29
TUd-AUvQms4,English - CC1,>> ANGELA TAYLOR: NO WORD YET ON WHEN THE EXTENSION WILL BE BROUGHT UP FOR,0:07 / 2:29
TUd-AUvQms4,English - CC1,>> ANGELA TAYLOR: NO WORD YET ON WHEN THE EXTENSION WILL BE BROUGHT UP FOR,0:08 / 2:29
TUd-AUvQms4,English - CC1,"ON WHEN THE EXTENSION WILL BE BROUGHT UP FOR A VOTE, MORE STIMULUS MONE",0:08 / 2:29
TUd-AUvQms4,English - CC1,"BROUGHT UP FOR A VOTE, MORE STIMULUS MONEY BEING SENT TO MILLIONS",0:09 / 2:29
TUd-AUvQms4,English - CC1,"A VOTE, MORE STIMULUS MONEY BEING SENT TO MILLIONS OF AMERICANS TODAY. BUT",0:09 / 2:29
TUd-AUvQms4,English - CC1,"A VOTE, MORE STIMULUS MONEY BEING SENT TO MILLIONS OF AMERICANS TODAY. BUT SOME",0:10 / 2:29
TUd-AUvQms4,English - CC1,"A VOTE, MORE STIMULUS MONEY BEING SENT TO MILLIONS OF AMERICANS TODAY. BUT SOME",0:11 / 2:29
TUd-AUvQms4,English - CC1,BEING SENT TO MILLIONS OF AMERICANS TODAY. BUT SOME PEOPLE ARE HAVING ,0:11 / 2:29
TUd-AUvQms4,English - CC1,AMERICANS TODAY. BUT SOME PEOPLE ARE HAVING PROBLEMS GETTING,0:12 / 2:29
TUd-AUvQms4,English - CC1,PEOPLE ARE HAVING PROBLEMS GETTING THOSE FUNDS CONSUMER,0:13 / 2:29
TUd-AUvQms4,English - CC1,GETTING THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRAC,0:14 / 2:29
TUd-AUvQms4,English - CC1,THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TE,0:14 / 2:29
TUd-AUvQms4,English - CC1,THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TELL YOU WHAT,0:15 / 2:29
TUd-AUvQms4,English - CC1,THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TELL YOU WHAT,0:16 / 2:29
TUd-AUvQms4,English - CC1,THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TELL YOU WHAT,0:17 / 2:29
TUd-AUvQms4,English - CC1,THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TELL YOU WHAT,0:18 / 2:29
TUd-AUvQms4,English - CC1,THOSE FUNDS CONSUMER INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TELL YOU WHAT,0:19 / 2:29
TUd-AUvQms4,English - CC1,INVESTIGATOR STEVE SBRACCIA DIGGING DEEPER TO TELL YOU WHAT MAY BE HOLDING UP YOUR PAY,0:20 / 2:29
TUd-AUvQms4,English - CC1,DIGGING DEEPER TO TELL YOU WHAT MAY BE HOLDING UP YOUR PAYMENT AND THE TIMELINE FOR,0:20 / 2:29
TUd-AUvQms4,English - CC1,MAY BE HOLDING UP YOUR PAYMENT AND THE TIMELINE FOR SITTING OUT ALL THAT CAS,0:21 / 2:29
