video_id,lang,text,timecode
dDYFiq1l5Dg,English,"In the United States,",0:00 / 12:01
dDYFiq1l5Dg,English,"the Supreme Court is the highest court,",0:01 / 12:01
dDYFiq1l5Dg,English,"the Supreme Court is the highest court,",0:02 / 12:01
dDYFiq1l5Dg,English,"given the final say on what laws  really  mean,",0:03 / 12:01
dDYFiq1l5Dg,English,"given the final say on what laws  really  mean,",0:04 / 12:01
dDYFiq1l5Dg,English,"given the final say on what laws  really  mean,",0:05 / 12:01
dDYFiq1l5Dg,English,and if they're cool with the Constitution.,0:05 / 12:01
dDYFiq1l5Dg,English,and if they're cool with the Constitution.,0:06 / 12:01
dDYFiq1l5Dg,English,and if they're cool with the Constitution.,0:07 / 12:01
dDYFiq1l5Dg,English,"Well, this power was not  given  given, but taken.",0:08 / 12:01
dDYFiq1l5Dg,English,"Well, this power was not  given  given, but taken.",0:09 / 12:01
dDYFiq1l5Dg,English,"Well, this power was not  given  given, but taken.",0:10 / 12:01
dDYFiq1l5Dg,English,"Back in the day, the Supreme Court ruled",0:11 / 12:01
dDYFiq1l5Dg,English,"Back in the day, the Supreme Court ruled",0:12 / 12:01
dDYFiq1l5Dg,English,it is the duty of the court to say what the Law is.,0:13 / 12:01
dDYFiq1l5Dg,English,it is the duty of the court to say what the Law is.,0:14 / 12:01
dDYFiq1l5Dg,English,it is the duty of the court to say what the Law is.,0:15 / 12:01
dDYFiq1l5Dg,English,And everyone went with it.,0:16 / 12:01
dDYFiq1l5Dg,English,"You might think the Law would say what the Law is,",0:17 / 12:01
dDYFiq1l5Dg,English,"You might think the Law would say what the Law is,",0:18 / 12:01
dDYFiq1l5Dg,English,"You might think the Law would say what the Law is,",0:19 / 12:01
dDYFiq1l5Dg,English,"but even the best, most well-intentioned legislators",0:19 / 12:01
dDYFiq1l5Dg,English,"but even the best, most well-intentioned legislators",0:20 / 12:01
dDYFiq1l5Dg,English,"but even the best, most well-intentioned legislators",0:21 / 12:01
dDYFiq1l5Dg,English,cannot write a law that covers every possible edge case,0:22 / 12:01
dDYFiq1l5Dg,English,cannot write a law that covers every possible edge case,0:23 / 12:01
dDYFiq1l5Dg,English,cannot write a law that covers every possible edge case,0:24 / 12:01
dDYFiq1l5Dg,English,"for the rest of time,",0:25 / 12:01
dDYFiq1l5Dg,English,nor be able to consider how this law,0:26 / 12:01
dDYFiq1l5Dg,English,nor be able to consider how this law,0:27 / 12:01
dDYFiq1l5Dg,English,will interact with every other law.,0:28 / 12:01
dDYFiq1l5Dg,English,will interact with every other law.,0:29 / 12:01
dDYFiq1l5Dg,English,So someone's got to make the final call on the Law,0:30 / 12:01
dDYFiq1l5Dg,English,So someone's got to make the final call on the Law,0:31 / 12:01
dDYFiq1l5Dg,English,and the Supreme Court is that someone.,0:32 / 12:01
dDYFiq1l5Dg,English,and the Supreme Court is that someone.,0:33 / 12:01
dDYFiq1l5Dg,English,and the Supreme Court is that someone.,0:34 / 12:01
dDYFiq1l5Dg,English,"This makes the Supreme Court  supremely  important, ",0:34 / 12:01
dDYFiq1l5Dg,English,"This makes the Supreme Court  supremely  important, ",0:35 / 12:01
dDYFiq1l5Dg,English,"This makes the Supreme Court  supremely  important, ",0:36 / 12:01
dDYFiq1l5Dg,English,"This makes the Supreme Court  supremely  important, ",0:37 / 12:01
dDYFiq1l5Dg,English,constitutionally and politically.,0:37 / 12:01
dDYFiq1l5Dg,English,constitutionally and politically.,0:38 / 12:01
dDYFiq1l5Dg,English,constitutionally and politically.,0:39 / 12:01
dDYFiq1l5Dg,English,While Congress gets to make the laws,0:40 / 12:01
dDYFiq1l5Dg,English,While Congress gets to make the laws,0:41 / 12:01
dDYFiq1l5Dg,English,and the president gets to enforce the laws.,0:41 / 12:01
dDYFiq1l5Dg,English,and the president gets to enforce the laws.,0:42 / 12:01
dDYFiq1l5Dg,English,and the president gets to enforce the laws.,0:43 / 12:01
dDYFiq1l5Dg,English,It's the nine court justices that both referee,0:44 / 12:01
dDYFiq1l5Dg,English,It's the nine court justices that both referee,0:45 / 12:01
dDYFiq1l5Dg,English,It's the nine court justices that both referee,0:46 / 12:01
dDYFiq1l5Dg,English,and adjust the laws.,0:47 / 12:01
dDYFiq1l5Dg,English,So if you're playing the game for,0:48 / 12:01
dDYFiq1l5Dg,English,So if you're playing the game for,0:49 / 12:01
dDYFiq1l5Dg,English,"pure maximum political advantage,",0:50 / 12:01
dDYFiq1l5Dg,English,"pure maximum political advantage,",0:51 / 12:01
dDYFiq1l5Dg,English,"pure maximum political advantage,",0:52 / 12:01
dDYFiq1l5Dg,English,you want to influence the refs.,0:52 / 12:01
dDYFiq1l5Dg,English,you want to influence the refs.,0:53 / 12:01
dDYFiq1l5Dg,English,"Now, to be above this influence,",0:54 / 12:01
dDYFiq1l5Dg,English,"Now, to be above this influence,",0:55 / 12:01
dDYFiq1l5Dg,English,each justice serves for life.,0:56 / 12:01
dDYFiq1l5Dg,English,each justice serves for life.,0:57 / 12:01
dDYFiq1l5Dg,English,"So appointing a new one is an irreversible* [hmmm] decision,",0:58 / 12:01
dDYFiq1l5Dg,English,"So appointing a new one is an irreversible* [hmmm] decision,",0:59 / 12:01
dDYFiq1l5Dg,English,"So appointing a new one is an irreversible* [hmmm] decision,",1:00 / 12:01
dDYFiq1l5Dg,English,"So appointing a new one is an irreversible* [hmmm] decision,",1:01 / 12:01
dDYFiq1l5Dg,English,that will affect decades of law.,1:01 / 12:01
dDYFiq1l5Dg,English,that will affect decades of law.,1:02 / 12:01
dDYFiq1l5Dg,English,Only when a justice resigns or dies does a seat open.,1:03 / 12:01
dDYFiq1l5Dg,English,Only when a justice resigns or dies does a seat open.,1:04 / 12:01
dDYFiq1l5Dg,English,Only when a justice resigns or dies does a seat open.,1:05 / 12:01
dDYFiq1l5Dg,English,"Filling that seat starts with the president,",1:06 / 12:01
dDYFiq1l5Dg,English,"Filling that seat starts with the president,",1:07 / 12:01
dDYFiq1l5Dg,English,"who the Constitution gives the sole,",1:08 / 12:01
dDYFiq1l5Dg,English,"who the Constitution gives the sole,",1:09 / 12:01
dDYFiq1l5Dg,English,"absolute power to select a nominee,",1:10 / 12:01
dDYFiq1l5Dg,English,"absolute power to select a nominee,",1:11 / 12:01
dDYFiq1l5Dg,English,with no restrictions whatsoever on who the nominee can be.,1:12 / 12:01
dDYFiq1l5Dg,English,with no restrictions whatsoever on who the nominee can be.,1:13 / 12:01
dDYFiq1l5Dg,English,with no restrictions whatsoever on who the nominee can be.,1:14 / 12:01
dDYFiq1l5Dg,English,No prior judicial experience required.,1:15 / 12:01
dDYFiq1l5Dg,English,No prior judicial experience required.,1:16 / 12:01
dDYFiq1l5Dg,English,No prior judicial experience required.,1:17 / 12:01
dDYFiq1l5Dg,English,"But, particularly in modern history, presidents tend to",1:18 / 12:01
dDYFiq1l5Dg,English,"But, particularly in modern history, presidents tend to",1:19 / 12:01
dDYFiq1l5Dg,English,"But, particularly in modern history, presidents tend to",1:20 / 12:01
dDYFiq1l5Dg,English,"select federal judges with long and clear case rulings,",1:20 / 12:01
dDYFiq1l5Dg,English,"select federal judges with long and clear case rulings,",1:21 / 12:01
dDYFiq1l5Dg,English,"select federal judges with long and clear case rulings,",1:22 / 12:01
dDYFiq1l5Dg,English,"select federal judges with long and clear case rulings,",1:23 / 12:01
dDYFiq1l5Dg,English,hoping the past predicts the future.,1:24 / 12:01
dDYFiq1l5Dg,English,hoping the past predicts the future.,1:25 / 12:01
dDYFiq1l5Dg,English,"[Mr. President] No surprises, please.",1:26 / 12:01
dDYFiq1l5Dg,English,This is my chance to influence government long after I leave.,1:27 / 12:01
dDYFiq1l5Dg,English,This is my chance to influence government long after I leave.,1:28 / 12:01
dDYFiq1l5Dg,English,This is my chance to influence government long after I leave.,1:29 / 12:01
dDYFiq1l5Dg,English,"[Grey] Of course, the whole point of justices serving for life",1:30 / 12:01
dDYFiq1l5Dg,English,"[Grey] Of course, the whole point of justices serving for life",1:31 / 12:01
dDYFiq1l5Dg,English,"[Grey] Of course, the whole point of justices serving for life",1:32 / 12:01
dDYFiq1l5Dg,English,"is so, once in, they are politically beholden to no one",1:32 / 12:01
dDYFiq1l5Dg,English,"is so, once in, they are politically beholden to no one",1:33 / 12:01
dDYFiq1l5Dg,English,"is so, once in, they are politically beholden to no one",1:34 / 12:01
dDYFiq1l5Dg,English,and don't have to strategically plan,1:35 / 12:01
dDYFiq1l5Dg,English,and don't have to strategically plan,1:36 / 12:01
dDYFiq1l5Dg,English,how their current rulings will affect their next career move.,1:36 / 12:01
dDYFiq1l5Dg,English,how their current rulings will affect their next career move.,1:37 / 12:01
dDYFiq1l5Dg,English,how their current rulings will affect their next career move.,1:38 / 12:01
dDYFiq1l5Dg,English,how their current rulings will affect their next career move.,1:39 / 12:01
dDYFiq1l5Dg,English,Getting on the Supreme Court  is  the final move.,1:39 / 12:01
dDYFiq1l5Dg,English,Getting on the Supreme Court  is  the final move.,1:40 / 12:01
