video_id,lang,text,timecode
syrGt0fpffY,English - Caption,THESE ARE THE NOMINEES FOR BEST ,0:00 / 4:31
syrGt0fpffY,English - Caption,"SUPPORTING ACTRESS, AND THE ",0:01 / 4:31
syrGt0fpffY,English - Caption,"SUPPORTING ACTRESS, AND THE ",0:02 / 4:31
syrGt0fpffY,English - Caption,"SUPPORTING ACTRESS, AND THE ",0:03 / 4:31
syrGt0fpffY,English - Caption,"SUPPORTING ACTRESS, AND THE ",0:04 / 4:31
syrGt0fpffY,English - Caption,"SUPPORTING ACTRESS, AND THE ",0:05 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:05 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:06 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:07 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:08 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:09 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:10 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:11 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:12 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:13 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:14 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:15 / 4:31
syrGt0fpffY,English - Caption,OSCAR GOES TO YUH-JUNG YOUN.,0:16 / 4:31
syrGt0fpffY,English - Caption,,0:16 / 4:31
syrGt0fpffY,English - Caption,,0:17 / 4:31
syrGt0fpffY,English - Caption,,0:18 / 4:31
syrGt0fpffY,English - Caption,,0:19 / 4:31
syrGt0fpffY,English - Caption,[ APPLAUSE ],0:20 / 4:31
syrGt0fpffY,English - Caption,[ APPLAUSE ],0:21 / 4:31
