video_id,lang,text,timecode
jnIX8S3yR-s,English,,0:00 / 18:57
jnIX8S3yR-s,English,,0:01 / 18:57
jnIX8S3yR-s,English,,0:02 / 18:57
jnIX8S3yR-s,English,how you going now based off your comments  i've learned that a lot of you watching live  ,0:03 / 18:57
jnIX8S3yR-s,English,how you going now based off your comments  i've learned that a lot of you watching live  ,0:04 / 18:57
jnIX8S3yR-s,English,how you going now based off your comments  i've learned that a lot of you watching live  ,0:05 / 18:57
jnIX8S3yR-s,English,how you going now based off your comments  i've learned that a lot of you watching live  ,0:06 / 18:57
jnIX8S3yR-s,English,how you going now based off your comments  i've learned that a lot of you watching live  ,0:07 / 18:57
jnIX8S3yR-s,English,in depressing countries completely void of  any animal life besides maybe the occasional  ,0:07 / 18:57
jnIX8S3yR-s,English,in depressing countries completely void of  any animal life besides maybe the occasional  ,0:08 / 18:57
jnIX8S3yR-s,English,in depressing countries completely void of  any animal life besides maybe the occasional  ,0:09 / 18:57
jnIX8S3yR-s,English,in depressing countries completely void of  any animal life besides maybe the occasional  ,0:10 / 18:57
jnIX8S3yR-s,English,in depressing countries completely void of  any animal life besides maybe the occasional  ,0:11 / 18:57
jnIX8S3yR-s,English,in depressing countries completely void of  any animal life besides maybe the occasional  ,0:12 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:12 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:13 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:14 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:15 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:16 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:17 / 18:57
jnIX8S3yR-s,English,subway rat dead pigeon and if you're really lucky  monkey freaking out on bath salts and because of  ,0:18 / 18:57
jnIX8S3yR-s,English,this a lot of you now have an obsession almost  fetish with australia's animals and their beauty,0:19 / 18:57
jnIX8S3yR-s,English,this a lot of you now have an obsession almost  fetish with australia's animals and their beauty,0:20 / 18:57
jnIX8S3yR-s,English,this a lot of you now have an obsession almost  fetish with australia's animals and their beauty,0:21 / 18:57
jnIX8S3yR-s,English,this a lot of you now have an obsession almost  fetish with australia's animals and their beauty,0:22 / 18:57
jnIX8S3yR-s,English,this a lot of you now have an obsession almost  fetish with australia's animals and their beauty,0:23 / 18:57
jnIX8S3yR-s,English,this a lot of you now have an obsession almost  fetish with australia's animals and their beauty,0:24 / 18:57
jnIX8S3yR-s,English,,0:25 / 18:57
jnIX8S3yR-s,English,,0:26 / 18:57
jnIX8S3yR-s,English,,0:27 / 18:57
jnIX8S3yR-s,English,,0:28 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:28 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:29 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:30 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:31 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:32 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:33 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:34 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:35 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:36 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:37 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:38 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:39 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:40 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:41 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:42 / 18:57
jnIX8S3yR-s,English,and i'm aware of this so during my videos i do try  to show off the beautiful guys in my backyard wow,0:43 / 18:57
jnIX8S3yR-s,English,,0:44 / 18:57
jnIX8S3yR-s,English,,0:45 / 18:57
jnIX8S3yR-s,English,,0:46 / 18:57
jnIX8S3yR-s,English,,0:47 / 18:57
jnIX8S3yR-s,English,but i've now realized this isn't fair to the ugly  animals in my yard so today i'm going to share  ,0:47 / 18:57
jnIX8S3yR-s,English,but i've now realized this isn't fair to the ugly  animals in my yard so today i'm going to share  ,0:48 / 18:57
jnIX8S3yR-s,English,but i've now realized this isn't fair to the ugly  animals in my yard so today i'm going to share  ,0:49 / 18:57
jnIX8S3yR-s,English,but i've now realized this isn't fair to the ugly  animals in my yard so today i'm going to share  ,0:50 / 18:57
jnIX8S3yR-s,English,but i've now realized this isn't fair to the ugly  animals in my yard so today i'm going to share  ,0:51 / 18:57
jnIX8S3yR-s,English,but i've now realized this isn't fair to the ugly  animals in my yard so today i'm going to share  ,0:52 / 18:57
jnIX8S3yR-s,English,the top 10 weird animals in my yard that you  probably haven't heard of and are kind of ugly  ,0:53 / 18:57
jnIX8S3yR-s,English,the top 10 weird animals in my yard that you  probably haven't heard of and are kind of ugly  ,0:54 / 18:57
jnIX8S3yR-s,English,the top 10 weird animals in my yard that you  probably haven't heard of and are kind of ugly  ,0:55 / 18:57
jnIX8S3yR-s,English,the top 10 weird animals in my yard that you  probably haven't heard of and are kind of ugly  ,0:56 / 18:57
jnIX8S3yR-s,English,the top 10 weird animals in my yard that you  probably haven't heard of and are kind of ugly  ,0:57 / 18:57
jnIX8S3yR-s,English,,0:58 / 18:57
jnIX8S3yR-s,English,,0:59 / 18:57
jnIX8S3yR-s,English,,1:00 / 18:57
jnIX8S3yR-s,English,,1:01 / 18:57
jnIX8S3yR-s,English,,1:02 / 18:57
jnIX8S3yR-s,English,alright now the first animal on this list is  the aussie bush turkey bush turkeys are known  ,1:03 / 18:57
jnIX8S3yR-s,English,alright now the first animal on this list is  the aussie bush turkey bush turkeys are known  ,1:04 / 18:57
jnIX8S3yR-s,English,alright now the first animal on this list is  the aussie bush turkey bush turkeys are known  ,1:05 / 18:57
jnIX8S3yR-s,English,alright now the first animal on this list is  the aussie bush turkey bush turkeys are known  ,1:06 / 18:57
jnIX8S3yR-s,English,alright now the first animal on this list is  the aussie bush turkey bush turkeys are known  ,1:07 / 18:57
jnIX8S3yR-s,English,to be incredibly dumb and greedy animals that  will do anything in order to impress a mate,1:08 / 18:57
jnIX8S3yR-s,English,to be incredibly dumb and greedy animals that  will do anything in order to impress a mate,1:09 / 18:57
jnIX8S3yR-s,English,to be incredibly dumb and greedy animals that  will do anything in order to impress a mate,1:10 / 18:57
jnIX8S3yR-s,English,to be incredibly dumb and greedy animals that  will do anything in order to impress a mate,1:11 / 18:57
