video_id,lang,text,timecode
jaMHXe7Eqgs,English (United States),,0:00 / 9:25
jaMHXe7Eqgs,English (United States),Today we're going to take apart the brand new iPhone 12 Pro. We already know the outside,0:01 / 9:25
jaMHXe7Eqgs,English (United States),Today we're going to take apart the brand new iPhone 12 Pro. We already know the outside,0:02 / 9:25
jaMHXe7Eqgs,English (United States),Today we're going to take apart the brand new iPhone 12 Pro. We already know the outside,0:03 / 9:25
jaMHXe7Eqgs,English (United States),Today we're going to take apart the brand new iPhone 12 Pro. We already know the outside,0:04 / 9:25
jaMHXe7Eqgs,English (United States),Today we're going to take apart the brand new iPhone 12 Pro. We already know the outside,0:05 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:05 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:06 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:07 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:08 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:09 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:10 / 9:25
jaMHXe7Eqgs,English (United States),"is new and different, with its stainless steel sides, flush screen, and ceramic shield glass,",0:11 / 9:25
jaMHXe7Eqgs,English (United States),but we know true beauty lies on the inside. The iPhone 12 Pro has a series of magnets,0:12 / 9:25
jaMHXe7Eqgs,English (United States),but we know true beauty lies on the inside. The iPhone 12 Pro has a series of magnets,0:13 / 9:25
jaMHXe7Eqgs,English (United States),but we know true beauty lies on the inside. The iPhone 12 Pro has a series of magnets,0:14 / 9:25
jaMHXe7Eqgs,English (United States),but we know true beauty lies on the inside. The iPhone 12 Pro has a series of magnets,0:15 / 9:25
jaMHXe7Eqgs,English (United States),but we know true beauty lies on the inside. The iPhone 12 Pro has a series of magnets,0:16 / 9:25
jaMHXe7Eqgs,English (United States),but we know true beauty lies on the inside. The iPhone 12 Pro has a series of magnets,0:17 / 9:25
jaMHXe7Eqgs,English (United States),"just below the back glass, and I'm curious to see what those look like from the inside.",0:17 / 9:25
jaMHXe7Eqgs,English (United States),"just below the back glass, and I'm curious to see what those look like from the inside.",0:18 / 9:25
jaMHXe7Eqgs,English (United States),"just below the back glass, and I'm curious to see what those look like from the inside.",0:19 / 9:25
jaMHXe7Eqgs,English (United States),"just below the back glass, and I'm curious to see what those look like from the inside.",0:20 / 9:25
jaMHXe7Eqgs,English (United States),"just below the back glass, and I'm curious to see what those look like from the inside.",0:21 / 9:25
jaMHXe7Eqgs,English (United States),"just below the back glass, and I'm curious to see what those look like from the inside.",0:22 / 9:25
jaMHXe7Eqgs,English (United States),One thing you'll really want to avoid though is letting your wallet or credit card get,0:23 / 9:25
jaMHXe7Eqgs,English (United States),One thing you'll really want to avoid though is letting your wallet or credit card get,0:24 / 9:25
jaMHXe7Eqgs,English (United States),One thing you'll really want to avoid though is letting your wallet or credit card get,0:25 / 9:25
jaMHXe7Eqgs,English (United States),too close to the back of the phone. Magnet can ruin credit cards...unless of course you,0:26 / 9:25
jaMHXe7Eqgs,English (United States),too close to the back of the phone. Magnet can ruin credit cards...unless of course you,0:27 / 9:25
jaMHXe7Eqgs,English (United States),too close to the back of the phone. Magnet can ruin credit cards...unless of course you,0:28 / 9:25
jaMHXe7Eqgs,English (United States),too close to the back of the phone. Magnet can ruin credit cards...unless of course you,0:29 / 9:25
jaMHXe7Eqgs,English (United States),too close to the back of the phone. Magnet can ruin credit cards...unless of course you,0:30 / 9:25
