"video_id","min_timecode","max_timecode","text.user","text.auto"
"1qLf_ecCuw4","00:00:00","00:00:01","",""
"1qLf_ecCuw4","00:00:03","00:00:07","is that it's the most important thing you can do for yourself","what i want people to take away from the documentary is that it's"
"1qLf_ecCuw4","00:00:08","00:00:10","is to live your truth.","the the most important thing you can do for yourself is"
"1qLf_ecCuw4","00:00:10","00:00:14"," I'm very excited to finally  show this documentary","to live your truth i'm very excited to finally"
"1qLf_ecCuw4","00:00:15","00:00:18","to the world and I can't wait to perform, too.","show this documentary to the whole world and"
"1qLf_ecCuw4","00:00:18","00:00:19","I haven't sang on stage in a minute.","i can't wait to perform"
"1qLf_ecCuw4","00:00:20","00:00:26","","too i haven't sang on stage in a minute [Music]"
"1qLf_ecCuw4","00:00:27","00:00:29","Michael: Yes. That's the energy we need.","yes that's"
"1qLf_ecCuw4","00:00:29","00:00:32","I have the easiest job in the entire world right now,","the energy we need but i have the easiest job in the entire"
"1qLf_ecCuw4","00:00:33","00:00:35","bringing to the stage a woman who needs","world right now bringing to"
"1qLf_ecCuw4","00:00:35","00:00:39","absolutely no introduction whatsoever.","the stage a woman who needs absolutely no introduction"
"1qLf_ecCuw4","00:00:40","00:00:43","Without further adieu, Demi Lovato.","whatsoever without further ado demi"
"1qLf_ecCuw4","00:00:44","00:00:48","","lovato [Music]"
"1qLf_ecCuw4","00:00:51","00:00:55","","hi"
"1qLf_ecCuw4","00:00:56","00:00:58","( vocalizing )","guys"
"1qLf_ecCuw4","00:00:59","00:01:03","","[Music]"
"1qLf_ecCuw4","00:01:04","00:01:07","♪ I tried to talk to my piano ♪","i tried to talk to my"
"1qLf_ecCuw4","00:01:07","00:01:10","♪ I tried to talk to my guitar ♪","piano i tried to talk to"
"1qLf_ecCuw4","00:01:13","00:01:16","♪ Confided into alcohol ♪","[Music]"
"1qLf_ecCuw4","00:01:24","00:01:27","♪ Tired of empty conversation ♪","still my voice was so tired of empty still my voice was so tired of empty"
"1qLf_ecCuw4","00:01:28","00:01:31","♪ 'Cause no one hears me anymore ♪","conversation cause no one hears"
"1qLf_ecCuw4","00:01:31","00:01:32","♪ A hundred million stories ♪","me anymore"
"1qLf_ecCuw4","00:01:33","00:01:34","♪ And a hundred million songs ♪","a hundred million"
"1qLf_ecCuw4","00:01:35","00:01:37","♪ I feel stupid when I sing ♪","stories in a hundred million songs i feel stupid"
"1qLf_ecCuw4","00:01:38","00:01:41","♪ Nobody's listening to me ♪","when i sing nobody's million songs i feel stupid when i sing nobody's listening to me"
"1qLf_ecCuw4","00:01:41","00:01:45","♪ Nobody's listening ♪","nobody's listening"
"1qLf_ecCuw4","00:01:46","00:01:47","♪ I talked to shooting stars ♪","i"
"1qLf_ecCuw4","00:01:47","00:01:48","♪ But they always get it wrong ♪","talk to shooting stars"
"1qLf_ecCuw4","00:01:49","00:01:51","♪ I feel stupid when I pray ♪","but they always get it wrong i feel stupid"
"1qLf_ecCuw4","00:01:52","00:01:55","♪ So, why am I praying anyway? ♪","when i pray so why am i praying"
"1qLf_ecCuw4","00:01:55","00:01:59"," ♪ If nobody's listening ♪","[Music]"
"1qLf_ecCuw4","00:02:06","00:02:09","♪ Lord, is there anyone? ♪","anyways"
"1qLf_ecCuw4","00:02:10","00:02:13","♪ I need someone ♪","[Music]"
"1qLf_ecCuw4","00:02:14","00:02:20","♪ Anyone, please send me anyone ♪","is"
"1qLf_ecCuw4","00:02:20","00:02:23","♪ Lord, is there anyone? ♪","[Music]"
"1qLf_ecCuw4","00:02:27","00:02:41","",""
"1qLf_ecCuw4","00:02:45","00:02:48","♪ I think I cried too many times ♪","i think i cried too"
"1qLf_ecCuw4","00:02:48","00:02:51","♪ I just need some more affection ♪","many times i just need"
"1qLf_ecCuw4","00:02:52","00:02:55","♪ Anything to get me by ♪","some more affection anything to get me"
"1qLf_ecCuw4","00:02:56","00:02:56","♪ A hundred million stories ♪","by"
"1qLf_ecCuw4","00:02:57","00:02:58","♪ And a hundred million songs ♪","a hundred million stories and"
"1qLf_ecCuw4","00:02:59","00:03:01","♪ I feel stupid when I sing ♪","a hundred million songs i feel stupid when i"
"1qLf_ecCuw4","00:03:02","00:03:05","♪ Nobody's listening to me ♪","sing [Music]"
"1qLf_ecCuw4","00:03:13","00:03:15","♪ I feel stupid when I pray ♪","but they always get it wrong i feel stupid when"
"1qLf_ecCuw4","00:03:15","00:03:18","♪ So why the fuck am I praying anyway? ♪","i pray so why the [ __ ] am i praying"
"1qLf_ecCuw4","00:03:19","00:03:23","♪ 'Cause nobody's listening ♪","anyway cause"
"1qLf_ecCuw4","00:03:30","00:03:33","♪ Lord, is there anyone? ♪","nobody [Music]"
"1qLf_ecCuw4","00:03:43","00:03:47","♪ Oh, Lord, is there anyone? ♪","is [Music]"
"1qLf_ecCuw4","00:03:54","00:03:57","♪ I need anyone ♪","[Music]"
"1qLf_ecCuw4","00:04:03","00:04:07","",""
"1qLf_ecCuw4","00:04:08","00:04:09","♪ A hundred million stories ♪","a hundred"
"1qLf_ecCuw4","00:04:09","00:04:11","♪ And a hundred million songs ♪","million stories and a"
"1qLf_ecCuw4","00:04:11","00:04:14","♪ I feel stupid when I sing ♪","hundred million songs i feel stupid when i sing"
"1qLf_ecCuw4","00:04:14","00:04:17","♪ Nobody's listening to me ♪","nobody's listening"
"1qLf_ecCuw4","00:04:18","00:04:21","♪ Nobody's listening ♪","to me nobody's listening"
"1qLf_ecCuw4","00:04:22","00:04:23","",""
"1qLf_ecCuw4","00:04:24","00:04:26","Thank you guys so much for coming.","thank you guys so much"
"1qLf_ecCuw4","00:04:26","00:04:30","And thanks for tuning in. I love all of you.","for coming and thanks for tuning in i love all of you"
