video_id,lang,text,timecode
FXI_-OesT3A,English,,0:00 / 2:11
FXI_-OesT3A,English,♪ Piano music playing ♪,0:01 / 2:11
FXI_-OesT3A,English,♪ Piano music playing ♪,0:02 / 2:11
FXI_-OesT3A,English,Evans Hankey: AirPods have come to define,0:02 / 2:11
FXI_-OesT3A,English,Evans Hankey: AirPods have come to define,0:03 / 2:11
FXI_-OesT3A,English,Evans Hankey: AirPods have come to define,0:04 / 2:11
FXI_-OesT3A,English,magical wireless audio.,0:04 / 2:11
FXI_-OesT3A,English,magical wireless audio.,0:05 / 2:11
FXI_-OesT3A,English,magical wireless audio.,0:06 / 2:11
FXI_-OesT3A,English,magical wireless audio.,0:07 / 2:11
FXI_-OesT3A,English,"To build on this, we set out to create",0:07 / 2:11
FXI_-OesT3A,English,"To build on this, we set out to create",0:08 / 2:11
FXI_-OesT3A,English,"To build on this, we set out to create",0:09 / 2:11
FXI_-OesT3A,English,the ultimate personal listening experience.,0:10 / 2:11
FXI_-OesT3A,English,the ultimate personal listening experience.,0:11 / 2:11
FXI_-OesT3A,English,the ultimate personal listening experience.,0:12 / 2:11
FXI_-OesT3A,English,the ultimate personal listening experience.,0:13 / 2:11
FXI_-OesT3A,English,the ultimate personal listening experience.,0:14 / 2:11
FXI_-OesT3A,English,Introducing AirPods Max.,0:15 / 2:11
FXI_-OesT3A,English,Introducing AirPods Max.,0:16 / 2:11
FXI_-OesT3A,English,Introducing AirPods Max.,0:17 / 2:11
FXI_-OesT3A,English,Introducing AirPods Max.,0:18 / 2:11
FXI_-OesT3A,English,Every aspect has been designed,0:18 / 2:11
FXI_-OesT3A,English,Every aspect has been designed,0:19 / 2:11
FXI_-OesT3A,English,for uncompromising fit and performance.,0:19 / 2:11
FXI_-OesT3A,English,for uncompromising fit and performance.,0:20 / 2:11
FXI_-OesT3A,English,for uncompromising fit and performance.,0:21 / 2:11
FXI_-OesT3A,English,for uncompromising fit and performance.,0:22 / 2:11
FXI_-OesT3A,English,for uncompromising fit and performance.,0:23 / 2:11
FXI_-OesT3A,English,Machined aluminum ear cups,0:24 / 2:11
FXI_-OesT3A,English,Machined aluminum ear cups,0:25 / 2:11
FXI_-OesT3A,English,"connect by a unique suspension system,",0:25 / 2:11
FXI_-OesT3A,English,"connect by a unique suspension system,",0:26 / 2:11
FXI_-OesT3A,English,"connect by a unique suspension system,",0:27 / 2:11
FXI_-OesT3A,English,enabling independent articulation,0:27 / 2:11
FXI_-OesT3A,English,enabling independent articulation,0:28 / 2:11
FXI_-OesT3A,English,enabling independent articulation,0:29 / 2:11
FXI_-OesT3A,English,to the telescoping arms of the headband.,0:30 / 2:11
FXI_-OesT3A,English,to the telescoping arms of the headband.,0:31 / 2:11
FXI_-OesT3A,English,to the telescoping arms of the headband.,0:32 / 2:11
FXI_-OesT3A,English,"This flexes to fit a wide range of head sizes,",0:33 / 2:11
FXI_-OesT3A,English,"This flexes to fit a wide range of head sizes,",0:34 / 2:11
FXI_-OesT3A,English,"This flexes to fit a wide range of head sizes,",0:35 / 2:11
FXI_-OesT3A,English,with a warp-knit canopy,0:36 / 2:11
FXI_-OesT3A,English,with a warp-knit canopy,0:37 / 2:11
FXI_-OesT3A,English,maximizing comfort and breathability,0:37 / 2:11
FXI_-OesT3A,English,maximizing comfort and breathability,0:38 / 2:11
FXI_-OesT3A,English,maximizing comfort and breathability,0:39 / 2:11
FXI_-OesT3A,English,maximizing comfort and breathability,0:40 / 2:11
FXI_-OesT3A,English,while an acoustically optimized knit seamlessly surrounds,0:40 / 2:11
FXI_-OesT3A,English,while an acoustically optimized knit seamlessly surrounds,0:41 / 2:11
FXI_-OesT3A,English,while an acoustically optimized knit seamlessly surrounds,0:42 / 2:11
FXI_-OesT3A,English,while an acoustically optimized knit seamlessly surrounds,0:43 / 2:11
FXI_-OesT3A,English,the magnetically attached cushions. [CLICK],0:43 / 2:11
FXI_-OesT3A,English,the magnetically attached cushions. [CLICK],0:44 / 2:11
FXI_-OesT3A,English,the magnetically attached cushions. [CLICK],0:45 / 2:11
FXI_-OesT3A,English,the magnetically attached cushions. [CLICK],0:46 / 2:11
FXI_-OesT3A,English,These components work in harmony,0:46 / 2:11
FXI_-OesT3A,English,These components work in harmony,0:47 / 2:11
FXI_-OesT3A,English,to maintain an exceptional over-ear seal;,0:48 / 2:11
FXI_-OesT3A,English,to maintain an exceptional over-ear seal;,0:49 / 2:11
FXI_-OesT3A,English,to maintain an exceptional over-ear seal;,0:50 / 2:11
FXI_-OesT3A,English,the foundation for its incredible sound.,0:50 / 2:11
FXI_-OesT3A,English,the foundation for its incredible sound.,0:51 / 2:11
FXI_-OesT3A,English,the foundation for its incredible sound.,0:52 / 2:11
FXI_-OesT3A,English,,0:52 / 2:11
FXI_-OesT3A,English,♪ Rhythmic bass joins ♪,0:53 / 2:11
FXI_-OesT3A,English,Gary Geaves: Custom drivers deliver high-fidelity playback,0:54 / 2:11
FXI_-OesT3A,English,Gary Geaves: Custom drivers deliver high-fidelity playback,0:55 / 2:11
FXI_-OesT3A,English,Gary Geaves: Custom drivers deliver high-fidelity playback,0:56 / 2:11
FXI_-OesT3A,English,with ultralow distortion across the entire audible range.,0:57 / 2:11
FXI_-OesT3A,English,with ultralow distortion across the entire audible range.,0:58 / 2:11
FXI_-OesT3A,English,with ultralow distortion across the entire audible range.,0:59 / 2:11
FXI_-OesT3A,English,with ultralow distortion across the entire audible range.,1:00 / 2:11
FXI_-OesT3A,English,And a pair of Apple-designed H1 chips,1:01 / 2:11
FXI_-OesT3A,English,And a pair of Apple-designed H1 chips,1:02 / 2:11
FXI_-OesT3A,English,"allow computational audio features like Adaptive EQ,",1:03 / 2:11
FXI_-OesT3A,English,"allow computational audio features like Adaptive EQ,",1:04 / 2:11
FXI_-OesT3A,English,"allow computational audio features like Adaptive EQ,",1:05 / 2:11
FXI_-OesT3A,English,"allow computational audio features like Adaptive EQ,",1:06 / 2:11
FXI_-OesT3A,English,"allow computational audio features like Adaptive EQ,",1:07 / 2:11
FXI_-OesT3A,English,which tailors sound to your bespoke fit,1:08 / 2:11
FXI_-OesT3A,English,which tailors sound to your bespoke fit,1:09 / 2:11
FXI_-OesT3A,English,by measuring and then adjusting what you're hearing,1:09 / 2:11
FXI_-OesT3A,English,by measuring and then adjusting what you're hearing,1:10 / 2:11
FXI_-OesT3A,English,by measuring and then adjusting what you're hearing,1:11 / 2:11
FXI_-OesT3A,English,up to 200 times per second.,1:12 / 2:11
FXI_-OesT3A,English,up to 200 times per second.,1:13 / 2:11
FXI_-OesT3A,English,up to 200 times per second.,1:14 / 2:11
FXI_-OesT3A,English,Active Noise Cancellation uses eight microphones,1:15 / 2:11
FXI_-OesT3A,English,Active Noise Cancellation uses eight microphones,1:16 / 2:11
FXI_-OesT3A,English,Active Noise Cancellation uses eight microphones,1:17 / 2:11
FXI_-OesT3A,English,positioned to sense and block noise from any direction.,1:18 / 2:11
FXI_-OesT3A,English,positioned to sense and block noise from any direction.,1:19 / 2:11
FXI_-OesT3A,English,positioned to sense and block noise from any direction.,1:20 / 2:11
FXI_-OesT3A,English,"A single button press activates Transparency mode,",1:21 / 2:11
FXI_-OesT3A,English,"A single button press activates Transparency mode,",1:22 / 2:11
FXI_-OesT3A,English,"A single button press activates Transparency mode,",1:23 / 2:11
FXI_-OesT3A,English,letting you hear what's around you.,1:24 / 2:11
FXI_-OesT3A,English,[AIRPODS MAX TONE],1:25 / 2:11
FXI_-OesT3A,English,[AIRPODS MAX TONE],1:26 / 2:11
FXI_-OesT3A,English,[SIRENS],1:27 / 2:11
FXI_-OesT3A,English,[AIRPODS MAX TONE],1:28 / 2:11
FXI_-OesT3A,English,♪,1:29 / 2:11
FXI_-OesT3A,English,♪,1:30 / 2:11
FXI_-OesT3A,English,"And spatial audio,",1:31 / 2:11
FXI_-OesT3A,English,which utilizes accelerometers and gyroscopes,1:32 / 2:11
FXI_-OesT3A,English,which utilizes accelerometers and gyroscopes,1:33 / 2:11
FXI_-OesT3A,English,which utilizes accelerometers and gyroscopes,1:34 / 2:11
FXI_-OesT3A,English,"to track head movement for immersive,",1:35 / 2:11
FXI_-OesT3A,English,"to track head movement for immersive,",1:36 / 2:11
FXI_-OesT3A,English,,1:37 / 2:11
FXI_-OesT3A,English,theater-like sound.,1:37 / 2:11
FXI_-OesT3A,English,[TIRES SCREECHING],1:38 / 2:11
FXI_-OesT3A,English,[TIRES SCREECHING],1:39 / 2:11
FXI_-OesT3A,English,And the Digital Crown allows precise control,1:39 / 2:11
FXI_-OesT3A,English,And the Digital Crown allows precise control,1:40 / 2:11
FXI_-OesT3A,English,And the Digital Crown allows precise control,1:41 / 2:11
FXI_-OesT3A,English,And the Digital Crown allows precise control,1:42 / 2:11
FXI_-OesT3A,English,of volume and playback. [CARS VROOMING],1:42 / 2:11
FXI_-OesT3A,English,of volume and playback. [CARS VROOMING],1:43 / 2:11
FXI_-OesT3A,English,of volume and playback. [CARS VROOMING],1:44 / 2:11
FXI_-OesT3A,English,of volume and playback. [CARS VROOMING],1:45 / 2:11
FXI_-OesT3A,English,"Evans: With up to 20 hours of listening time,",1:46 / 2:11
FXI_-OesT3A,English,"Evans: With up to 20 hours of listening time,",1:47 / 2:11
FXI_-OesT3A,English,"best-in-class Active Noise Cancellation,",1:48 / 2:11
FXI_-OesT3A,English,"best-in-class Active Noise Cancellation,",1:49 / 2:11
FXI_-OesT3A,English,"best-in-class Active Noise Cancellation,",1:50 / 2:11
