"video_id","min_timecode","max_timecode","text.user","text.auto"
"zJdnKBVuogc","00:00:00","00:00:01","","so"
"zJdnKBVuogc","00:00:02","00:00:03","- So I think it's time to drive this thing.","i think it's time to drive this thing"
"zJdnKBVuogc","00:00:04","00:00:05","","oh"
"zJdnKBVuogc","00:00:07","00:00:07","","that"
"zJdnKBVuogc","00:00:08","00:00:08","That's just sweet.","that's just sweet"
"zJdnKBVuogc","00:00:09","00:00:10","I don't know.","i don't know i mean this thing"
"zJdnKBVuogc","00:00:10","00:00:11","I mean, this thing is just ridiculous.","is just"
"zJdnKBVuogc","00:00:12","00:00:13","",""
"zJdnKBVuogc","00:00:14","00:00:16","(upbeat music)","ridiculous"
"zJdnKBVuogc","00:00:17","00:00:21","","[Music]"
"zJdnKBVuogc","00:00:26","00:00:29","This is the 2022 Mercedes-Benz EQS.","this is the 2022 mercedes-benz eqs the"
"zJdnKBVuogc","00:00:30","00:00:33","The all-new all electric sedan straight from Germany.","all-new all-electric sedan straight from germany as you can see"
"zJdnKBVuogc","00:00:33","00:00:35","As you can see, it's still camouflaged a little bit.","it's still camouflaged a little bit we"
"zJdnKBVuogc","00:00:36","00:00:37","We got a sneak peak with the car","got a sneak peek with the car before it's official"
"zJdnKBVuogc","00:00:37","00:00:39","before it's official unveiling.","unveiling so let's check it"
"zJdnKBVuogc","00:00:39","00:00:40","So let's check it out.","out"
"zJdnKBVuogc","00:00:40","00:00:41","",""
"zJdnKBVuogc","00:00:43","00:00:44","The EQS has meant to be","the eqs is meant to"
"zJdnKBVuogc","00:00:45","00:00:47","the all electric version of the Mercedes S-Class,","be the all-electric version of the mercedes s-class which"
"zJdnKBVuogc","00:00:47","00:00:50","which is the automaker's flagship luxury sedan.","is the automaker's flagship luxury sedan"
"zJdnKBVuogc","00:00:50","00:00:51","But the body of the vehicle","but the body of the vehicle"
"zJdnKBVuogc","00:00:52","00:00:54","is really unlike any sedan I've ever seen before.","is really unlike any sedan i've ever seen before"
"zJdnKBVuogc","00:00:55","00:00:57","Mercedes is really throwing down the gauntlet","mercedes is really throwing down the gauntlet on an aerodynamic"
"zJdnKBVuogc","00:00:57","00:01:00","on an aerodynamic design with a sleek flowing silhouette","design with a sleek flowing silhouette"
"zJdnKBVuogc","00:01:01","00:01:04","that almost erases any hint of a traditional sedan form.","that almost erases any hint of a traditional sedan form that will"
"zJdnKBVuogc","00:01:05","00:01:06","That will definitely help improve the vehicles range","definitely help improve the vehicle's range"
"zJdnKBVuogc","00:01:07","00:01:09","but will also create a more quiet cabin environment.","but will also create a more quiet cabin environment"
"zJdnKBVuogc","00:01:10","00:01:10","We can't see the whole car","we can't see"
"zJdnKBVuogc","00:01:11","00:01:13","because Mercedes is still keeping","the whole car because mercedes is still keeping a little"
"zJdnKBVuogc","00:01:13","00:01:14","a little bit of it under wraps.","bit of it under wraps"
"zJdnKBVuogc","00:01:15","00:01:16","So we don't know whether the EQS","so we don't know whether the eqs"
"zJdnKBVuogc","00:01:17","00:01:18","will have the same digital front grill","will have the same digital front grille"
"zJdnKBVuogc","00:01:19","00:01:21","that we saw with the Vision EQS Concept car","that we saw with the vision eqs concept car a couple years"
"zJdnKBVuogc","00:01:22","00:01:22","a couple of years ago.","ago"
"zJdnKBVuogc","00:01:23","00:01:24","We'll just have to use our imaginations,","we'll just have to use our imaginations and i'm"
"zJdnKBVuogc","00:01:24","00:01:27","and I'm imagining something very pixelated.","imagining something very pixelated"
"zJdnKBVuogc","00:01:28","00:01:30","","stepping"
"zJdnKBVuogc","00:01:31","00:01:32","Stepping into the EQS","into the eqs is like stepping"
"zJdnKBVuogc","00:01:32","00:01:33","is like stepping into a car from the future.","into a car from the future"
"zJdnKBVuogc","00:01:34","00:01:35","I mean, you've got this infotainment screen","i mean you've got this infotainment screen"
"zJdnKBVuogc","00:01:36","00:01:37","that runs the full width of the dash.","that runs the full width"
"zJdnKBVuogc","00:01:38","00:01:40","This is the Mercedes-Benz Hyperscreen,","of the dash this is the mercedes-benz hyperscreen which the"
"zJdnKBVuogc","00:01:40","00:01:44","which the company first teased at CES earlier this year.","company first teased at ces earlier this year"
"zJdnKBVuogc","00:01:45","00:01:47","And as you can see, it's just absolutely massive.","and as you can see it's just absolutely it's just absolutely"
"zJdnKBVuogc","00:01:48","00:01:51","It's 56"" pillar to pillar.","massive it's 56 inches pillar to pillar what's interesting"
"zJdnKBVuogc","00:01:51","00:01:52","What's interesting about the Hyperscreen","about the hyperscreen is"
"zJdnKBVuogc","00:01:53","00:01:54","is that it's actually several displays embedded","that it's actually several displays"
"zJdnKBVuogc","00:01:55","00:01:57","in one solid piece of curved glass.","embedded in one solid piece of curved glass"
"zJdnKBVuogc","00:01:58","00:02:00","Now there are three separate screens.","now there are three separate screens you've got the instrument"
"zJdnKBVuogc","00:02:00","00:02:02","You've got the instrument cluster behind the steering wheel.","cluster behind the steering wheel the main"
"zJdnKBVuogc","00:02:03","00:02:03","The main infotainment screen","infotainment"
"zJdnKBVuogc","00:02:04","00:02:05","in the central part of the dash.","screen in the central part of the dash and then you've got this"
"zJdnKBVuogc","00:02:06","00:02:07","And then you've got this extra screen over here","extra screen over here just an extra"
"zJdnKBVuogc","00:02:07","00:02:09","just an extra one for the passenger.","one for the passenger so"
"zJdnKBVuogc","00:02:09","00:02:11","So after you've driven the car a few times,","after you've driven the car a few times the"
"zJdnKBVuogc","00:02:12","00:02:14","the car is actually learning from how you use the car","car is actually learning from how you use the car and"
"zJdnKBVuogc","00:02:15","00:02:16","and it starts to surface the things","it starts to surface the things that you want"
"zJdnKBVuogc","00:02:16","00:02:17","that you want to use the most","to use the most in these"
"zJdnKBVuogc","00:02:17","00:02:19","in these little widgets down here at the bottom.","little widgets down here at the bottom so you've"
"zJdnKBVuogc","00:02:19","00:02:22","So you've got the main navigation here.","got the main navigation you've got the main navigation here you've got"
"zJdnKBVuogc","00:02:22","00:02:23","You've got your radio","your radio"
"zJdnKBVuogc","00:02:24","00:02:25","or your satellite radio","or your satellite radio"
"zJdnKBVuogc","00:02:26","00:02:28","or your streaming music service right here.","or your streaming radar music service right here"
"zJdnKBVuogc","00:02:29","00:02:29","And then it's got a couple of other widgets","and then it's got a couple of other"
"zJdnKBVuogc","00:02:30","00:02:30","a couple of other tiles.","widgets a couple of other"
"zJdnKBVuogc","00:02:31","00:02:32","They call them tiles,","tiles they call them tiles"
"zJdnKBVuogc","00:02:33","00:02:33","that surface here at the bottom.","that surface here at the bottom"
"zJdnKBVuogc","00:02:34","00:02:38","So it's determined in the short time that I've had the car","so it's determined in the short time that i've had the car uh that i"
"zJdnKBVuogc","00:02:38","00:02:39","that I want the massage.","want the massage"
"zJdnKBVuogc","00:02:40","00:02:41","The seat massage.","the the seat massage the"
"zJdnKBVuogc","00:02:41","00:02:43","The heating and cooling settings for my seat","heating and cooling settings for my seat"
"zJdnKBVuogc","00:02:44","00:02:47","as well as being able to link my device via Bluetooth.","as well as being able to link my device via bluetooth being able to link my device via bluetooth so the"
"zJdnKBVuogc","00:02:48","00:02:48","So the glass feels really nice.","glass feels"
"zJdnKBVuogc","00:02:49","00:02:49","It's really smooth.","really nice it's really smooth"
"zJdnKBVuogc","00:02:50","00:02:51","It feels very seamless.","it feels very seamless"
"zJdnKBVuogc","00:02:52","00:02:53","There's actually some haptic feedback.","there's actually some haptic feedback so if i hit the"
"zJdnKBVuogc","00:02:54","00:02:54","So if I hit the menu button right here,","menu button"
"zJdnKBVuogc","00:02:55","00:02:56","the home button,","right here the home button you actually get"
"zJdnKBVuogc","00:02:56","00:02:59","you actually get a nice little click.","a nice little click hey mercedes"
"zJdnKBVuogc","00:03:01","00:03:01","",""
"zJdnKBVuogc","00:03:02","00:03:02","- [Mercedes] How can I help?","how can i help"
"zJdnKBVuogc","00:03:03","00:03:04","- [Andrew] Turn on the air conditioner.","turn on the air conditioner"
"zJdnKBVuogc","00:03:05","00:03:06","","okay"
"zJdnKBVuogc","00:03:06","00:03:09","- [Mercedes] Okay, I'm activating the air conditioning.","i'm activating the air conditioning"
"zJdnKBVuogc","00:03:09","00:03:10","",""
"zJdnKBVuogc","00:03:11","00:03:11","- [Andrew] Hey, Mercedes.","hey mercedes"
"zJdnKBVuogc","00:03:12","00:03:13","",""
"zJdnKBVuogc","00:03:14","00:03:14","- [Mercedes] How may I help you?","how may i help you"
"zJdnKBVuogc","00:03:15","00:03:15","- [Andrew] I'm too cold.","i'm too"
"zJdnKBVuogc","00:03:16","00:03:18","","cold i'm increasing"
"zJdnKBVuogc","00:03:18","00:03:21","- [Mercedes] I'm increasing the temperature to 68 degrees.","the temperature to 68 degrees i'm increasing the temperature to 68 degrees so"
"zJdnKBVuogc","00:03:22","00:03:24","- So in terms of the screens in this vehicle,","in terms of the screens in this vehicle i i've given you a bit"
"zJdnKBVuogc","00:03:24","00:03:26","I've given you a bit of a sense of what's upfront,","of a sense of what's up to up front"
"zJdnKBVuogc","00:03:27","00:03:29","but it's literally half of the screens","but sense of what's up to up front but it's literally half of"
"zJdnKBVuogc","00:03:30","00:03:32","that are available this car.","the screens that are available in this car which is kind"
"zJdnKBVuogc","00:03:32","00:03:33","Which is kind of hilarious.","of hilarious"
"zJdnKBVuogc","00:03:34","00:03:37","You would think this 56"" long Hyperscreen","you would think this 56 inch long hyper screen"
"zJdnKBVuogc","00:03:38","00:03:39","would be enough screen for any car.","would be enough screen for any"
"zJdnKBVuogc","00:03:40","00:03:41","Not for Mercedes.","car not for mercedes"
"zJdnKBVuogc","00:03:41","00:03:43","Mercedes wants even more a screen.","wants even more screens so"
"zJdnKBVuogc","00:03:44","00:03:45","So, we can show you in the back seat","we can show you in the back seat"
"zJdnKBVuogc","00:03:45","00:03:47","there are two screens on the back of the headrest.","there are two screens on the back of the headrest for"
"zJdnKBVuogc","00:03:48","00:03:49","For both the driver and passenger seat.","both the driver and passenger seat"
"zJdnKBVuogc","00:03:50","00:03:54","So your rear passengers can enjoy various streaming","so your rear passengers can enjoy various streaming uh service capabilities"
"zJdnKBVuogc","00:03:54","00:03:55","service capabilities.","they"
"zJdnKBVuogc","00:03:55","00:03:56","They can look through the music.","can look through the music"
"zJdnKBVuogc","00:03:57","00:03:58","I think I just turned the lights on by accident.","i think i just turned the lights on by accident because"
"zJdnKBVuogc","00:03:59","00:04:02","Because there's just lots of haptic feedback.","there's just lots of haptic feedback"
"zJdnKBVuogc","00:04:03","00:04:04","Touch controls all over this thing,","touch controls all over this thing"
