"video_id","min_timecode","max_timecode","text.user","text.auto"
"Yr7U4tlaSI8","00:00:00","00:00:04","","[Music]"
"Yr7U4tlaSI8","00:00:05","00:00:08","MARISHA: Hello everyone, and welcome to our first","hello everyone hello everyone and welcome to our first state of the"
"Yr7U4tlaSI8","00:00:08","00:00:11","State of the Role of 2021.","role of 2021 yeah believe"
"Yr7U4tlaSI8","00:00:11","00:00:13","Yeah, believe it or not, it's actually been","it or not it's actually been right"
"Yr7U4tlaSI8","00:00:13","00:00:15","right at a year since we did one of these.","out a year since we did one of"
"Yr7U4tlaSI8","00:00:16","00:00:18","TRAVIS: Oh my god, and what a year it has been!","these oh my god and what a year it has been"
"Yr7U4tlaSI8","00:00:19","00:00:22","MARISHA: Yeah, last time it was just me","yeah yeah last time it was just me sitting on this"
"Yr7U4tlaSI8","00:00:22","00:00:23","sitting on this lonely, socially distant set,","lonely socially distant"
"Yr7U4tlaSI8","00:00:24","00:00:25","","set updating"
"Yr7U4tlaSI8","00:00:25","00:00:27","updating everyone on all the big changes","everyone on all the big changes that we had"
"Yr7U4tlaSI8","00:00:28","00:00:30","that we had to do because of the pandemic.","to do because of the pandemic yeah yeah"
"Yr7U4tlaSI8","00:00:31","00:00:31","MATT: Yeah. Yeah.","let's let's"
"Yr7U4tlaSI8","00:00:31","00:00:32","Let's hope this is the last State of the Role","hope this is the last state of the role"
"Yr7U4tlaSI8","00:00:33","00:00:34","that we have to do like this.","that we have to do like this"
"Yr7U4tlaSI8","00:00:35","00:00:35","TRAVIS: Yes. Agreed.","yes agreed"
"Yr7U4tlaSI8","00:00:36","00:00:39","And while the pandemic was certainly difficult for everyone,","and while the pandemic was certainly difficult for everyone um"
"Yr7U4tlaSI8","00:00:40","00:00:40","","it"
"Yr7U4tlaSI8","00:00:41","00:00:42","it really didn't slow us down all that much","really didn't slow us down"
"Yr7U4tlaSI8","00:00:43","00:00:44","here at good old Critical Role Land.","all that much here at good old critical role land i mean"
"Yr7U4tlaSI8","00:00:45","00:00:46","I mean, I have to say, I've been amazed and impressed","i have to say i've been amazed and impressed at how"
"Yr7U4tlaSI8","00:00:47","00:00:48","at how much our team has been able to accomplish","much our team has been able to"
"Yr7U4tlaSI8","00:00:49","00:00:52","under such weird and stressful circumstances.","accomplish under such weird and stressful accomplish under such weird and stressful circumstances yeah"
"Yr7U4tlaSI8","00:00:53","00:00:53","MATT: Yeah, no kidding.","no kidding"
"Yr7U4tlaSI8","00:00:54","00:00:56","Between launching Darrington Press,","like between launching darrington press the critical role"
"Yr7U4tlaSI8","00:00:56","00:00:57","the Critical Role Foundation,","foundation uh"
"Yr7U4tlaSI8","00:00:58","00:00:59","publishing our first game with Uk'otoa.","are publishing our first game with okatoa"
"Yr7U4tlaSI8","00:01:00","00:01:00","TRAVIS: Sure.","sure uh"
"Yr7U4tlaSI8","00:01:01","00:01:03","MATT: We had books. So many books.","with books so many books yeah"
"Yr7U4tlaSI8","00:01:03","00:01:04","TRAVIS: So many books! MARISHA: Yeah, yeah, yeah, yeah.","yeah let's see"
"Yr7U4tlaSI8","00:01:04","00:01:06","Let's see, we had The World of Critical Role,","we had the world of critical role with penguin random"
"Yr7U4tlaSI8","00:01:06","00:01:07","with Penguin Random House.","house"
"Yr7U4tlaSI8","00:01:07","00:01:10","We had, well, of course, The Explorer's Guide to Wildemount,","we had uh well of course the explorer's guide to wild"
"Yr7U4tlaSI8","00:01:11","00:01:12","with Wizards of the Coast.","mount with wizards of the coast we"
"Yr7U4tlaSI8","00:01:13","00:01:15","We have our first novel coming out","have uh our first novel coming out"
"Yr7U4tlaSI8","00:01:16","00:01:19","following young Vex and Vax in Kith and Kin.","following young vex and vaxx in kitten ken i"
"Yr7U4tlaSI8","00:01:19","00:01:20","I see what you did there.","see what you did there that'll"
"Yr7U4tlaSI8","00:01:21","00:01:22","That'll be coming out later this year.","be coming out later this year uh"
"Yr7U4tlaSI8","00:01:23","00:01:25","Jeez. So many, so many comics with Dark Horse.","jeez so many so many comics with dark horses"
"Yr7U4tlaSI8","00:01:25","00:01:26","TRAVIS: Oh. MATT: So many comics.","oh so many comics"
"Yr7U4tlaSI8","00:01:26","00:01:27","TRAVIS and MARISHA: Yeah.","yeah yeah and"
"Yr7U4tlaSI8","00:01:28","00:01:29","MARISHA: And also with all of that, I really have to give","also with all of that i i"
"Yr7U4tlaSI8","00:01:30","00:01:32","a huge shout-out to the production team","really have to give a huge shout out to the production team"
"Yr7U4tlaSI8","00:01:33","00:01:35","for not only completely rushing","for not only completely"
"Yr7U4tlaSI8","00:01:36","00:01:38","a whole new slate of content that was socially distant,","rushing a whole new slate of content that was socially distant"
"Yr7U4tlaSI8","00:01:39","00:01:43","but also rebuilding how we produce Critical Role,","but also rebuilding that was socially distant but also rebuilding how we produce critical role pretty"
"Yr7U4tlaSI8","00:01:43","00:01:46","pretty much from the ground up,","much from the ground up all while maintaining"
"Yr7U4tlaSI8","00:01:46","00:01:49","all while maintaining a safety first priority.","a safety first priority yeah you're damn"
"Yr7U4tlaSI8","00:01:50","00:01:50","TRAVIS: Yeah, you're damn right.","right all"
"Yr7U4tlaSI8","00:01:50","00:01:52","All of that, and they still had the bandwidth","of that and and they still had the bandwidth"
"Yr7U4tlaSI8","00:01:53","00:01:56","to produce brand new, really cool shit.","to produce brand new really cool"
"Yr7U4tlaSI8","00:01:57","00:01:57","Which...","which"
"Yr7U4tlaSI8","00:01:57","00:01:58","","segway"
"Yr7U4tlaSI8","00:01:59","00:02:00","Segue. I mean, that's kind of what we're here to talk about.","i mean that's kind"
"Yr7U4tlaSI8","00:02:01","00:02:02","MATT: Right, right. Can we show them?","of what we're here to talk about right can we show them can"
"Yr7U4tlaSI8","00:02:02","00:02:03","Can we, can we show them, please?","we just"
"Yr7U4tlaSI8","00:02:04","00:02:05","MARISHA: Okay, okay, okay. Yeah.","please okay okay okay yeah enough patting ourselves on"
"Yr7U4tlaSI8","00:02:05","00:02:06","Enough patting ourselves on the back.","the back"
"Yr7U4tlaSI8","00:02:07","00:02:08","We are super excited, as you can tell,","we are super excited as you can tell"
"Yr7U4tlaSI8","00:02:09","00:02:12","to announce our brand-new show for this summer.","to announce our brand new show for this summer"
"Yr7U4tlaSI8","00:02:13","00:02:14","","you"
"Yr7U4tlaSI8","00:02:15","00:02:16","You know what? Just take a look. TRAVIS: Oh!","know what just take a look oh"
"Yr7U4tlaSI8","00:02:16","00:02:18","",""
"Yr7U4tlaSI8","00:02:19","00:02:20","[upbeat flute music]","i"
