video_id,lang,text,timecode
k8MlLjhtrdQ,English,,0:00 / 8:59
k8MlLjhtrdQ,English,"The original version of Pixar's Luca was going to be very different, from a huge monster",0:01 / 8:59
k8MlLjhtrdQ,English,"The original version of Pixar's Luca was going to be very different, from a huge monster",0:02 / 8:59
k8MlLjhtrdQ,English,"The original version of Pixar's Luca was going to be very different, from a huge monster",0:03 / 8:59
k8MlLjhtrdQ,English,"The original version of Pixar's Luca was going to be very different, from a huge monster",0:04 / 8:59
k8MlLjhtrdQ,English,"The original version of Pixar's Luca was going to be very different, from a huge monster",0:05 / 8:59
k8MlLjhtrdQ,English,"movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.",0:05 / 8:59
k8MlLjhtrdQ,English,"movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.",0:06 / 8:59
k8MlLjhtrdQ,English,"movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.",0:07 / 8:59
k8MlLjhtrdQ,English,"movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.",0:08 / 8:59
k8MlLjhtrdQ,English,"movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.",0:09 / 8:59
k8MlLjhtrdQ,English,"movie ending, to a quest for magical tokens, and a missing John Ratzenberger cameo.",0:10 / 8:59
k8MlLjhtrdQ,English,"Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending",0:10 / 8:59
k8MlLjhtrdQ,English,"Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending",0:11 / 8:59
k8MlLjhtrdQ,English,"Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending",0:12 / 8:59
k8MlLjhtrdQ,English,"Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending",0:13 / 8:59
k8MlLjhtrdQ,English,"Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending",0:14 / 8:59
k8MlLjhtrdQ,English,"Yippee-ki-yay, movie lovers, I'm Jan and in this video I'm revealing the alternate ending",0:15 / 8:59
k8MlLjhtrdQ,English,of Luca and some of the scenes and storylines you never got to see!,0:15 / 8:59
k8MlLjhtrdQ,English,of Luca and some of the scenes and storylines you never got to see!,0:16 / 8:59
k8MlLjhtrdQ,English,of Luca and some of the scenes and storylines you never got to see!,0:17 / 8:59
k8MlLjhtrdQ,English,of Luca and some of the scenes and storylines you never got to see!,0:18 / 8:59
k8MlLjhtrdQ,English,"Spoilers ahead, of course, so take care.",0:19 / 8:59
k8MlLjhtrdQ,English,"Spoilers ahead, of course, so take care.",0:20 / 8:59
k8MlLjhtrdQ,English,"Spoilers ahead, of course, so take care.",0:21 / 8:59
k8MlLjhtrdQ,English,Before Pixar's filmmakers landed on the beautiful bittersweet ending for Luca we see in the,0:22 / 8:59
k8MlLjhtrdQ,English,Before Pixar's filmmakers landed on the beautiful bittersweet ending for Luca we see in the,0:23 / 8:59
k8MlLjhtrdQ,English,Before Pixar's filmmakers landed on the beautiful bittersweet ending for Luca we see in the,0:24 / 8:59
k8MlLjhtrdQ,English,Before Pixar's filmmakers landed on the beautiful bittersweet ending for Luca we see in the,0:25 / 8:59
k8MlLjhtrdQ,English,"final film, the movie's finale was originally going to be more of a giant monster battle.",0:26 / 8:59
k8MlLjhtrdQ,English,"final film, the movie's finale was originally going to be more of a giant monster battle.",0:27 / 8:59
k8MlLjhtrdQ,English,"final film, the movie's finale was originally going to be more of a giant monster battle.",0:28 / 8:59
k8MlLjhtrdQ,English,"final film, the movie's finale was originally going to be more of a giant monster battle.",0:29 / 8:59
k8MlLjhtrdQ,English,"final film, the movie's finale was originally going to be more of a giant monster battle.",0:30 / 8:59
k8MlLjhtrdQ,English,"final film, the movie's finale was originally going to be more of a giant monster battle.",0:31 / 8:59
k8MlLjhtrdQ,English,This particular story leaned much more heavily than the final film into the division between,0:31 / 8:59
k8MlLjhtrdQ,English,This particular story leaned much more heavily than the final film into the division between,0:32 / 8:59
k8MlLjhtrdQ,English,This particular story leaned much more heavily than the final film into the division between,0:33 / 8:59
k8MlLjhtrdQ,English,This particular story leaned much more heavily than the final film into the division between,0:34 / 8:59
k8MlLjhtrdQ,English,This particular story leaned much more heavily than the final film into the division between,0:35 / 8:59
k8MlLjhtrdQ,English,This particular story leaned much more heavily than the final film into the division between,0:36 / 8:59
k8MlLjhtrdQ,English,"humans and seas monsters, setting them up as two diametrically opposed factions or worlds,",0:36 / 8:59
k8MlLjhtrdQ,English,"humans and seas monsters, setting them up as two diametrically opposed factions or worlds,",0:37 / 8:59
k8MlLjhtrdQ,English,"humans and seas monsters, setting them up as two diametrically opposed factions or worlds,",0:38 / 8:59
k8MlLjhtrdQ,English,"humans and seas monsters, setting them up as two diametrically opposed factions or worlds,",0:39 / 8:59
k8MlLjhtrdQ,English,"humans and seas monsters, setting them up as two diametrically opposed factions or worlds,",0:40 / 8:59
k8MlLjhtrdQ,English,"humans and seas monsters, setting them up as two diametrically opposed factions or worlds,",0:41 / 8:59
k8MlLjhtrdQ,English,which director Enrico Casarosa compared in an interview with SlashFilm to the divide,0:42 / 8:59
k8MlLjhtrdQ,English,which director Enrico Casarosa compared in an interview with SlashFilm to the divide,0:43 / 8:59
k8MlLjhtrdQ,English,which director Enrico Casarosa compared in an interview with SlashFilm to the divide,0:44 / 8:59
k8MlLjhtrdQ,English,which director Enrico Casarosa compared in an interview with SlashFilm to the divide,0:45 / 8:59
k8MlLjhtrdQ,English,which director Enrico Casarosa compared in an interview with SlashFilm to the divide,0:46 / 8:59
k8MlLjhtrdQ,English,between the Capulets and Montagues in Romeo & Juliet.,0:46 / 8:59
k8MlLjhtrdQ,English,between the Capulets and Montagues in Romeo & Juliet.,0:47 / 8:59
k8MlLjhtrdQ,English,between the Capulets and Montagues in Romeo & Juliet.,0:48 / 8:59
k8MlLjhtrdQ,English,between the Capulets and Montagues in Romeo & Juliet.,0:49 / 8:59
k8MlLjhtrdQ,English,Although in the final film the townspeople of Portorosso are still fearful of sea monsters,0:49 / 8:59
k8MlLjhtrdQ,English,Although in the final film the townspeople of Portorosso are still fearful of sea monsters,0:50 / 8:59
k8MlLjhtrdQ,English,Although in the final film the townspeople of Portorosso are still fearful of sea monsters,0:51 / 8:59
k8MlLjhtrdQ,English,Although in the final film the townspeople of Portorosso are still fearful of sea monsters,0:52 / 8:59
k8MlLjhtrdQ,English,Although in the final film the townspeople of Portorosso are still fearful of sea monsters,0:53 / 8:59
k8MlLjhtrdQ,English,Although in the final film the townspeople of Portorosso are still fearful of sea monsters,0:54 / 8:59
k8MlLjhtrdQ,English,"with a reward being set up after a recent sighting of one, it sounds like in the earlier",0:54 / 8:59
k8MlLjhtrdQ,English,"with a reward being set up after a recent sighting of one, it sounds like in the earlier",0:55 / 8:59
k8MlLjhtrdQ,English,"with a reward being set up after a recent sighting of one, it sounds like in the earlier",0:56 / 8:59
k8MlLjhtrdQ,English,"with a reward being set up after a recent sighting of one, it sounds like in the earlier",0:57 / 8:59
k8MlLjhtrdQ,English,"with a reward being set up after a recent sighting of one, it sounds like in the earlier",0:58 / 8:59
k8MlLjhtrdQ,English,"version this confrontation between the two worlds was going to be even more intense,",0:59 / 8:59
k8MlLjhtrdQ,English,"version this confrontation between the two worlds was going to be even more intense,",1:00 / 8:59
k8MlLjhtrdQ,English,"version this confrontation between the two worlds was going to be even more intense,",1:01 / 8:59
k8MlLjhtrdQ,English,"version this confrontation between the two worlds was going to be even more intense,",1:02 / 8:59
k8MlLjhtrdQ,English,"version this confrontation between the two worlds was going to be even more intense,",1:03 / 8:59
k8MlLjhtrdQ,English,"with the original plan being for Alberto to transform into a kraken, an enormous mythical",1:04 / 8:59
k8MlLjhtrdQ,English,"with the original plan being for Alberto to transform into a kraken, an enormous mythical",1:05 / 8:59
k8MlLjhtrdQ,English,"with the original plan being for Alberto to transform into a kraken, an enormous mythical",1:06 / 8:59
k8MlLjhtrdQ,English,"with the original plan being for Alberto to transform into a kraken, an enormous mythical",1:07 / 8:59
k8MlLjhtrdQ,English,"sea monster that looks like a humungous octopus or squid, with Luca then standing up to defend",1:08 / 8:59
k8MlLjhtrdQ,English,"sea monster that looks like a humungous octopus or squid, with Luca then standing up to defend",1:09 / 8:59
k8MlLjhtrdQ,English,"sea monster that looks like a humungous octopus or squid, with Luca then standing up to defend",1:10 / 8:59
k8MlLjhtrdQ,English,"sea monster that looks like a humungous octopus or squid, with Luca then standing up to defend",1:11 / 8:59
k8MlLjhtrdQ,English,"sea monster that looks like a humungous octopus or squid, with Luca then standing up to defend",1:12 / 8:59
k8MlLjhtrdQ,English,"and protect his friend. However, as Casarosa told Cinema Blend a conversation",1:13 / 8:59
k8MlLjhtrdQ,English,"and protect his friend. However, as Casarosa told Cinema Blend a conversation",1:14 / 8:59
k8MlLjhtrdQ,English,"and protect his friend. However, as Casarosa told Cinema Blend a conversation",1:15 / 8:59
k8MlLjhtrdQ,English,"and protect his friend. However, as Casarosa told Cinema Blend a conversation",1:16 / 8:59
k8MlLjhtrdQ,English,"and protect his friend. However, as Casarosa told Cinema Blend a conversation",1:17 / 8:59
k8MlLjhtrdQ,English,he had with his own real-life best friend ended up inspiring him to completely retool,1:18 / 8:59
k8MlLjhtrdQ,English,he had with his own real-life best friend ended up inspiring him to completely retool,1:19 / 8:59
k8MlLjhtrdQ,English,he had with his own real-life best friend ended up inspiring him to completely retool,1:20 / 8:59
k8MlLjhtrdQ,English,he had with his own real-life best friend ended up inspiring him to completely retool,1:21 / 8:59
k8MlLjhtrdQ,English,he had with his own real-life best friend ended up inspiring him to completely retool,1:22 / 8:59
k8MlLjhtrdQ,English,the film's finale. That movie-changing chat was all about their,1:23 / 8:59
k8MlLjhtrdQ,English,the film's finale. That movie-changing chat was all about their,1:24 / 8:59
k8MlLjhtrdQ,English,the film's finale. That movie-changing chat was all about their,1:25 / 8:59
k8MlLjhtrdQ,English,the film's finale. That movie-changing chat was all about their,1:26 / 8:59
k8MlLjhtrdQ,English,own friendship and how good friends help each other grow but eventually that often takes,1:27 / 8:59
k8MlLjhtrdQ,English,own friendship and how good friends help each other grow but eventually that often takes,1:28 / 8:59
