"video_id","min_timecode","max_timecode","text.user","text.auto"
"uG5xcr1tphM","00:00:00","00:00:00","","kate"
"uG5xcr1tphM","00:00:01","00:00:05","Kate Middleton is one of 30 guests in attendance at Prince Philip's funeral, and appropriately,","middleton is one of 30 guests in attendance at prince philip's funeral and appropriately she donned an all-black"
"uG5xcr1tphM","00:00:05","00:00:09","she donned an all-black outfit, designed by Roland Mouret, to mourn the royal family patriarch.","outfit designed by roland murray to mourn the royal family patriarch"
"uG5xcr1tphM","00:00:10","00:00:13","Upon leaving for St. George's Chapel in Windsor, the Duchess of Cambridge was photographed","upon leaving for st george's chapel in windsor the duchess of cambridge was photographed"
"uG5xcr1tphM","00:00:14","00:00:17","wearing a black hat — complete with black netting — and face mask as well. Meanwhile,","wearing a black hat complete with black netting and face mask as well meanwhile"
"uG5xcr1tphM","00:00:18","00:00:22","eagle-eyed royal watchers may have noticed Kate is also adorned in some familiar jewelry,","eagle-eyed royal watchers may have noticed kate is also adorned in some familiar jewelry which has a deep meaning for"
"uG5xcr1tphM","00:00:22","00:00:23","which has a deep meaning for the family.","the family"
"uG5xcr1tphM","00:00:24","00:00:27","Indeed, Prince William's wife was seen wearing the Queen's pearl necklace — which is said","indeed prince william's wife was seen wearing the queen's pearl necklace which is said"
"uG5xcr1tphM","00:00:27","00:00:31","to be from her personal collection. This is not the first time Kate has worn the elegant","to be from her personal collection this is not the first time kate has worn the elegant piece"
"uG5xcr1tphM","00:00:32","00:00:36","piece, having also accessorized with the choker in 2017 at a birthday celebration for Margaret","having also accessorized with the choker in 2017 at a birthday celebration for margaret"
"uG5xcr1tphM","00:00:36","00:00:38","Thatcher, according to the Daily Mail.","thatcher according to the daily mail meanwhile"
"uG5xcr1tphM","00:00:39","00:00:42","Meanwhile, someone else very special to both Kate and the royal family has also worn the","someone else very special to both kate and the royal family has also worn the pearl necklace"
"uG5xcr1tphM","00:00:42","00:00:45","pearl necklace in the past. But just who it is may surprise those who have followed the","in the past but just who it is may surprise those who have followed"
"uG5xcr1tphM","00:00:46","00:00:49","drama that has plagued the British royals for several decades.","the drama that has plagued the british royals for several decades princess diana"
