video_id,lang,text,timecode
3Q0DnSXlsR4,English,"- The Xbox Series S is looking very, very real.",0:00 / 8:38
3Q0DnSXlsR4,English,"- The Xbox Series S is looking very, very real.",0:01 / 8:38
3Q0DnSXlsR4,English,"- The Xbox Series S is looking very, very real.",0:02 / 8:38
3Q0DnSXlsR4,English,"- The Xbox Series S is looking very, very real.",0:03 / 8:38
3Q0DnSXlsR4,English,"- The Xbox Series S is looking very, very real.",0:04 / 8:38
3Q0DnSXlsR4,English,"So it's late, and we've just seen a absolute avalanche",0:04 / 8:38
3Q0DnSXlsR4,English,"So it's late, and we've just seen a absolute avalanche",0:05 / 8:38
3Q0DnSXlsR4,English,"So it's late, and we've just seen a absolute avalanche",0:06 / 8:38
3Q0DnSXlsR4,English,"So it's late, and we've just seen a absolute avalanche",0:07 / 8:38
3Q0DnSXlsR4,English,of leaks all over Twitter,0:08 / 8:38
3Q0DnSXlsR4,English,of leaks all over Twitter,0:09 / 8:38
3Q0DnSXlsR4,English,about the brand new lower-end version of the Xbox Series X,0:10 / 8:38
3Q0DnSXlsR4,English,about the brand new lower-end version of the Xbox Series X,0:11 / 8:38
3Q0DnSXlsR4,English,about the brand new lower-end version of the Xbox Series X,0:12 / 8:38
3Q0DnSXlsR4,English,about the brand new lower-end version of the Xbox Series X,0:13 / 8:38
3Q0DnSXlsR4,English,actually named the Xbox Series S.,0:14 / 8:38
3Q0DnSXlsR4,English,actually named the Xbox Series S.,0:15 / 8:38
3Q0DnSXlsR4,English,actually named the Xbox Series S.,0:16 / 8:38
3Q0DnSXlsR4,English,"Right now it looks like we are on November 10th,",0:17 / 8:38
3Q0DnSXlsR4,English,"Right now it looks like we are on November 10th,",0:18 / 8:38
3Q0DnSXlsR4,English,"Right now it looks like we are on November 10th,",0:19 / 8:38
3Q0DnSXlsR4,English,going to be looking at two brand new,0:20 / 8:38
3Q0DnSXlsR4,English,going to be looking at two brand new,0:21 / 8:38
3Q0DnSXlsR4,English,"next-generation, Xbox consoles.",0:21 / 8:38
3Q0DnSXlsR4,English,"next-generation, Xbox consoles.",0:22 / 8:38
3Q0DnSXlsR4,English,"next-generation, Xbox consoles.",0:23 / 8:38
3Q0DnSXlsR4,English,"First of all, the one that we already know,",0:23 / 8:38
3Q0DnSXlsR4,English,"First of all, the one that we already know,",0:24 / 8:38
3Q0DnSXlsR4,English,"the Xbox Series X looks to launch at the $500 price point,",0:25 / 8:38
3Q0DnSXlsR4,English,"the Xbox Series X looks to launch at the $500 price point,",0:26 / 8:38
3Q0DnSXlsR4,English,"the Xbox Series X looks to launch at the $500 price point,",0:27 / 8:38
3Q0DnSXlsR4,English,"the Xbox Series X looks to launch at the $500 price point,",0:28 / 8:38
3Q0DnSXlsR4,English,"the Xbox Series X looks to launch at the $500 price point,",0:29 / 8:38
3Q0DnSXlsR4,English,"at least assuming that all of these leaks,",0:30 / 8:38
3Q0DnSXlsR4,English,"at least assuming that all of these leaks,",0:31 / 8:38
3Q0DnSXlsR4,English,which have just absolutely taken over tonight are true.,0:32 / 8:38
3Q0DnSXlsR4,English,which have just absolutely taken over tonight are true.,0:33 / 8:38
3Q0DnSXlsR4,English,"Now that's an aggressive price point,",0:34 / 8:38
3Q0DnSXlsR4,English,"Now that's an aggressive price point,",0:35 / 8:38
3Q0DnSXlsR4,English,"Now that's an aggressive price point,",0:36 / 8:38
3Q0DnSXlsR4,English,"but we'll talk a little bit about that later,",0:36 / 8:38
3Q0DnSXlsR4,English,"but we'll talk a little bit about that later,",0:37 / 8:38
3Q0DnSXlsR4,English,because what's really exciting is the Xbox Series S at $299.,0:38 / 8:38
3Q0DnSXlsR4,English,because what's really exciting is the Xbox Series S at $299.,0:39 / 8:38
3Q0DnSXlsR4,English,because what's really exciting is the Xbox Series S at $299.,0:40 / 8:38
3Q0DnSXlsR4,English,because what's really exciting is the Xbox Series S at $299.,0:41 / 8:38
3Q0DnSXlsR4,English,,0:42 / 8:38
3Q0DnSXlsR4,English,,0:43 / 8:38
3Q0DnSXlsR4,English,,0:44 / 8:38
3Q0DnSXlsR4,English,"Yeah, so this next generation is looking at, look at spicy.",0:45 / 8:38
3Q0DnSXlsR4,English,"Yeah, so this next generation is looking at, look at spicy.",0:46 / 8:38
3Q0DnSXlsR4,English,"Yeah, so this next generation is looking at, look at spicy.",0:47 / 8:38
3Q0DnSXlsR4,English,"Yeah, so this next generation is looking at, look at spicy.",0:48 / 8:38
3Q0DnSXlsR4,English,"So not only are their photos of this Xbox Series,",0:49 / 8:38
3Q0DnSXlsR4,English,"So not only are their photos of this Xbox Series,",0:50 / 8:38
3Q0DnSXlsR4,English,"So not only are their photos of this Xbox Series,",0:51 / 8:38
3Q0DnSXlsR4,English,"that's floating around,",0:52 / 8:38
3Q0DnSXlsR4,English,but there's even a snippet of why I can only assume,0:53 / 8:38
3Q0DnSXlsR4,English,but there's even a snippet of why I can only assume,0:54 / 8:38
3Q0DnSXlsR4,English,"as the Microsoft launch video for the Series S,",0:55 / 8:38
3Q0DnSXlsR4,English,"as the Microsoft launch video for the Series S,",0:56 / 8:38
3Q0DnSXlsR4,English,"as the Microsoft launch video for the Series S,",0:57 / 8:38
3Q0DnSXlsR4,English,I'll play it for you now.,0:57 / 8:38
3Q0DnSXlsR4,English,I'll play it for you now.,0:58 / 8:38
3Q0DnSXlsR4,English,- [Narrator] See it in its actual form for the first time,0:58 / 8:38
3Q0DnSXlsR4,English,- [Narrator] See it in its actual form for the first time,0:59 / 8:38
3Q0DnSXlsR4,English,- [Narrator] See it in its actual form for the first time,1:00 / 8:38
3Q0DnSXlsR4,English,and how small it is.,1:01 / 8:38
3Q0DnSXlsR4,English,It is.,1:02 / 8:38
3Q0DnSXlsR4,English,- So what this clip really shows is the size,1:03 / 8:38
3Q0DnSXlsR4,English,- So what this clip really shows is the size,1:04 / 8:38
3Q0DnSXlsR4,English,of that Series S.,1:05 / 8:38
3Q0DnSXlsR4,English,of that Series S.,1:06 / 8:38
3Q0DnSXlsR4,English,So it is much more akin to something like the Xbox One S,1:06 / 8:38
3Q0DnSXlsR4,English,So it is much more akin to something like the Xbox One S,1:07 / 8:38
3Q0DnSXlsR4,English,So it is much more akin to something like the Xbox One S,1:08 / 8:38
3Q0DnSXlsR4,English,So it is much more akin to something like the Xbox One S,1:09 / 8:38
3Q0DnSXlsR4,English,"compared to the Series X,",1:09 / 8:38
3Q0DnSXlsR4,English,"compared to the Series X,",1:10 / 8:38
3Q0DnSXlsR4,English,"which while when you look at it, besides something",1:11 / 8:38
3Q0DnSXlsR4,English,"which while when you look at it, besides something",1:12 / 8:38
3Q0DnSXlsR4,English,like a PlayStation five is actually,1:12 / 8:38
3Q0DnSXlsR4,English,like a PlayStation five is actually,1:13 / 8:38
3Q0DnSXlsR4,English,like a PlayStation five is actually,1:14 / 8:38
3Q0DnSXlsR4,English,"relatively reasonably sized,",1:14 / 8:38
3Q0DnSXlsR4,English,"relatively reasonably sized,",1:15 / 8:38
3Q0DnSXlsR4,English,but it's a little bit of a thick boy.,1:16 / 8:38
3Q0DnSXlsR4,English,but it's a little bit of a thick boy.,1:17 / 8:38
3Q0DnSXlsR4,English,"However, with the Series S, I'm assuming that they're going",1:18 / 8:38
3Q0DnSXlsR4,English,"However, with the Series S, I'm assuming that they're going",1:19 / 8:38
3Q0DnSXlsR4,English,"to go with a much more traditional cooling,",1:20 / 8:38
3Q0DnSXlsR4,English,"to go with a much more traditional cooling,",1:21 / 8:38
3Q0DnSXlsR4,English,"and therefore they're going to go for a console,",1:22 / 8:38
3Q0DnSXlsR4,English,"and therefore they're going to go for a console,",1:23 / 8:38
3Q0DnSXlsR4,English,"and therefore they're going to go for a console,",1:24 / 8:38
3Q0DnSXlsR4,English,which looks a lot more like what we're used to seeing.,1:24 / 8:38
3Q0DnSXlsR4,English,which looks a lot more like what we're used to seeing.,1:25 / 8:38
3Q0DnSXlsR4,English,which looks a lot more like what we're used to seeing.,1:26 / 8:38
3Q0DnSXlsR4,English,"And it's kind of hard to see from this specific video,",1:27 / 8:38
3Q0DnSXlsR4,English,"And it's kind of hard to see from this specific video,",1:28 / 8:38
3Q0DnSXlsR4,English,"And it's kind of hard to see from this specific video,",1:29 / 8:38
3Q0DnSXlsR4,English,"the exact dimensions,",1:29 / 8:38
3Q0DnSXlsR4,English,"the exact dimensions,",1:30 / 8:38
3Q0DnSXlsR4,English,but inside you're going to be getting,1:30 / 8:38
3Q0DnSXlsR4,English,but inside you're going to be getting,1:31 / 8:38
3Q0DnSXlsR4,English,but inside you're going to be getting,1:32 / 8:38
3Q0DnSXlsR4,English,a lot of that next-generation capabilities.,1:32 / 8:38
3Q0DnSXlsR4,English,a lot of that next-generation capabilities.,1:33 / 8:38
3Q0DnSXlsR4,English,"So the X box Series S at $299, of course,",1:34 / 8:38
3Q0DnSXlsR4,English,"So the X box Series S at $299, of course,",1:35 / 8:38
3Q0DnSXlsR4,English,"So the X box Series S at $299, of course,",1:36 / 8:38
3Q0DnSXlsR4,English,does have some cutbacks compared to the full Series X.,1:37 / 8:38
3Q0DnSXlsR4,English,does have some cutbacks compared to the full Series X.,1:38 / 8:38
3Q0DnSXlsR4,English,does have some cutbacks compared to the full Series X.,1:39 / 8:38
3Q0DnSXlsR4,English,does have some cutbacks compared to the full Series X.,1:40 / 8:38
3Q0DnSXlsR4,English,"So first and foremost, the most obvious thing",1:41 / 8:38
3Q0DnSXlsR4,English,"So first and foremost, the most obvious thing",1:42 / 8:38
3Q0DnSXlsR4,English,is going to be the fact that it will not have a disc drive.,1:43 / 8:38
3Q0DnSXlsR4,English,is going to be the fact that it will not have a disc drive.,1:44 / 8:38
3Q0DnSXlsR4,English,is going to be the fact that it will not have a disc drive.,1:45 / 8:38
3Q0DnSXlsR4,English,"Now, this is something that has been rumored",1:46 / 8:38
3Q0DnSXlsR4,English,"for almost a year, maybe year and a half at this point.",1:47 / 8:38
3Q0DnSXlsR4,English,"for almost a year, maybe year and a half at this point.",1:48 / 8:38
3Q0DnSXlsR4,English,"for almost a year, maybe year and a half at this point.",1:49 / 8:38
3Q0DnSXlsR4,English,"And pretty much from the beginning,",1:50 / 8:38
3Q0DnSXlsR4,English,"And pretty much from the beginning,",1:51 / 8:38
3Q0DnSXlsR4,English,it was meant to be almost like a spiritual successor,1:51 / 8:38
3Q0DnSXlsR4,English,it was meant to be almost like a spiritual successor,1:52 / 8:38
3Q0DnSXlsR4,English,to the Xbox One S all-digital edition.,1:53 / 8:38
3Q0DnSXlsR4,English,to the Xbox One S all-digital edition.,1:54 / 8:38
3Q0DnSXlsR4,English,to the Xbox One S all-digital edition.,1:55 / 8:38
3Q0DnSXlsR4,English,to the Xbox One S all-digital edition.,1:56 / 8:38
3Q0DnSXlsR4,English,"So while you're giving up the optical drive,",1:57 / 8:38
3Q0DnSXlsR4,English,"So while you're giving up the optical drive,",1:58 / 8:38
3Q0DnSXlsR4,English,"which let's face it, probably not that important",1:59 / 8:38
3Q0DnSXlsR4,English,"which let's face it, probably not that important",2:00 / 8:38
3Q0DnSXlsR4,English,"which let's face it, probably not that important",2:01 / 8:38
3Q0DnSXlsR4,English,to most of you.,2:02 / 8:38
3Q0DnSXlsR4,English,"And of course, there is also a PlayStation 5",2:03 / 8:38
3Q0DnSXlsR4,English,"And of course, there is also a PlayStation 5",2:04 / 8:38
3Q0DnSXlsR4,English,with no optical drive.,2:05 / 8:38
3Q0DnSXlsR4,English,"But beyond that, there are a few more cuts.",2:06 / 8:38
3Q0DnSXlsR4,English,"But beyond that, there are a few more cuts.",2:07 / 8:38
3Q0DnSXlsR4,English,"Essentially, this is meant to be a console,",2:08 / 8:38
3Q0DnSXlsR4,English,"Essentially, this is meant to be a console,",2:09 / 8:38
3Q0DnSXlsR4,English,which is focused at 10 ADP and maybe a little bit,2:09 / 8:38
3Q0DnSXlsR4,English,which is focused at 10 ADP and maybe a little bit,2:10 / 8:38
