video_id,lang,text,timecode
l9nXRWAlgw4,English (United Kingdom),P: We finally moved! I have space! I've got carpet that's not an echoy tile!,0:00 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We finally moved! I have space! I've got carpet that's not an echoy tile!,0:01 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We finally moved! I have space! I've got carpet that's not an echoy tile!,0:02 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We finally moved! I have space! I've got carpet that's not an echoy tile!,0:03 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We finally moved! I have space! I've got carpet that's not an echoy tile!,0:04 / 22:45
l9nXRWAlgw4,English (United Kingdom),So this is my new filming background  (snazzy music),0:05 / 22:45
l9nXRWAlgw4,English (United Kingdom),So this is my new filming background  (snazzy music),0:06 / 22:45
l9nXRWAlgw4,English (United Kingdom),So this is my new filming background  (snazzy music),0:07 / 22:45
l9nXRWAlgw4,English (United Kingdom),So this is my new filming background  (snazzy music),0:08 / 22:45
l9nXRWAlgw4,English (United Kingdom),So this is my new filming background  (snazzy music),0:09 / 22:45
l9nXRWAlgw4,English (United Kingdom),"It's also a fold-down bed, incase I ever wanna do (laughs) porn",0:10 / 22:45
l9nXRWAlgw4,English (United Kingdom),"It's also a fold-down bed, incase I ever wanna do (laughs) porn",0:11 / 22:45
l9nXRWAlgw4,English (United Kingdom),"It's also a fold-down bed, incase I ever wanna do (laughs) porn",0:12 / 22:45
l9nXRWAlgw4,English (United Kingdom),"It's also a fold-down bed, incase I ever wanna do (laughs) porn",0:13 / 22:45
l9nXRWAlgw4,English (United Kingdom),"or I have more than one friend staying  over, which is very unlikely",0:13 / 22:45
l9nXRWAlgw4,English (United Kingdom),"or I have more than one friend staying  over, which is very unlikely",0:14 / 22:45
l9nXRWAlgw4,English (United Kingdom),"or I have more than one friend staying  over, which is very unlikely",0:15 / 22:45
l9nXRWAlgw4,English (United Kingdom),"or I have more than one friend staying  over, which is very unlikely",0:16 / 22:45
l9nXRWAlgw4,English (United Kingdom),"or I have more than one friend staying  over, which is very unlikely",0:17 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:17 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:18 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:19 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:20 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:21 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:22 / 22:45
l9nXRWAlgw4,English (United Kingdom),"because we don't have more than one friend D: Ooh, bro. (P laughs)",0:23 / 22:45
l9nXRWAlgw4,English (United Kingdom),"P: Let's bring in my other box boy, or not D: I was here the whole time",0:24 / 22:45
l9nXRWAlgw4,English (United Kingdom),"P: Let's bring in my other box boy, or not D: I was here the whole time",0:25 / 22:45
l9nXRWAlgw4,English (United Kingdom),"P: Let's bring in my other box boy, or not D: I was here the whole time",0:26 / 22:45
l9nXRWAlgw4,English (United Kingdom),"P: Let's bring in my other box boy, or not D: I was here the whole time",0:27 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: Not box boy because we got rid of all of the boxes D: What are we now?,0:28 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: Not box boy because we got rid of all of the boxes D: What are we now?,0:29 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: Not box boy because we got rid of all of the boxes D: What are we now?,0:30 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: Not box boy because we got rid of all of the boxes D: What are we now?,0:31 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We're now boys (honk) D: We're just a  couple of boys,0:31 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We're now boys (honk) D: We're just a  couple of boys,0:32 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We're now boys (honk) D: We're just a  couple of boys,0:33 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We're now boys (honk) D: We're just a  couple of boys,0:34 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We're now boys (honk) D: We're just a  couple of boys,0:35 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We've moved we're now men. D: It has to be a pun. P: Empty-,0:36 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We've moved we're now men. D: It has to be a pun. P: Empty-,0:37 / 22:45
l9nXRWAlgw4,English (United Kingdom),P: We've moved we're now men. D: It has to be a pun. P: Empty-,0:38 / 22:45
l9nXRWAlgw4,English (United Kingdom),D: Homeowning Homosexuals P: That's what we are (laughs) umm,0:39 / 22:45
l9nXRWAlgw4,English (United Kingdom),D: Homeowning Homosexuals P: That's what we are (laughs) umm,0:40 / 22:45
l9nXRWAlgw4,English (United Kingdom),D: Homeowning Homosexuals P: That's what we are (laughs) umm,0:41 / 22:45
l9nXRWAlgw4,English (United Kingdom),D: Homeowning Homosexuals P: That's what we are (laughs) umm,0:42 / 22:45
l9nXRWAlgw4,English (United Kingdom),D: Homeowning Homosexuals P: That's what we are (laughs) umm,0:43 / 22:45
l9nXRWAlgw4,English (United Kingdom),"If I ever see another cardboard box I'm  gonna D: punch it, scream, cry P: Cry",0:43 / 22:45
l9nXRWAlgw4,English (United Kingdom),"If I ever see another cardboard box I'm  gonna D: punch it, scream, cry P: Cry",0:44 / 22:45
