video_id,lang,text,timecode
aw8kRZEvh_s,English (United States),,0:00 / 27:16
aw8kRZEvh_s,English (United States),,0:01 / 27:16
aw8kRZEvh_s,English (United States),,0:02 / 27:16
aw8kRZEvh_s,English (United States),,0:03 / 27:16
aw8kRZEvh_s,English (United States),,0:04 / 27:16
aw8kRZEvh_s,English (United States),,0:05 / 27:16
aw8kRZEvh_s,English (United States),"Hey, it's me Destin. Welcome back to Smarter Every Day.",0:06 / 27:16
aw8kRZEvh_s,English (United States),"Hey, it's me Destin. Welcome back to Smarter Every Day.",0:07 / 27:16
aw8kRZEvh_s,English (United States),"In a previous episode of smarter everyday,",0:07 / 27:16
aw8kRZEvh_s,English (United States),"In a previous episode of smarter everyday,",0:08 / 27:16
aw8kRZEvh_s,English (United States),"In a previous episode of smarter everyday,",0:09 / 27:16
aw8kRZEvh_s,English (United States),we started a deep dive series into how to land on the moon.,0:09 / 27:16
aw8kRZEvh_s,English (United States),we started a deep dive series into how to land on the moon.,0:10 / 27:16
aw8kRZEvh_s,English (United States),we started a deep dive series into how to land on the moon.,0:11 / 27:16
aw8kRZEvh_s,English (United States),we started a deep dive series into how to land on the moon.,0:12 / 27:16
aw8kRZEvh_s,English (United States),"By going back in history,",0:12 / 27:16
aw8kRZEvh_s,English (United States),"By going back in history,",0:13 / 27:16
aw8kRZEvh_s,English (United States),to find out how we train the Apollo astronauts to actually pilot the spacecraft,0:14 / 27:16
aw8kRZEvh_s,English (United States),to find out how we train the Apollo astronauts to actually pilot the spacecraft,0:15 / 27:16
aw8kRZEvh_s,English (United States),to find out how we train the Apollo astronauts to actually pilot the spacecraft,0:16 / 27:16
aw8kRZEvh_s,English (United States),to find out how we train the Apollo astronauts to actually pilot the spacecraft,0:17 / 27:16
aw8kRZEvh_s,English (United States),to find out how we train the Apollo astronauts to actually pilot the spacecraft,0:18 / 27:16
aw8kRZEvh_s,English (United States),down to the surface of the moon on the lunar landing mission.,0:18 / 27:16
aw8kRZEvh_s,English (United States),down to the surface of the moon on the lunar landing mission.,0:19 / 27:16
aw8kRZEvh_s,English (United States),down to the surface of the moon on the lunar landing mission.,0:20 / 27:16
aw8kRZEvh_s,English (United States),We talked about the challenges of maneuvering a spacecraft in the one sixth-g,0:21 / 27:16
aw8kRZEvh_s,English (United States),We talked about the challenges of maneuvering a spacecraft in the one sixth-g,0:22 / 27:16
aw8kRZEvh_s,English (United States),We talked about the challenges of maneuvering a spacecraft in the one sixth-g,0:23 / 27:16
aw8kRZEvh_s,English (United States),We talked about the challenges of maneuvering a spacecraft in the one sixth-g,0:24 / 27:16
aw8kRZEvh_s,English (United States),"environment on the surface of the moon versus here on earth, which is at one G.",0:25 / 27:16
aw8kRZEvh_s,English (United States),"environment on the surface of the moon versus here on earth, which is at one G.",0:26 / 27:16
aw8kRZEvh_s,English (United States),"environment on the surface of the moon versus here on earth, which is at one G.",0:27 / 27:16
aw8kRZEvh_s,English (United States),"environment on the surface of the moon versus here on earth, which is at one G.",0:28 / 27:16
aw8kRZEvh_s,English (United States),Although it doesn't seem like a big deal.,0:29 / 27:16
aw8kRZEvh_s,English (United States),Although it doesn't seem like a big deal.,0:30 / 27:16
aw8kRZEvh_s,English (United States),This difference in the gravitational pull of earth versus moon creates all,0:31 / 27:16
aw8kRZEvh_s,English (United States),This difference in the gravitational pull of earth versus moon creates all,0:32 / 27:16
aw8kRZEvh_s,English (United States),This difference in the gravitational pull of earth versus moon creates all,0:33 / 27:16
aw8kRZEvh_s,English (United States),This difference in the gravitational pull of earth versus moon creates all,0:34 / 27:16
aw8kRZEvh_s,English (United States),different kinds of strange control problems for the spacecraft.,0:35 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:35 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:36 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:37 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:38 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:39 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:40 / 27:16
aw8kRZEvh_s,English (United States),"To get used to this astronauts, trained at several different facilities,",0:41 / 27:16
aw8kRZEvh_s,English (United States),such as the lunar Lander research facility.,0:41 / 27:16
aw8kRZEvh_s,English (United States),such as the lunar Lander research facility.,0:42 / 27:16
aw8kRZEvh_s,English (United States),such as the lunar Lander research facility.,0:43 / 27:16
aw8kRZEvh_s,English (United States),And ultimately the pilots of the Apollo program said their best training method,0:44 / 27:16
aw8kRZEvh_s,English (United States),And ultimately the pilots of the Apollo program said their best training method,0:45 / 27:16
aw8kRZEvh_s,English (United States),And ultimately the pilots of the Apollo program said their best training method,0:46 / 27:16
aw8kRZEvh_s,English (United States),And ultimately the pilots of the Apollo program said their best training method,0:47 / 27:16
aw8kRZEvh_s,English (United States),they had at their disposal was the LLTV or the lunar landing training vehicle.,0:48 / 27:16
aw8kRZEvh_s,English (United States),they had at their disposal was the LLTV or the lunar landing training vehicle.,0:49 / 27:16
aw8kRZEvh_s,English (United States),they had at their disposal was the LLTV or the lunar landing training vehicle.,0:50 / 27:16
aw8kRZEvh_s,English (United States),they had at their disposal was the LLTV or the lunar landing training vehicle.,0:51 / 27:16
aw8kRZEvh_s,English (United States),they had at their disposal was the LLTV or the lunar landing training vehicle.,0:52 / 27:16
aw8kRZEvh_s,English (United States),"So when Neil Armstrong was descending to land on the lunar surface,",0:52 / 27:16
aw8kRZEvh_s,English (United States),"So when Neil Armstrong was descending to land on the lunar surface,",0:53 / 27:16
aw8kRZEvh_s,English (United States),"So when Neil Armstrong was descending to land on the lunar surface,",0:54 / 27:16
aw8kRZEvh_s,English (United States),"So when Neil Armstrong was descending to land on the lunar surface,",0:55 / 27:16
aw8kRZEvh_s,English (United States),he was running an algorithm in his head that he developed as a result of flying,0:56 / 27:16
aw8kRZEvh_s,English (United States),he was running an algorithm in his head that he developed as a result of flying,0:57 / 27:16
aw8kRZEvh_s,English (United States),he was running an algorithm in his head that he developed as a result of flying,0:58 / 27:16
aw8kRZEvh_s,English (United States),he was running an algorithm in his head that he developed as a result of flying,0:59 / 27:16
aw8kRZEvh_s,English (United States),"the lunar Lander test vehicle. That's interesting, but think about this.",1:00 / 27:16
aw8kRZEvh_s,English (United States),"the lunar Lander test vehicle. That's interesting, but think about this.",1:01 / 27:16
aw8kRZEvh_s,English (United States),"the lunar Lander test vehicle. That's interesting, but think about this.",1:02 / 27:16
aw8kRZEvh_s,English (United States),"the lunar Lander test vehicle. That's interesting, but think about this.",1:03 / 27:16
aw8kRZEvh_s,English (United States),,1:03 / 27:16
