"video_id","min_timecode","max_timecode","text.user","text.auto"
"nk44yPCN3gM","00:00:00","00:00:01","- [Nolan] $500 suspension package.","500 suspension package"
"nk44yPCN3gM","00:00:00","00:00:04","- $500 Suspension package versus $3,000 suspension package.","versus 3 000 suspension"
"nk44yPCN3gM","00:00:05","00:00:05","","package does more expensive"
"nk44yPCN3gM","00:00:05","00:00:07","- Does more expensive mean more better?","mean more better let's find"
"nk44yPCN3gM","00:00:13","00:00:16","","out hey real"
"nk44yPCN3gM","00:00:16","00:00:19","- We bought two identical Nissan 350 Zs","quick i want to thank our sponsor for this week butcherbox"
"nk44yPCN3gM","00:00:19","00:00:22","and we've been modifying them to be fun daily drivers","you know i've come to appreciate the simpler things in"
"nk44yPCN3gM","00:00:22","00:00:23","that you can take to the track.","life like a fine"
"nk44yPCN3gM","00:00:23","00:00:25","like a fine cut of grass fed beef,","cut of grass-fed beef"
"nk44yPCN3gM","00:00:25","00:00:27","One Z, we call it Hi Car,","seared to perfection and basted in"
"nk44yPCN3gM","00:00:27","00:00:28","gets expensive parts.","butter oh my goodness"
"nk44yPCN3gM","00:00:28","00:00:30","And the other one we call Low Car","look at that even better"
"nk44yPCN3gM","00:00:30","00:00:31","and it gets all the cheap ones.","served to"
"nk44yPCN3gM","00:00:30","00:00:32","Even better served to your loved ones,","your loved ones"
"nk44yPCN3gM","00:00:32","00:00:34","- Then we test them to see which components","but uh i haven't been"
"nk44yPCN3gM","00:00:33","00:00:35","but haven't been really able","really able to eat"
"nk44yPCN3gM","00:00:34","00:00:36","are actually worth spending your hard-earned money on.","with my loved"
"nk44yPCN3gM","00:00:35","00:00:37","to eat with my loved ones lately.","ones lately oh no"
"nk44yPCN3gM","00:00:37","00:00:38","Oh, no, it's so good.","it's so good"
"nk44yPCN3gM","00:00:38","00:00:40","Coilovers, brakes, wheels, tires, turbo kits,","this is what my voice sounds like now"
"nk44yPCN3gM","00:00:39","00:00:41","This is what my voice sounds like now too","too because it's so good"
"nk44yPCN3gM","00:00:41","00:00:43","injectors, seats, roll cages, body kits.","thanks job i knew i"
"nk44yPCN3gM","00:00:44","00:00:44","I knew I could count on you, buddy.","could count on you buddy i'll help"
"nk44yPCN3gM","00:00:44","00:00:47","Now we already installed coilovers on both of our cars.","you fix your audi too sorry i broke it one thing i have been"
"nk44yPCN3gM","00:00:47","00:00:49","One thing I have been enjoying is a monthly delivery","enjoying is a monthly delivery"
"nk44yPCN3gM","00:00:49","00:00:52","But there are more components to suspension","of high quality meats from butcher box i"
"nk44yPCN3gM","00:00:52","00:00:53","than just springs and shocks.","cook that they offer"
"nk44yPCN3gM","00:00:53","00:00:55","(groovy beat)","monthly subscriptions i cook that they offer monthly subscriptions delivering"
"nk44yPCN3gM","00:00:55","00:00:57","delivering flash frozen grass fed fed beef,","flash frozen grass-fed beef"
"nk44yPCN3gM","00:00:56","00:00:57","",""
