video_id,lang,text,timecode
gDKGn_JaApM,English,,0:00 / 1:13
gDKGn_JaApM,English,,0:01 / 1:13
gDKGn_JaApM,English,"Hey Fortnite Community, Freight Train here",0:02 / 1:13
gDKGn_JaApM,English,"Hey Fortnite Community, Freight Train here",0:03 / 1:13
gDKGn_JaApM,English,"Hey Fortnite Community, Freight Train here",0:04 / 1:13
gDKGn_JaApM,English,and this season is about to see some wild new changes.,0:05 / 1:13
gDKGn_JaApM,English,and this season is about to see some wild new changes.,0:06 / 1:13
gDKGn_JaApM,English,and this season is about to see some wild new changes.,0:07 / 1:13
gDKGn_JaApM,English,and this season is about to see some wild new changes.,0:08 / 1:13
gDKGn_JaApM,English,"Beginning this week, we're kicking off our first Wild Week of Chapter 2, Season 6",0:08 / 1:13
gDKGn_JaApM,English,"Beginning this week, we're kicking off our first Wild Week of Chapter 2, Season 6",0:09 / 1:13
gDKGn_JaApM,English,"Beginning this week, we're kicking off our first Wild Week of Chapter 2, Season 6",0:10 / 1:13
gDKGn_JaApM,English,"Beginning this week, we're kicking off our first Wild Week of Chapter 2, Season 6",0:11 / 1:13
gDKGn_JaApM,English,"Beginning this week, we're kicking off our first Wild Week of Chapter 2, Season 6",0:12 / 1:13
gDKGn_JaApM,English,What's a wild week you ask?,0:13 / 1:13
gDKGn_JaApM,English,"During these weeks, we'll be putting an emphasis on a unique gameplay dynamic",0:14 / 1:13
gDKGn_JaApM,English,"During these weeks, we'll be putting an emphasis on a unique gameplay dynamic",0:15 / 1:13
gDKGn_JaApM,English,"During these weeks, we'll be putting an emphasis on a unique gameplay dynamic",0:16 / 1:13
gDKGn_JaApM,English,"During these weeks, we'll be putting an emphasis on a unique gameplay dynamic",0:17 / 1:13
gDKGn_JaApM,English,"During these weeks, we'll be putting an emphasis on a unique gameplay dynamic",0:18 / 1:13
gDKGn_JaApM,English,mixing things up and making you rethink your strategy.,0:18 / 1:13
gDKGn_JaApM,English,mixing things up and making you rethink your strategy.,0:19 / 1:13
gDKGn_JaApM,English,mixing things up and making you rethink your strategy.,0:20 / 1:13
gDKGn_JaApM,English,,0:20 / 1:13
gDKGn_JaApM,English,Wild Week numero uno was all about,0:21 / 1:13
gDKGn_JaApM,English,Wild Week numero uno was all about,0:22 / 1:13
gDKGn_JaApM,English,Wild Week numero uno was all about,0:23 / 1:13
gDKGn_JaApM,English,Fighting fire with fire,0:23 / 1:13
gDKGn_JaApM,English,Fighting fire with fire,0:24 / 1:13
gDKGn_JaApM,English,"That's right, things are going to heat up",0:25 / 1:13
gDKGn_JaApM,English,"That's right, things are going to heat up",0:26 / 1:13
gDKGn_JaApM,English,"That's right, things are going to heat up",0:27 / 1:13
gDKGn_JaApM,English,as firefly jars and flame bows will be found in greater numbers all across the map.,0:27 / 1:13
gDKGn_JaApM,English,as firefly jars and flame bows will be found in greater numbers all across the map.,0:28 / 1:13
gDKGn_JaApM,English,as firefly jars and flame bows will be found in greater numbers all across the map.,0:29 / 1:13
gDKGn_JaApM,English,as firefly jars and flame bows will be found in greater numbers all across the map.,0:30 / 1:13
gDKGn_JaApM,English,as firefly jars and flame bows will be found in greater numbers all across the map.,0:31 / 1:13
gDKGn_JaApM,English,as firefly jars and flame bows will be found in greater numbers all across the map.,0:32 / 1:13
gDKGn_JaApM,English,Set enemy buildings ablaze.,0:32 / 1:13
gDKGn_JaApM,English,Set enemy buildings ablaze.,0:33 / 1:13
gDKGn_JaApM,English,Set enemy buildings ablaze.,0:34 / 1:13
gDKGn_JaApM,English,"Returning for this week only, the flare gun is back.",0:34 / 1:13
gDKGn_JaApM,English,"Returning for this week only, the flare gun is back.",0:35 / 1:13
gDKGn_JaApM,English,"Returning for this week only, the flare gun is back.",0:36 / 1:13
gDKGn_JaApM,English,"Returning for this week only, the flare gun is back.",0:37 / 1:13
gDKGn_JaApM,English,"Ready, aim, fire.",0:38 / 1:13
gDKGn_JaApM,English,"Ready, aim, fire.",0:39 / 1:13
gDKGn_JaApM,English,"Ready, aim, fire.",0:40 / 1:13
gDKGn_JaApM,English,"Ready, aim, fire.",0:41 / 1:13
