"video_id","min_timecode","max_timecode","text.user","text.auto"
"YK_jrQXoE18","00:00:00","00:00:02","Sam: As the year comes to a close, it's time for another","as the year comes to a close it's time for another legend"
"YK_jrQXoE18","00:00:02","00:00:05","""Legend of Vox Machina"" Kickstarter update.","of vox machina kickstarter update hi"
"YK_jrQXoE18","00:00:05","00:00:06","Hi, I'm Sam Riegel","i'm sam regal and a lot"
"YK_jrQXoE18","00:00:06","00:00:07","and a lot of you have been reaching out with questions","of you have been"
"YK_jrQXoE18","00:00:08","00:00:10","like how's production coming on the series?","reaching out with questions like how's production coming on the series"
"YK_jrQXoE18","00:00:10","00:00:11","When is it gonna be released?","when is it going to be released"
"YK_jrQXoE18","00:00:12","00:00:13","Why are you so unnervingly handsome?","why are you so unnervingly handsome"
"YK_jrQXoE18","00:00:14","00:00:16","And while, I can't reveal all of those answers,","and while i can't reveal all of those answers i"
"YK_jrQXoE18","00:00:17","00:00:18","I can tell you that creating a top-tier,","can tell you that creating a top-tier"
"YK_jrQXoE18","00:00:18","00:00:21","animated series like this is no easy feat.","animated series like this is no easy feat"
"YK_jrQXoE18","00:00:21","00:00:24","And though it might seem like it's taking forever,","and though it might seem like it's taking forever that's only because"
"YK_jrQXoE18","00:00:24","00:00:26","that's only because so much care goes into every step.","so much care goes into every"
"YK_jrQXoE18","00:00:27","00:00:29","So today I thought I'd walk you guys through","step so today i thought i'd walk you guys through"
"YK_jrQXoE18","00:00:30","00:00:31","the entire animation process","the entire i thought i'd walk you guys through the entire animation process"
"YK_jrQXoE18","00:00:32","00:00:34","from start to finish on ""The Legend of Vox Machina.""","from start to finish on the legend of vox machina"
"YK_jrQXoE18","00:00:35","00:00:37","Let's do it, click.","let's do it"
"YK_jrQXoE18","00:00:37","00:00:38","(lively electronic tones)","hi"
"YK_jrQXoE18","00:00:38","00:00:41","Hi, it looks like you're making an animated series.","it looks like you're making an animated series"
"YK_jrQXoE18","00:00:42","00:00:44","Well then, you might need some words.","well then you might need some words"
"YK_jrQXoE18","00:00:44","00:00:46","If you watched ""Campaign 1 of Critical Role,""","if you watched campaign 1 of critical role you"
"YK_jrQXoE18","00:00:46","00:00:48","you basically witnessed out first writer's room,","basically witnessed our"
"YK_jrQXoE18","00:00:49","00:00:50","where the characters and story","first writer's room where the characters and story were first introduced"
"YK_jrQXoE18","00:00:51","00:00:52","were first introduced and developed.","and developed since then"
"YK_jrQXoE18","00:00:52","00:00:54","Since then, we assembled a super talented group","we assembled a super talented group of real"
"YK_jrQXoE18","00:00:55","00:00:57","of real writers to hash out the storyline for season one","writers to hash out the storyline for season one and rework"
"YK_jrQXoE18","00:00:57","00:00:59","and rework it for television.","it for television they generate"
"YK_jrQXoE18","00:00:59","00:01:00","They generate things called beat sheets","things called beat"
"YK_jrQXoE18","00:01:01","00:01:03","which become outlines, which become drafts of scripts,","sheets which become outlines which become drafts"
"YK_jrQXoE18","00:01:04","00:01:06","which are then revised during table reads","of scripts which are then revised during table reads"
"YK_jrQXoE18","00:01:07","00:01:10","where the cast gets together and reads the scripts out loud.","where the cast gets together and reads the scripts out loud it is"
"YK_jrQXoE18","00:01:10","00:01:11","It is (smooches) super fun.","super"
"YK_jrQXoE18","00:01:12","00:01:14","Visual development is next.","fun visual development is next the"
"YK_jrQXoE18","00:01:14","00:01:15","The imagination part of the process.","imagination part of"
"YK_jrQXoE18","00:01:16","00:01:18","This is where the Supervising Director, Art Director","the process this is where the supervising director art"
"YK_jrQXoE18","00:01:19","00:01:21","and Character Designer start fleshing out the look","director and character designer start fleshing out the look"
