"video_id","min_timecode","max_timecode","text.user","text.auto"
"aH4b3sAs-l8","00:00:00","00:00:02","This video was made possible by CuriosityStream.","this video was made possible by curiosity stream"
"aH4b3sAs-l8","00:00:03","00:00:06","Watch the companion video to this, plus tons of other exclusive videos, by signing up for","watch the companion video to this plus tons of other exclusive videos by setting up"
"aH4b3sAs-l8","00:00:07","00:00:10","the CuriosityStream/Nebula bundle deal, currently on sale for an unbelievable dollar a month","the curiosity stream nebula bundle deal currently on sale for an unbelievable dollar a"
"aH4b3sAs-l8","00:00:11","00:00:14","at CuriosityStream.com/Wendover.","month at curiositystream.com wendover dollar a month at curiositystream.com wendover airlines"
"aH4b3sAs-l8","00:00:15","00:00:16","Airlines are pragmatic.","are pragmatic"
"aH4b3sAs-l8","00:00:17","00:00:22","Each, inherently, is a sizable organization as a degree of scale is necessary due to the","each inherently is a sizable organization as a degree of scale is necessary due to the massive"
"aH4b3sAs-l8","00:00:23","00:00:27","massive capital costs needed to, quite literally, get a plane off the ground.","capital costs needed to quite literally get a plane off the ground"
"aH4b3sAs-l8","00:00:28","00:00:30","There are no mom and pop airlines.","there are no mom and pop airlines"
"aH4b3sAs-l8","00:00:31","00:00:35","Therefore, airlines have the resources to analyze choices to a far greater level of","therefore airlines have the resources to analyze choices to a far greater level of"
"aH4b3sAs-l8","00:00:36","00:00:41","detail than most businesses—any decision that we, the public, see has passed through","detail than most businesses any decision that we the public see has passed through such a level"
"aH4b3sAs-l8","00:00:41","00:00:47","such a level of review, such a level of scrutiny, that it must mean something.","of review such a level of scrutiny that it must mean something airlines"
"aH4b3sAs-l8","00:00:48","00:00:51","Airlines typically don’t make emotional, informal, or off-the-cuff decisions.","typically don't make emotional something airlines typically don't make emotional informal or off-the-cuff decisions"
"aH4b3sAs-l8","00:00:52","00:00:58","Therefore, it’s odd how much airlines care about climate change because, from a theoretical","therefore it's odd how much airlines care about climate change because from a theoretical"
