video_id,lang,text,timecode
_ZmHwaqCxRY,English,,0:00 / 8:26
_ZmHwaqCxRY,English,,0:01 / 8:26
_ZmHwaqCxRY,English,,0:02 / 8:26
_ZmHwaqCxRY,English,,0:03 / 8:26
_ZmHwaqCxRY,English,,0:04 / 8:26
_ZmHwaqCxRY,English,,0:05 / 8:26
_ZmHwaqCxRY,English,,0:06 / 8:26
_ZmHwaqCxRY,English,,0:07 / 8:26
_ZmHwaqCxRY,English,,0:08 / 8:26
_ZmHwaqCxRY,English,,0:09 / 8:26
_ZmHwaqCxRY,English,Making your way evil today...,0:10 / 8:26
_ZmHwaqCxRY,English,Making your way evil today...,0:11 / 8:26
_ZmHwaqCxRY,English,Making your way evil today...,0:12 / 8:26
_ZmHwaqCxRY,English,sure does take a lot.,0:12 / 8:26
_ZmHwaqCxRY,English,sure does take a lot.,0:13 / 8:26
_ZmHwaqCxRY,English,sure does take a lot.,0:14 / 8:26
_ZmHwaqCxRY,English,,0:15 / 8:26
_ZmHwaqCxRY,English,Thinking of ways to distribute hate...,0:15 / 8:26
_ZmHwaqCxRY,English,Thinking of ways to distribute hate...,0:16 / 8:26
_ZmHwaqCxRY,English,Thinking of ways to distribute hate...,0:17 / 8:26
_ZmHwaqCxRY,English,takes everything you've got...,0:18 / 8:26
_ZmHwaqCxRY,English,takes everything you've got...,0:19 / 8:26
_ZmHwaqCxRY,English,takes everything you've got...,0:20 / 8:26
_ZmHwaqCxRY,English,,0:20 / 8:26
_ZmHwaqCxRY,English,Wouldn't you like to rule a place?,0:21 / 8:26
_ZmHwaqCxRY,English,Wouldn't you like to rule a place?,0:22 / 8:26
_ZmHwaqCxRY,English,Wouldn't you like to rule a place?,0:23 / 8:26
_ZmHwaqCxRY,English,Wouldn't you like to rule a place?,0:24 / 8:26
_ZmHwaqCxRY,English,Wouldn't you like to rule a place?,0:25 / 8:26
_ZmHwaqCxRY,English,Wouldn't you like to rule a place?,0:26 / 8:26
_ZmHwaqCxRY,English,Sometimes you wanna go...,0:26 / 8:26
_ZmHwaqCxRY,English,Sometimes you wanna go...,0:27 / 8:26
_ZmHwaqCxRY,English,Sometimes you wanna go...,0:28 / 8:26
_ZmHwaqCxRY,English,Where everybody hates your face,0:29 / 8:26
_ZmHwaqCxRY,English,Where everybody hates your face,0:30 / 8:26
_ZmHwaqCxRY,English,Where everybody hates your face,0:31 / 8:26
_ZmHwaqCxRY,English,Where everybody hates your face,0:32 / 8:26
_ZmHwaqCxRY,English,Where everybody hates your face,0:33 / 8:26
_ZmHwaqCxRY,English,,0:34 / 8:26
_ZmHwaqCxRY,English,And the villains share your rage ,0:34 / 8:26
_ZmHwaqCxRY,English,And the villains share your rage ,0:35 / 8:26
_ZmHwaqCxRY,English,And the villains share your rage ,0:36 / 8:26
_ZmHwaqCxRY,English,And the villains share your rage ,0:37 / 8:26
_ZmHwaqCxRY,English,And the villains share your rage ,0:38 / 8:26
_ZmHwaqCxRY,English,And the villains share your rage ,0:39 / 8:26
_ZmHwaqCxRY,English,You want to be in the evil seat,0:39 / 8:26
_ZmHwaqCxRY,English,You want to be in the evil seat,0:40 / 8:26
_ZmHwaqCxRY,English,You want to be in the evil seat,0:41 / 8:26
_ZmHwaqCxRY,English,,0:42 / 8:26
_ZmHwaqCxRY,English,Heroes are all the same,0:42 / 8:26
_ZmHwaqCxRY,English,Heroes are all the same,0:43 / 8:26
_ZmHwaqCxRY,English,Heroes are all the same,0:44 / 8:26
_ZmHwaqCxRY,English,,0:44 / 8:26
_ZmHwaqCxRY,English,You wanna go where everybody hates your face,0:45 / 8:26
_ZmHwaqCxRY,English,You wanna go where everybody hates your face,0:46 / 8:26
_ZmHwaqCxRY,English,You wanna go where everybody hates your face,0:47 / 8:26
_ZmHwaqCxRY,English,You wanna go where everybody hates your face,0:48 / 8:26
_ZmHwaqCxRY,English,You wanna go where everybody hates your face,0:49 / 8:26
_ZmHwaqCxRY,English,You wanna go where everybody hates your face,0:50 / 8:26
_ZmHwaqCxRY,English,,0:50 / 8:26
_ZmHwaqCxRY,English,,0:51 / 8:26
_ZmHwaqCxRY,English,,0:52 / 8:26
_ZmHwaqCxRY,English,,0:53 / 8:26
_ZmHwaqCxRY,English,,0:54 / 8:26
_ZmHwaqCxRY,English,,0:55 / 8:26
_ZmHwaqCxRY,English,,0:56 / 8:26
_ZmHwaqCxRY,English,Ah! Joker you killed me!,0:56 / 8:26
_ZmHwaqCxRY,English,Ah! Joker you killed me!,0:57 / 8:26
_ZmHwaqCxRY,English,Ah! Joker you killed me!,0:58 / 8:26
_ZmHwaqCxRY,English,He he he he!,0:59 / 8:26
_ZmHwaqCxRY,English,This sucks!,1:00 / 8:26
_ZmHwaqCxRY,English,na uh uh! You can't talk when you're dead!,1:01 / 8:26
_ZmHwaqCxRY,English,na uh uh! You can't talk when you're dead!,1:02 / 8:26
_ZmHwaqCxRY,English,Yeah! Don't give him away!,1:03 / 8:26
_ZmHwaqCxRY,English,Yeah! Don't give him away!,1:04 / 8:26
_ZmHwaqCxRY,English,You're ruining the game for everyone else! ,1:04 / 8:26
_ZmHwaqCxRY,English,You're ruining the game for everyone else! ,1:05 / 8:26
_ZmHwaqCxRY,English,"Good! If someone kills me, I will have my vengeance! ",1:06 / 8:26
_ZmHwaqCxRY,English,"Good! If someone kills me, I will have my vengeance! ",1:07 / 8:26
_ZmHwaqCxRY,English,"Good! If someone kills me, I will have my vengeance! ",1:08 / 8:26
_ZmHwaqCxRY,English,"Good! If someone kills me, I will have my vengeance! ",1:09 / 8:26
_ZmHwaqCxRY,English,Well now we all know it's Joker. ,1:10 / 8:26
_ZmHwaqCxRY,English,Well now we all know it's Joker. ,1:11 / 8:26
_ZmHwaqCxRY,English,Do over? [Do Over!],1:11 / 8:26
_ZmHwaqCxRY,English,Do over? [Do Over!],1:12 / 8:26
_ZmHwaqCxRY,English,Do over? [Do Over!],1:13 / 8:26
_ZmHwaqCxRY,English,You're like those who maliciously post spoilers in the comments.,1:14 / 8:26
_ZmHwaqCxRY,English,You're like those who maliciously post spoilers in the comments.,1:15 / 8:26
_ZmHwaqCxRY,English,You're like those who maliciously post spoilers in the comments.,1:16 / 8:26
_ZmHwaqCxRY,English,Ugh! They're the worst!,1:17 / 8:26
_ZmHwaqCxRY,English,Ugh! They're the worst!,1:18 / 8:26
_ZmHwaqCxRY,English,Well next time maybe you'll think twice!,1:18 / 8:26
_ZmHwaqCxRY,English,Well next time maybe you'll think twice!,1:19 / 8:26
_ZmHwaqCxRY,English,Well next time maybe you'll think twice!,1:20 / 8:26
_ZmHwaqCxRY,English,Now don't start the next round without...,1:21 / 8:26
_ZmHwaqCxRY,English,Now don't start the next round without...,1:22 / 8:26
_ZmHwaqCxRY,English,um...,1:23 / 8:26
_ZmHwaqCxRY,English,um...,1:24 / 8:26
_ZmHwaqCxRY,English,Guys?,1:24 / 8:26
_ZmHwaqCxRY,English,,1:25 / 8:26
_ZmHwaqCxRY,English,There's a dead body in the bathroom!,1:26 / 8:26
_ZmHwaqCxRY,English,There's a dead body in the bathroom!,1:27 / 8:26
_ZmHwaqCxRY,English,There's a dead body in the bathroom!,1:28 / 8:26
_ZmHwaqCxRY,English,And? Ha Ha Ha Ha!,1:29 / 8:26
_ZmHwaqCxRY,English,You don't say! Ha Ha Ha Ha!,1:30 / 8:26
_ZmHwaqCxRY,English,And it's Bowser!,1:31 / 8:26
_ZmHwaqCxRY,English,And it's Bowser!,1:32 / 8:26
_ZmHwaqCxRY,English,And it's Bowser!,1:33 / 8:26
_ZmHwaqCxRY,English,What!?,1:33 / 8:26
_ZmHwaqCxRY,English,What!?,1:34 / 8:26
_ZmHwaqCxRY,English,What!?,1:35 / 8:26
_ZmHwaqCxRY,English,Emergency Meeting!,1:35 / 8:26
_ZmHwaqCxRY,English,Emergency Meeting!,1:36 / 8:26
_ZmHwaqCxRY,English,,1:36 / 8:26
_ZmHwaqCxRY,English,Someone has killed my most trusted employee.,1:37 / 8:26
_ZmHwaqCxRY,English,Someone has killed my most trusted employee.,1:38 / 8:26
_ZmHwaqCxRY,English,Someone has killed my most trusted employee.,1:39 / 8:26
_ZmHwaqCxRY,English,Someone has killed my most trusted employee.,1:40 / 8:26
_ZmHwaqCxRY,English,It appears there is a killer... among us.,1:41 / 8:26
_ZmHwaqCxRY,English,It appears there is a killer... among us.,1:42 / 8:26
_ZmHwaqCxRY,English,It appears there is a killer... among us.,1:43 / 8:26
_ZmHwaqCxRY,English,It appears there is a killer... among us.,1:44 / 8:26
_ZmHwaqCxRY,English,,1:44 / 8:26
_ZmHwaqCxRY,English,,1:45 / 8:26
_ZmHwaqCxRY,English,,1:46 / 8:26
_ZmHwaqCxRY,English,,1:47 / 8:26
_ZmHwaqCxRY,English,Ha ha ha ha ha!,1:47 / 8:26
_ZmHwaqCxRY,English,Ha ha ha ha ha!,1:48 / 8:26
_ZmHwaqCxRY,English,I'd have never guessed! [No news there!],1:49 / 8:26
_ZmHwaqCxRY,English,A killer... Among us killers....,1:50 / 8:26
_ZmHwaqCxRY,English,A killer... Among us killers....,1:51 / 8:26
_ZmHwaqCxRY,English,A killer... Among us killers....,1:52 / 8:26
_ZmHwaqCxRY,English,,1:53 / 8:26
_ZmHwaqCxRY,English,,1:54 / 8:26
_ZmHwaqCxRY,English,Uh huh... [AND?],1:54 / 8:26
_ZmHwaqCxRY,English,I'm saying there is an imposter in our midst!,1:55 / 8:26
_ZmHwaqCxRY,English,I'm saying there is an imposter in our midst!,1:56 / 8:26
_ZmHwaqCxRY,English,Oooooooooh,1:57 / 8:26
_ZmHwaqCxRY,English,Oooooooooh,1:58 / 8:26
_ZmHwaqCxRY,English, Did anybody see anything?,1:58 / 8:26
_ZmHwaqCxRY,English, Did anybody see anything?,1:59 / 8:26
_ZmHwaqCxRY,English,No we were all watching the game!,2:00 / 8:26
_ZmHwaqCxRY,English,No we were all watching the game!,2:01 / 8:26
_ZmHwaqCxRY,English,"  Thanos, you're the bathroom attendant. Where were you? ",2:01 / 8:26
_ZmHwaqCxRY,English,"  Thanos, you're the bathroom attendant. Where were you? ",2:02 / 8:26
_ZmHwaqCxRY,English,"  Thanos, you're the bathroom attendant. Where were you? ",2:03 / 8:26
_ZmHwaqCxRY,English,"  Thanos, you're the bathroom attendant. Where were you? ",2:04 / 8:26
_ZmHwaqCxRY,English,I was... uh... polishing... my... gauntlet.,2:05 / 8:26
_ZmHwaqCxRY,English,I was... uh... polishing... my... gauntlet.,2:06 / 8:26
_ZmHwaqCxRY,English,I was... uh... polishing... my... gauntlet.,2:07 / 8:26
_ZmHwaqCxRY,English,I was... uh... polishing... my... gauntlet.,2:08 / 8:26
_ZmHwaqCxRY,English,Sounds like something a killer would say!,2:08 / 8:26
_ZmHwaqCxRY,English,Sounds like something a killer would say!,2:09 / 8:26
_ZmHwaqCxRY,English,Sounds like something a killer would say!,2:10 / 8:26
_ZmHwaqCxRY,English,Yeah!,2:11 / 8:26
_ZmHwaqCxRY,English,What? Voldemort's the one who found him!,2:11 / 8:26
_ZmHwaqCxRY,English,What? Voldemort's the one who found him!,2:12 / 8:26
_ZmHwaqCxRY,English,Why don't you accuse him?,2:13 / 8:26
_ZmHwaqCxRY,English,Why don't you accuse him?,2:14 / 8:26
_ZmHwaqCxRY,English,Or the blue girl?,2:14 / 8:26
_ZmHwaqCxRY,English,Maybe she did!,2:15 / 8:26
_ZmHwaqCxRY,English,I didn't do it!    ,2:16 / 8:26
_ZmHwaqCxRY,English,I didn't do it!    ,2:17 / 8:26
_ZmHwaqCxRY,English,You sure about that?,2:17 / 8:26
_ZmHwaqCxRY,English,You sure about that?,2:18 / 8:26
_ZmHwaqCxRY,English,You aren't around that often...,2:19 / 8:26
_ZmHwaqCxRY,English,You aren't around that often...,2:20 / 8:26
_ZmHwaqCxRY,English, Maybe someone's looking for attention.,2:20 / 8:26
_ZmHwaqCxRY,English, Maybe someone's looking for attention.,2:21 / 8:26
_ZmHwaqCxRY,English,"Oh I can get plenty of attention, buster! Don't you worry about that!",2:22 / 8:26
_ZmHwaqCxRY,English,"Oh I can get plenty of attention, buster! Don't you worry about that!",2:23 / 8:26
