"video_id","min_timecode","max_timecode","text.user","text.auto"
"AhSl7uRrObw","00:00:00","00:00:04","",""
"AhSl7uRrObw","00:00:05","00:00:05","right here?","right here right"
"AhSl7uRrObw","00:00:05","00:00:08","okay, okay","okay okay wow can't"
"AhSl7uRrObw","00:00:08","00:00:11","wow, I can't believe we're doing this","believe we're doing this"
"AhSl7uRrObw","00:00:11","00:00:13","","okay"
"AhSl7uRrObw","00:00:13","00:00:15","okay, okay are you guys familiar with","okay are you guys familiar"
"AhSl7uRrObw","00:00:16","00:00:17","mafia?","with mafia yes"
"AhSl7uRrObw","00:00:17","00:00:20","(Lilypichu) yes we're familiar with mafia","we're familiar with mafia but we need"
"AhSl7uRrObw","00:00:20","00:00:22","but we need a minimum of four people","a minimum of four people"
"AhSl7uRrObw","00:00:22","00:00:23","","we can find poor people"
"AhSl7uRrObw","00:00:24","00:00:27","okay, the game is called Among Us","okay the game is called among us"
"AhSl7uRrObw","00:00:28","00:00:29","","a mall"
"AhSl7uRrObw","00:00:33","00:00:35","and he said in capslock ""YEAH""","i'm"
"AhSl7uRrObw","00:00:36","00:00:36","I'm pressing the play button","pressing the play button"
"AhSl7uRrObw","00:00:37","00:00:39","oh my god the audio's a little loud just so you know","oh my god the audio's a little loud just hit him"
"AhSl7uRrObw","00:00:40","00:00:41","","do you know where to put the camera"
"AhSl7uRrObw","00:00:42","00:00:44","oh you have to put a bottom middle to","oh you have to put it bottom middle to hide"
"AhSl7uRrObw","00:00:44","00:00:45","hide the freaking room code","the freaking room code"
"AhSl7uRrObw","00:00:46","00:00:53","","um please download the game all right what what do we do in this game"
"AhSl7uRrObw","00:00:54","00:00:57","so you fake do task in the top left","so you fake do task in the top left oh we're not supposed"
"AhSl7uRrObw","00:00:57","00:00:58","","to talk"
"AhSl7uRrObw","00:00:59","00:01:01","right we're not supposed to talk","at all all right we're not supposed to talk but is this game like"
"AhSl7uRrObw","00:01:01","00:01:19","","mafia yes join us we need more people to like check out places hello check out places hello hello oh peter hello hello oh peter [Music] peter [Music] if you"
"AhSl7uRrObw","00:01:19","00:01:21","if you kill me you have to kill my son","kill me you have to kill my son too"
"AhSl7uRrObw","00:01:21","00:01:23","too","slowly"
"AhSl7uRrObw","00:01:23","00:01:26","(Pokimane) it's Lily i saw her hop out a vent","i saw her hop out of bed"
"AhSl7uRrObw","00:01:27","00:01:32","","[Music] geez"
"AhSl7uRrObw","00:01:32","00:01:35","GGs everyone that was a fun time with friends","everyone that was a fun time"
"AhSl7uRrObw","00:01:36","00:01:40","yeah let's do this again soon","with friends yeah let's prove this again soon"
"AhSl7uRrObw","00:01:42","00:01:44","",""
"AhSl7uRrObw","00:01:45","00:01:47","so uh i'm Disguised Toast you probably","so uh i'm disguised toast um"
"AhSl7uRrObw","00:01:48","00:01:49","know me from","probably know me from my among"
"AhSl7uRrObw","00:01:49","00:01:52","my Among Us gameplay","this gameplay and i've been"
"AhSl7uRrObw","00:01:52","00:01:55","and i've been doing nothing but Among Us conetent","doing nothing but among us content for the last eight"
"AhSl7uRrObw","00:01:55","00:01:56","for the last eight months and yeah it's been a crazy","months"
"AhSl7uRrObw","00:01:57","00:01:58","and yeah it's been a crazy ride","and yeah it's been a crazy ride playing"
"AhSl7uRrObw","00:01:59","00:02:02","playing Among Us, figuring out who's sus all the time","among us figuring out who's us all the time"
"AhSl7uRrObw","00:02:02","00:02:04","","how did you find him i"
"AhSl7uRrObw","00:02:05","00:02:08","I came across Among Us... I was watching uh Twitch streams","came across among us i was watching"
"AhSl7uRrObw","00:02:09","00:02:17","with my friend Miyoung and normally i watch TFT streamers so I was watching","twitch streams with my friend miyang and twitch streams with my friend miyang and normally i watch tft streamers so i was watching this"
"AhSl7uRrObw","00:02:17","00:02:19","this streamer called Becca and she","stream called becca and she"
"AhSl7uRrObw","00:02:20","00:02:21","switched from playing TFT that day","switched from playing tft that"
"AhSl7uRrObw","00:02:22","00:02:26","to playing Among Us with like a bunch of other TFT players and","day to playing among us with like a bunch of other tft players and"
"AhSl7uRrObw","00:02:27","00:02:29","I thought it was really interesting and it was looked a little scuffed","i thought it was really interesting and it was looked a little scuff"
"AhSl7uRrObw","00:02:30","00:02:33","you know these little people running around there was like text covering the screen","you know these little people running around there was like text covering the screen"
