"video_id","min_timecode","max_timecode","text.user","text.auto"
"syrGt0fpffY","00:00:00","00:00:00","THESE ARE THE NOMINEES FOR BEST ","and the oscar"
"syrGt0fpffY","00:00:01","00:00:05","SUPPORTING ACTRESS, AND THE ","goes to jejung"
"syrGt0fpffY","00:00:05","00:00:16","OSCAR GOES TO YUH-JUNG YOUN.","yoon"
"syrGt0fpffY","00:00:16","00:00:19","",""
"syrGt0fpffY","00:00:20","00:00:29","[ APPLAUSE ]","[Applause] so"
"syrGt0fpffY","00:00:30","00:00:37","","wow mr bread pit finally nice"
"syrGt0fpffY","00:00:38","00:00:40",">> FINMR. BRAD PITT, FINALLY, N ","to meet you were you where were you while"
"syrGt0fpffY","00:00:40","00:00:41","TO MEET YOU.","we were filming were you where were you while we were filming"
"syrGt0fpffY","00:00:42","00:00:43","WHERE WERE YOU WHILE WE WERE ","in tulsa"
"syrGt0fpffY","00:00:44","00:00:44","FILMING?","it's"
"syrGt0fpffY","00:00:44","00:00:47","VERY HONORED TO MEET YOU.","very honored to meet you"
"syrGt0fpffY","00:00:47","00:00:51","AS YOU KNOW, I'M FROM KOREA, AND","as you know i'm from korea and actually my name"
"syrGt0fpffY","00:00:52","00:00:59","MY NAME IS YUH-JUNG YOUN, ","is yao jung yoon and most of european people call me young and some of them call me yujung but tonight"
"syrGt0fpffY","00:00:59","00:01:06","TONIGHT YOU ARE ALL FORGIVEN.","you are all forgiven and well when we"
"syrGt0fpffY","00:01:07","00:01:08","I USUALLY WHEN I'M LIVING IN THE","i would usually when i'm"
"syrGt0fpffY","00:01:09","00:01:10","OTHER PART OF THE WORLD, I JUST ","living in the other part of the world"
"syrGt0fpffY","00:01:11","00:01:12","WATCH THE TELEVISION.","i just watched the television it is the"
"syrGt0fpffY","00:01:13","00:01:18","IT IS THE OSCAR, BUT EVENT ON ","oscar but event on the television just watching [Music]"
"syrGt0fpffY","00:01:18","00:01:20","THE TELEVISION JUST WATCHING ","like a"
"syrGt0fpffY","00:01:20","00:01:22","LIKE A TELEVISION PROGRAM FOR ","television program for us"
"syrGt0fpffY","00:01:23","00:01:25","US, BUT ME BEING HERE BY MYSELF,","about me being here by myself"
"syrGt0fpffY","00:01:26","00:01:30","THIS I CANNOT BELIEVE I'M HERE.","is i cannot believe that i'm here just i cannot believe that i'm here just"
