"video_id","min_timecode","max_timecode","text.user","text.auto"
"oO_2QBiZRaI","00:00:00","00:00:04","Novak Djokovic hit a line judge and was disqualified from the US Open.","novak djokovic hit the line judge and was disqualified from the u.s open"
"oO_2QBiZRaI","00:00:04","00:00:10","Is he guilty or innocent? his body language tells the truth in this Body Language quick shot.","is he guilty or innocent his body language tells the truth in this body language quick shot"
"oO_2QBiZRaI","00:00:10","00:00:12","First, the clip of the incident.","first the clip of the incident"
"oO_2QBiZRaI","00:00:13","00:00:16","In the opening set against Pablo Carreño Busta, and trailing 6-5","in the opening set against pablo carreno busta and trailing 6-5"
"oO_2QBiZRaI","00:00:16","00:00:21","he had just lost a service and hit the ball back in frustration, hitting the line judge.","he had just lost the service and hit the ball back in frustration hitting the line judge"
"oO_2QBiZRaI","00:00:22","00:00:24","When you watch another angle, we can confirm two things:","when you watch another angle we can confirm two things"
"oO_2QBiZRaI","00:00:25","00:00:28","he wasn't looking in the direction of the judge right as he hit the ball.","he wasn't looking in the direction of the judge right as he hit the ball"
"oO_2QBiZRaI","00:00:29","00:00:34","Also, he follows the ball with his eyes and then you can see his expression of actual surprise","also he follows the ball with his eyes and then you can see his expression of actual surprise"
"oO_2QBiZRaI","00:00:35","00:00:37","when he saw he had just hit the line judge accidentally.","when he saw he had just hit the line judge accidentally"
"oO_2QBiZRaI","00:00:38","00:00:44","Now, some have claimed that this was no accident, remembering the 2016 French open","no some have claimed that this was no accident remember in the 2016 french open when"
"oO_2QBiZRaI","00:00:44","00:00:47","when a flung racket almost hit a line person.","affluent racket almost hit a line person"
"oO_2QBiZRaI","00:00:47","00:00:51","and his attitude later that year over an exchange with a journalist:","and his attitude later that year over an exchange with a journalist"
"oO_2QBiZRaI","00:00:52","00:00:52","","does it concern"
"oO_2QBiZRaI","00:00:53","00:00:58","Does it concern you that one day that... is going to cost you, hit someone in the head?","you that one day that that could cost you dearly if the ball would hit someone today is that something you want to address you guys"
"oO_2QBiZRaI","00:00:59","00:00:59","— You guys are unbelievable.","are unbelievable"
"oO_2QBiZRaI","00:01:00","00:01:01","",""
"oO_2QBiZRaI","00:01:02","00:01:02","- What's unbelievable?","it was unbelievable"
"oO_2QBiZRaI","00:01:03","00:01:05","Yeah, because you're always picking these kinds of things, it's incredible","yeah because you're always picking this kind of things it's"
"oO_2QBiZRaI","00:01:06","00:01:10","In this case he showed arrogance, as in nothing wrong could happen.","incredible in this case he showed arrogance as in nothing wrong could happen arrogance as in nothing wrong could happen"
"oO_2QBiZRaI","00:01:11","00:01:14","But when he hit the line judge in the neck, he was actually concerned about it.","but when he hit the lion judge in the neck he was actually concerned about"
"oO_2QBiZRaI","00:01:15","00:01:20","He tried to convince the judges that he didn't mean it and that he was really sorry,","it he tried to convince the judges that he didn't mean it and that he was really sorry but he committed"
"oO_2QBiZRaI","00:01:20","00:01:24","but he committed three body language mistakes that made his apology look fake.","three body language mistakes that made his apology look"
"oO_2QBiZRaI","00:01:25","00:01:30","For instance, he used the classic gesture of two hands over the chest to show that he was sorry,","fake for instance he used a classic gesture of two hands over the chest to show that he was sorry"
"oO_2QBiZRaI","00:01:31","00:01:35","and I strongly advice against this gesture because it always looks fake.","and i strongly advise against this gesture because it always looks"
"oO_2QBiZRaI","00:01:36","00:01:41","Another mistake is that he was smiling, almost playful, when he was talking to the other judges.","fake another mistake is that he was smiling almost playful when he was talking to the other judges"
"oO_2QBiZRaI","00:01:42","00:01:44","Maybe he was trying to downplay the facts, and this is wrong.","maybe he was trying to downplay the facts and this is"
"oO_2QBiZRaI","00:01:45","00:01:48","When you have made a mistake, don't try to downplay what you did,","wrong when you have made a mistake don't try to downplay what you did"
"oO_2QBiZRaI","00:01:49","00:01:51","not with words, or with your facial expressions.","not with words or with your facial expressions"
"oO_2QBiZRaI","00:01:51","00:01:56","Understand that the situation is serious and keep your facial expressions neutral.","understand that the situation is serious and keep your facial expressions neutral"
"oO_2QBiZRaI","00:01:56","00:02:00","Never say things like ""it was nothing"", or ""I didn't mean it"".","never say things like it was nothing or i didn't mean"
"oO_2QBiZRaI","00:02:01","00:02:07","The only affirmation that you should say is ""I'm really sorry""; besides that, if someone says","it the only affirmation that you should say is i'm really sorry besides that if someone says something"
"oO_2QBiZRaI","00:02:07","00:02:13","something in the lines of ""You're being disqualified"", ask a question that reframes what happened.","in the lines of your being disqualified ask a question that refrains what happened"
"oO_2QBiZRaI","00:02:13","00:02:16","For example: ""Are players disqualified for accidents?""","for example are players disqualified for accidents"
"oO_2QBiZRaI","00:02:17","00:02:21","And the third body language mistake is trying to look for empathy touching the other person.","and the third body language mistake is trying to look for empathy touching the other person"
"oO_2QBiZRaI","00:02:22","00:02:27","I've talked before of how important is a subtle touch of the arm to build empathy.","i've talked before of how important is a subtle touch of the arm to build empathy but if"
"oO_2QBiZRaI","00:02:27","00:02:33","But if you do it like this, with your body stiff, it will look fake and have the opposite effect.","you do it like this with your body stiff it will look fake and have the opposite effect do you think"
"oO_2QBiZRaI","00:02:33","00:02:38","Do you think DJokovic could have talked himself out of this? please share it in the comments.","djokovic could have talked himself out of this please share it in the comments"
"oO_2QBiZRaI","00:02:38","00:02:44","","and don't forget to subscribe so you don't miss any of my body language analysis and tips"
