video_id,lang,text,timecode
VB_GWz25B3Q,English (United Kingdom),,0:00 / 9:16
VB_GWz25B3Q,English (United Kingdom),Here in the Kurzgesagt labs,0:01 / 9:16
VB_GWz25B3Q,English (United Kingdom),Here in the Kurzgesagt labs,0:02 / 9:16
VB_GWz25B3Q,English (United Kingdom),we only work on,0:02 / 9:16
VB_GWz25B3Q,English (United Kingdom),the most important scientific problems like,0:03 / 9:16
VB_GWz25B3Q,English (United Kingdom),the most important scientific problems like,0:04 / 9:16
VB_GWz25B3Q,English (United Kingdom),the most important scientific problems like,0:05 / 9:16
VB_GWz25B3Q,English (United Kingdom),"""What if we nuke stuff""",0:05 / 9:16
VB_GWz25B3Q,English (United Kingdom),"""What if we nuke stuff""",0:06 / 9:16
VB_GWz25B3Q,English (United Kingdom),"""What if we nuke stuff""",0:07 / 9:16
VB_GWz25B3Q,English (United Kingdom),"or ""how about",0:07 / 9:16
VB_GWz25B3Q,English (United Kingdom),"or ""how about",0:08 / 9:16
VB_GWz25B3Q,English (United Kingdom),"we make this elephant explode""",0:08 / 9:16
VB_GWz25B3Q,English (United Kingdom),"we make this elephant explode""",0:09 / 9:16
VB_GWz25B3Q,English (United Kingdom), or,0:10 / 9:16
VB_GWz25B3Q,English (United Kingdom),who could forget,0:10 / 9:16
VB_GWz25B3Q,English (United Kingdom),who could forget,0:11 / 9:16
VB_GWz25B3Q,English (United Kingdom),"""look at this thing.",0:11 / 9:16
VB_GWz25B3Q,English (United Kingdom),"It's really big.""",0:12 / 9:16
VB_GWz25B3Q,English (United Kingdom),"It's really big.""",0:13 / 9:16
VB_GWz25B3Q,English (United Kingdom),"Continuing this proud tradition,",0:14 / 9:16
VB_GWz25B3Q,English (United Kingdom),"Continuing this proud tradition,",0:15 / 9:16
VB_GWz25B3Q,English (United Kingdom),"Continuing this proud tradition,",0:16 / 9:16
VB_GWz25B3Q,English (United Kingdom),let's explore the scientific mystery of what,0:16 / 9:16
VB_GWz25B3Q,English (United Kingdom),let's explore the scientific mystery of what,0:17 / 9:16
VB_GWz25B3Q,English (United Kingdom),"would happen to you,",0:18 / 9:16
VB_GWz25B3Q,English (United Kingdom),"would happen to you,",0:19 / 9:16
VB_GWz25B3Q,English (United Kingdom),if Earth suddenly turned into gold!,0:19 / 9:16
VB_GWz25B3Q,English (United Kingdom),if Earth suddenly turned into gold!,0:20 / 9:16
VB_GWz25B3Q,English (United Kingdom),if Earth suddenly turned into gold!,0:21 / 9:16
VB_GWz25B3Q,English (United Kingdom),,0:22 / 9:16
VB_GWz25B3Q,English (United Kingdom),"The “Midaspocalypse”,",0:22 / 9:16
VB_GWz25B3Q,English (United Kingdom),"The “Midaspocalypse”,",0:23 / 9:16
VB_GWz25B3Q,English (United Kingdom),based on the ancient tale of King Midas,0:23 / 9:16
VB_GWz25B3Q,English (United Kingdom),based on the ancient tale of King Midas,0:24 / 9:16
VB_GWz25B3Q,English (United Kingdom),based on the ancient tale of King Midas,0:25 / 9:16
VB_GWz25B3Q,English (United Kingdom),who was cursed,0:26 / 9:16
VB_GWz25B3Q,English (United Kingdom),so everything he touched,0:27 / 9:16
VB_GWz25B3Q,English (United Kingdom),so everything he touched,0:28 / 9:16
VB_GWz25B3Q,English (United Kingdom), turned into gold,0:28 / 9:16
VB_GWz25B3Q,English (United Kingdom), turned into gold,0:29 / 9:16
VB_GWz25B3Q,English (United Kingdom),,0:29 / 9:16
VB_GWz25B3Q,English (United Kingdom),Before we can explore this scenario,0:30 / 9:16
VB_GWz25B3Q,English (United Kingdom),Before we can explore this scenario,0:31 / 9:16
VB_GWz25B3Q,English (United Kingdom),"with science,",0:32 / 9:16
VB_GWz25B3Q,English (United Kingdom),we'll first define the premise.,0:32 / 9:16
VB_GWz25B3Q,English (United Kingdom),we'll first define the premise.,0:33 / 9:16
VB_GWz25B3Q,English (United Kingdom),we'll first define the premise.,0:34 / 9:16
VB_GWz25B3Q,English (United Kingdom),,0:34 / 9:16
VB_GWz25B3Q,English (United Kingdom),"Midas's curse is a very special phenomenon,",0:35 / 9:16
VB_GWz25B3Q,English (United Kingdom),"Midas's curse is a very special phenomenon,",0:36 / 9:16
VB_GWz25B3Q,English (United Kingdom),"Midas's curse is a very special phenomenon,",0:37 / 9:16
VB_GWz25B3Q,English (United Kingdom),"called magic,",0:38 / 9:16
VB_GWz25B3Q,English (United Kingdom),which allows us to modify physics.,0:39 / 9:16
VB_GWz25B3Q,English (United Kingdom),which allows us to modify physics.,0:40 / 9:16
VB_GWz25B3Q,English (United Kingdom),which allows us to modify physics.,0:41 / 9:16
VB_GWz25B3Q,English (United Kingdom),So what happens when midas touches,0:41 / 9:16
VB_GWz25B3Q,English (United Kingdom),So what happens when midas touches,0:42 / 9:16
VB_GWz25B3Q,English (United Kingdom),So what happens when midas touches,0:43 / 9:16
VB_GWz25B3Q,English (United Kingdom),something and it turns to gold?,0:44 / 9:16
VB_GWz25B3Q,English (United Kingdom),something and it turns to gold?,0:45 / 9:16
VB_GWz25B3Q,English (United Kingdom),[Music],0:46 / 9:16
VB_GWz25B3Q,English (United Kingdom),[Music],0:47 / 9:16
VB_GWz25B3Q,English (United Kingdom),[Music],0:48 / 9:16
VB_GWz25B3Q,English (United Kingdom),[Music],0:49 / 9:16
VB_GWz25B3Q,English (United Kingdom),[Music],0:50 / 9:16
