"video_id","min_timecode","max_timecode","text.user","text.auto"
"OgMXjAQ5q14","00:00:00","00:00:03","I'm about 30km outside Reykjavík, in Iceland.","i'm about 30 kilometers outside reykjavik in iceland"
"OgMXjAQ5q14","00:00:04","00:00:08","And yes, earlier today, I was swimming in power plant wastewater.","and yes earlier today i was swimming in power plant wastewater which is uh"
"OgMXjAQ5q14","00:00:08","00:00:09","Which is not something I'd usually recommend.","not something i'd"
"OgMXjAQ5q14","00:00:10","00:00:11","If you were at a coal-fired power plant,","usually recommend if you're at a coal-fired power"
"OgMXjAQ5q14","00:00:12","00:00:14","well, even if you were just swimming in the water","plant well even if you were just swimming in the water that"
"OgMXjAQ5q14","00:00:14","00:00:17","that had been boiled to spin the turbines and then cooled back down again,","had been boiled to spin the turbines and then cooled back down"
"OgMXjAQ5q14","00:00:18","00:00:21","well, there are enough stories about coal ash contamination,","again well there are enough stories about coal ash contamination with"
"OgMXjAQ5q14","00:00:22","00:00:26","with arsenic and mercury and selenium, that it would not be safe.","arsenic and mercury and selenium that it would not be safe for gas"
"OgMXjAQ5q14","00:00:26","00:00:27","For gas and nuclear plants,","and nuclear plants as long as"
"OgMXjAQ5q14","00:00:27","00:00:29","as long as the water's treated on the way out,","the water's treated on the way out"
"OgMXjAQ5q14","00:00:30","00:00:32","you'd probably be fine? I think?","you'd probably be fine i think it's one of those"
"OgMXjAQ5q14","00:00:32","00:00:34","It's one of those things where I wouldn't want to chance it.","things where i wouldn't want to chance it but"
"OgMXjAQ5q14","00:00:35","00:00:38","But that blue-white water is in the Blue Lagoon.","that blue white water is in the blue lagoon"
"OgMXjAQ5q14","00:00:39","00:00:42","Now, the management there are very careful about how they phrase it.","now the management there are very careful about how they phrase"
"OgMXjAQ5q14","00:00:43","00:00:45","They prefer to talk about the skin care and health benefits","it they prefer to talk about the skin care and health benefits"
"OgMXjAQ5q14","00:00:46","00:00:48","that they claim come from the silica in the water, but...","they claim come from the silica in the water but"
"OgMXjAQ5q14","00:00:49","00:00:51","yeah, it's geothermal power plant wastewater.","yeah it's geothermal power plant waste water okay"
"OgMXjAQ5q14","00:00:51","00:00:55","Okay, a quick diversion here: most cities in the world have a cold water mains supply.","quick diversion here most cities in the world have a cold water main supply there's"
"OgMXjAQ5q14","00:00:56","00:00:58","There's a grid of cold water to all the houses and buildings,","a grid of cold water to all the houses and buildings that's heated"
"OgMXjAQ5q14","00:00:58","00:01:01","and it's heated on-demand when it's needed in each building.","on demand when it's needed in each building but"
"OgMXjAQ5q14","00:01:02","00:01:03","But Iceland is geologically active:","iceland is geologically active"
"OgMXjAQ5q14","00:01:04","00:01:06","in parts of the country, there are high-pressure reservoirs of hot water","in parts of the country there are high pressure reservoirs of hot water"
"OgMXjAQ5q14","00:01:07","00:01:10","not too far underground, where underground rivers meet hot rocks.","not too far underground where underground rivers meet hot rocks in some places"
"OgMXjAQ5q14","00:01:10","00:01:13","In some places, those reservoirs break through and reach the surface naturally.","those reservoirs break through and reach the surface naturally"
"OgMXjAQ5q14","00:01:14","00:01:18","So near those places, it's economical to drill a borehole down into the ground","so near those places it's economical to drill a borehole down to the ground"
"OgMXjAQ5q14","00:01:18","00:01:23","and capture the superheated, high-pressure steam and water that come back up.","and capture the super-heated high-pressure steam and water that come back up there are two things"
"OgMXjAQ5q14","00:01:23","00:01:26","There are two things you can do with that hot water and steam.","you can do with that hot water and steam it's not"
"OgMXjAQ5q14","00:01:26","00:01:27","It's not drinkable, first of all,","drinkable first of all it's filled"
"OgMXjAQ5q14","00:01:28","00:01:29","it's filled with silica and other bits of dissolved rock,","with silica and other bits of dissolved rock"
"OgMXjAQ5q14","00:01:30","00:01:32","but you can put it in a heat exchanger,","but you can put it in a heat exchanger and use"
"OgMXjAQ5q14","00:01:33","00:01:35","and use it to heat up fresh, clean cold water,","it to heat up fresh clean cold water and then you"
"OgMXjAQ5q14","00:01:35","00:01:37","and then you can send the resulting clean hot water","can send the resulting clean hot water down"
"OgMXjAQ5q14","00:01:37","00:01:39","down a pipeline to paying customers.","a pipeline to paying customers"
"OgMXjAQ5q14","00:01:39","00:01:41","And this is one of those pipelines!","and this is one of those pipelines there"
"OgMXjAQ5q14","00:01:42","00:01:43","There is hot water speeding through this to Reykjavík.","is hot water speeding through this to reykjavik"
"OgMXjAQ5q14","00:01:44","00:01:46","It doesn't actually feel warm, if it did the pipe wouldn't be doing its job,","it doesn't actually feel warm if it did the pipe wouldn't be doing"
"OgMXjAQ5q14","00:01:47","00:01:49","because the water only loses a couple of degrees over dozens of kilometres,","its job because the water only loses a couple of degrees over dozens of kilometers"
"OgMXjAQ5q14","00:01:50","00:01:52","but yes, hot water speeding through that.","but yes hot water speeding through that icelandic cities"
"OgMXjAQ5q14","00:01:52","00:01:55","Icelandic cities have separate hot water and cold water grids.","have separate hot water and cold water grids if"
"OgMXjAQ5q14","00:01:56","00:01:58","If your home is connected to that grid you don't need a water heater.","your home is connected to that grid you don't need a water heater so"
"OgMXjAQ5q14","00:01:58","00:02:01","So, okay, that's hot water. If you want electricity instead,","okay that's hot water if you want electricity instead"
"OgMXjAQ5q14","00:02:02","00:02:04","you can spin a turbine using the high-pressure steam that's coming up,","you can spin a turbine using the high pressure steam that's coming up"
"OgMXjAQ5q14","00:02:05","00:02:07","and generate clean power that way. Technically, you can do both,","and generate clean power that way and technically you can do both"
"OgMXjAQ5q14","00:02:08","00:02:10","but pipelines are expensive and there's a lot of hot water around here,","but pipelines are expensive and there is a lot of hot"
"OgMXjAQ5q14","00:02:11","00:02:13","so often it's just electricity or hot water.","water around here so often it's just electricity or hot water"
"OgMXjAQ5q14","00:02:14","00:02:17","Even a massive, industrial-size geothermal borehole will last a few decades","even a massive industrial size geothermal borehole will last a few decades"
"OgMXjAQ5q14","00:02:18","00:02:20","before it starts to run out of heat, and when that happens,","before it starts to run out of heat and when that happens you can just"
"OgMXjAQ5q14","00:02:20","00:02:22","you can just open another one a few kilometres away.","open another one a few kilometers away the old one"
"OgMXjAQ5q14","00:02:22","00:02:24","The old one will get back up to temperature sooner or later,","will get back up to temperature sooner or later the"
"OgMXjAQ5q14","00:02:25","00:02:27","the Earth is not going to run out of heat.","earth is not going to run out of heat which"
"OgMXjAQ5q14","00:02:27","00:02:31","Which means Iceland has a massive supply of hot water.","means iceland has a massive supply of hot water high"
"OgMXjAQ5q14","00:02:32","00:02:37","High up on a hill above Reykjavík, there's this beautiful building called Perlan.","up on a hill above reykjavik there is this beautiful building called pearlan it's got exhibitions"
"OgMXjAQ5q14","00:02:37","00:02:39","It's got exhibitions about the natural wonders of Iceland","about the natural wonders of iceland"
"OgMXjAQ5q14","00:02:40","00:02:41","and a revolving restaurant and an observation deck.","and a revolving restaurant an observation deck"
"OgMXjAQ5q14","00:02:42","00:02:45","But the big round things on the outside aren't part of the exhibitions:","but the big round things on the outside aren't part of the exhibitions"
"OgMXjAQ5q14","00:02:46","00:02:49","they're the enormous hot water storage tanks that the building was built around.","they're the enormous hot water storage tanks that the building was built around"
"OgMXjAQ5q14","00:02:49","00:02:52","Perlan is a water tower, just like any other you'd find around the world,","pearlan is a water tower just like any other you'd find"
"OgMXjAQ5q14","00:02:53","00:02:55","except it stores hot water.","around the world except it stores hot water"
"OgMXjAQ5q14","00:02:55","00:02:59","There's so much of it that, while it's not free, it's very very cheap.","there's so much of it that while it's not free it's very very cheap"
"OgMXjAQ5q14","00:03:00","00:03:02","If your house is a bit too warm in winter in Iceland, you don't turn the heating down:","if your house is a bit too warm in winter in iceland you don't turn"
"OgMXjAQ5q14","00:03:03","00:03:05","you just open a window and let some fresh air in.","the heating down you just open a window and let some fresh air in"
"OgMXjAQ5q14","00:03:06","00:03:08","Iceland also has quite a lot of fresh air.","iceland also has quite a lot of fresh air um"
"OgMXjAQ5q14","00:03:08","00:03:12","When it's snowing, the pavements are heated up by hot water pipes underneath.","when it's snowing the pavements are heated up by hot water pipes underneath"
"OgMXjAQ5q14","00:03:13","00:03:13","Last time I was here was in winter,","last time i was here was in winter"
"OgMXjAQ5q14","00:03:14","00:03:18","the lake behind City Hall was frozen over, the ice was strong enough to safely walk on.","the lake behind city hall was frozen over and the ice was strong enough to safely walk on in one corner"
"OgMXjAQ5q14","00:03:18","00:03:22","In one corner, there's a pipe constantly pouring a bit hot water into that lake,","there is a pipe constantly pouring a bit of hot water into that lake just so the"
"OgMXjAQ5q14","00:03:22","00:03:24","just so the ducks have somewhere to swim.","ducks have somewhere to swim"
"OgMXjAQ5q14","00:03:25","00:03:27","And yes, there are natural hot springs elsewhere in Iceland,","and yes there are natural hot springs elsewhere in iceland there"
"OgMXjAQ5q14","00:03:27","00:03:29","there are natural hot spring beaches elsewhere in the world,","are natural hot spring beaches elsewhere in"
"OgMXjAQ5q14","00:03:30","00:03:33","but Reykjavík has an artificial hot water beach:","the world but reykjavik has an artificial hot water beach they just"
"OgMXjAQ5q14","00:03:33","00:03:36","they just pump hot water into that lagoon to heat it up a bit.","pump hot water into that lagoon to heat it up a bit"
"OgMXjAQ5q14","00:03:36","00:03:38","There's a hot tub down there!","there's a hot tub down there"
"OgMXjAQ5q14","00:03:39","00:03:41","But this isn't power plant wastewater.","but that isn't power plant waste water it's regular water"
"OgMXjAQ5q14","00:03:41","00:03:44","It's regular water, like you'd get out of the cold tap in your home,","like you get out of the coal tap in your home just heat it"
"OgMXjAQ5q14","00:03:44","00:03:49","just heated up in a heat exchanger by the high-pressure undrinkable water and steam","up in a heat exchanger by the high pressure undrinkable water and steam that comes"
"OgMXjAQ5q14","00:03:49","00:03:51","that comes up from the boreholes at the geothermal power plants.","up from the boreholes of the geothermal power plant so two never"
"OgMXjAQ5q14","00:03:51","00:03:52","The two never touch.","touch"
"OgMXjAQ5q14","00:03:53","00:03:54","So there's one loose end here:","so there's one loose end here after that"
"OgMXjAQ5q14","00:03:54","00:03:57","after that high-pressure steam comes up to the surface and gets used…","high pressure steam comes up to the surface and gets used"
"OgMXjAQ5q14","00:03:58","00:03:58","where does it go?","where does it go"
"OgMXjAQ5q14","00:03:59","00:04:01","Well, once it's cooled down a bit, the geothermal plants","well once cooled down a bit the geothermal plants just dump"
"OgMXjAQ5q14","00:04:01","00:04:03","just dump the water out onto nearby rocks.","the water out onto nearby rocks"
"OgMXjAQ5q14","00:04:04","00:04:05","Those rocks are permeable, the water slowly sinks through them,","those rocks are permeable the water slowly sinks through"
"OgMXjAQ5q14","00:04:06","00:04:10","and over decades it will make its way back to where it came from.","them and over decades it will make its way back to where it came from mostly"
"OgMXjAQ5q14","00:04:10","00:04:11","Mostly.","when you're dumping"
"OgMXjAQ5q14","00:04:11","00:04:13","When you're dumping that much water out, though,","that much water out though"
"OgMXjAQ5q14","00:04:14","00:04:16","it will tend to form pools and… lagoons.","it will tend to form pools and lagoons"
"OgMXjAQ5q14","00:04:17","00:04:19","Particularly when it's got a lot of silica in it.","particularly tend to form pools and lagoons particularly when it's got a lot of silica in it"
"OgMXjAQ5q14","00:04:20","00:04:20","And the story from there is simple:","and the story from there is"
"OgMXjAQ5q14","00:04:21","00:04:23","someone went bathing in one of those pools, thought it helped their skin condition,","simple someone went bathing in one of those pools thought it helped the skin"
"OgMXjAQ5q14","00:04:24","00:04:26","and a few decades of construction and marketing later","condition and a few decades of construction and marketing later"
"OgMXjAQ5q14","00:04:27","00:04:29","the Blue Lagoon is one of the ""wonders of the world""","the blue lagoon is one of the wonders of the world and they"
"OgMXjAQ5q14","00:04:29","00:04:31","and they charge more than €30 for a basic ticket.","charge more than 30 euro for a basic ticket"
"OgMXjAQ5q14","00:04:32","00:04:33","And I don't want to knock that too much!","and i don't want to knock that too much"
"OgMXjAQ5q14","00:04:34","00:04:37","Because yes, there is some research that says bathing in geothermal water like that","because yes there is some research that says bathing in geothermal"
"OgMXjAQ5q14","00:04:38","00:04:40","helps some skin conditions, and there is a big difference","water like that helps some skin conditions and there is a big difference"
"OgMXjAQ5q14","00:04:41","00:04:44","between wild swimming in a mysterious hot-water pool","between wild swimming in a mysterious hot pool"
"OgMXjAQ5q14","00:04:45","00:04:46","and bathing in a well-regulated geothermal spa","and bathing in a well-regulated geothermal spa"
"OgMXjAQ5q14","00:04:47","00:04:49","that gives you a towel and offers in-water massages.","that gives you a towel and offers in-water massages"
"OgMXjAQ5q14","00:04:50","00:04:53","But if you feel like being cynical, then yes,","but if you feel like being cynical then yes that is"
"OgMXjAQ5q14","00:04:54","00:04:59","that is power plant wastewater.","power plant waste water"
"OgMXjAQ5q14","00:05:02","00:05:04","","iceland"
"OgMXjAQ5q14","00:05:04","00:05:06","Iceland is beautiful.","is beautiful"
"OgMXjAQ5q14","00:05:07","00:05:07","",""
"OgMXjAQ5q14","00:05:08","00:05:10","Bit wet. But beautiful.","bit wet but"
"OgMXjAQ5q14","00:05:10","00:05:16","","beautiful"
