"video_id","min_timecode","max_timecode","text.user","text.auto"
"GP3F7eb35Fg","00:00:00","00:00:00","DONE TO PROTECT THE CAPITA","federal"
"GP3F7eb35Fg","00:00:01","00:00:01","DONE TO PROTECT THE CAPITAL.","prosecutors say luis capriati"
"GP3F7eb35Fg","00:00:02","00:00:05","DONE TO PROTECT THE CAPITAL. LOSE: FEDERAL PROSECUTORS SAY","had a years-long history of threatening federal lawmakers"
"GP3F7eb35Fg","00:00:06","00:00:07","DONE TO PROTECT THE CAPITAL. LOSE: FEDERAL PROSECUTORS SAY LEWIS CAPRIOTTI HAD A YEARS-LONG","in detailed profanity-laced"
"GP3F7eb35Fg","00:00:07","00:00:08","LOSE: FEDERAL PROSECUTORS SAY LEWIS CAPRIOTTI HAD A YEARS-LONG HISTORY OF THREATENING FEDERAL","voicemails"
"GP3F7eb35Fg","00:00:09","00:00:12","LEWIS CAPRIOTTI HAD A YEARS-LONG HISTORY OF THREATENING FEDERAL LAWMAKERS IN DETAILED VOICEMAILS","luis capriati is accused of making the very kind"
"GP3F7eb35Fg","00:00:12","00:00:15","HISTORY OF THREATENING FEDERAL LAWMAKERS IN DETAILED VOICEMAILS .","of threats law enforcement officials all over the country"
"GP3F7eb35Fg","00:00:16","00:00:16","LAWMAKERS IN DETAILED VOICEMAILS . CAPRIO","are working to thwart"
"GP3F7eb35Fg","00:00:16","00:00:17","LAWMAKERS IN DETAILED VOICEMAILS . CAPRIOTTI IS ACCUSED OF MAKING","ahead of next week's"
"GP3F7eb35Fg","00:00:18","00:00:18",". CAPRIOTTI IS ACCUSED OF MAKING THE KIND OF TH","inauguration"
"GP3F7eb35Fg","00:00:18","00:00:19",". CAPRIOTTI IS ACCUSED OF MAKING THE KIND OF THREAT LAW","in washington"
"GP3F7eb35Fg","00:00:20","00:00:20","THE KIND OF THREAT LAW ENFORCEMENT OFFICIALS ALL OVER THE COUNTRY ARE WORKIN","prosecutors"
"GP3F7eb35Fg","00:00:21","00:00:21","THE KIND OF THREAT LAW ENFORCEMENT OFFICIALS ALL OVER THE COUNTRY ARE WORKING TO","say the 45"
"GP3F7eb35Fg","00:00:22","00:00:24","ENFORCEMENT OFFICIALS ALL OVER THE COUNTRY ARE WORKING TO THWART AHEAD OF THE","year old chicago heights man has a long call log of"
"GP3F7eb35Fg","00:00:25","00:00:25","THWART AHEAD OF THE INAUGURATION. PROSECUTORS SAY THE CHICAGO","menacing threats"
"GP3F7eb35Fg","00:00:26","00:00:26","INAUGURATION. PROSECUTORS SAY THE CHICAGO HEIGHTS MAN HA","to elected"
"GP3F7eb35Fg","00:00:26","00:00:28","INAUGURATION. PROSECUTORS SAY THE CHICAGO HEIGHTS MAN HAD A LONG CALL LOG","officials and left another one of his"
"GP3F7eb35Fg","00:00:29","00:00:29","PROSECUTORS SAY THE CHICAGO HEIGHTS MAN HAD A LONG CALL LOG OF MENACING THREATS TO ELECTED","signature voicemails"
"GP3F7eb35Fg","00:00:30","00:00:33","HEIGHTS MAN HAD A LONG CALL LOG OF MENACING THREATS TO ELECTED OFFICIALS.","and left another one of his signature voicemails for a representative in new jersey"
"GP3F7eb35Fg","00:00:30","00:00:34","HEIGHTS MAN HAD A LONG CALL LOG OF MENACING THREATS TO ELECTED OFFICIAL","prosecutors say that"
"GP3F7eb35Fg","00:00:35","00:00:37","OF MENACING THREATS TO ELECTED OFFICIALS. PROSECUTORS SAY THE MESSAGE","message became even more chilling after a violent"
"GP3F7eb35Fg","00:00:38","00:00:38","OFFICIALS. PROSECUTORS SAY THE MESSAGE BECAME EVEN MORE CHILLING ","mob overran"
"GP3F7eb35Fg","00:00:38","00:00:39","OFFICIALS. PROSECUTORS SAY THE MESSAGE BECAME EVEN MORE CHILLING AFTER","the u.s capitol"
"GP3F7eb35Fg","00:00:40","00:00:41","PROSECUTORS SAY THE MESSAGE BECAME EVEN MORE CHILLING AFTER A VIOLENT MOB OVERRAN THE U.S.","last week trying to stop the"
"GP3F7eb35Fg","00:00:42","00:00:43","BECAME EVEN MORE CHILLING AFTER A VIOLENT MOB OVERRAN THE U.S. CAPITOL LAST WEEK, TRYING TO","certification of joe biden's"
"GP3F7eb35Fg","00:00:44","00:00:44","A VIOLENT MOB OVERRAN THE U.S. CAPITOL LAST WEEK, TRYING TO STOP THE CERTIFICATION O","election prosecutors"
"GP3F7eb35Fg","00:00:44","00:00:47","CAPITOL LAST WEEK, TRYING TO STOP THE CERTIFICATION OF JOE BIDEN'S ELECTION.","say capriati's recording said in part if certain"
"GP3F7eb35Fg","00:00:48","00:00:48","BIDEN'S ELECTION. PROSECUTORS SAY CAPRIOTTI'S RE","individuals think that joe"
"GP3F7eb35Fg","00:00:49","00:00:51","BIDEN'S ELECTION. PROSECUTORS SAY CAPRIOTTI'S RECORDING SAY IN PART, IF","biden is going to put his hand on the bible and walk into"
"GP3F7eb35Fg","00:00:52","00:00:52","PROSECUTORS SAY CAPRIOTTI'S RECORDING SAY IN PART, IF CERTAIN INDIVIDUALS TH","that expletive"
"GP3F7eb35Fg","00:00:53","00:00:53","RECORDING SAY IN PART, IF CERTAIN INDIVIDUALS THINK JOE BIDEN IS GOING TO PUT HIS HAND","white"
"GP3F7eb35Fg","00:00:54","00:00:56","CERTAIN INDIVIDUALS THINK JOE BIDEN IS GOING TO PUT HIS HAND ON THE BIBLE AND WALK INTO THAT","house on january 20th they're sadly expletive mistaken"
"GP3F7eb35Fg","00:00:57","00:00:58","BIDEN IS GOING TO PUT HIS HAND ON THE BIBLE AND WALK INTO THAT EXPLETIVE WHITE HOUSE ON JANUARY","court documents"
"GP3F7eb35Fg","00:00:59","00:01:00","ON THE BIBLE AND WALK INTO THAT EXPLETIVE WHITE HOUSE ON JANUARY 20, THEY ARE SADLY EXPLETIVE","detail the capriati call continuing documents detail the capriati call continuing"
"GP3F7eb35Fg","00:01:01","00:01:01","EXPLETIVE WHITE HOUSE ON JANUARY 20, THEY ARE SADLY EXPLETIVE MISTAKEN.","saying"
"GP3F7eb35Fg","00:01:02","00:01:02","20, THEY ARE SADLY EXPLETIVE MISTAKEN. HE CONTINUED SAYING, W","we will surround the"
"GP3F7eb35Fg","00:01:02","00:01:05","20, THEY ARE SADLY EXPLETIVE MISTAKEN. HE CONTINUED SAYING, WE WILL","expletive white house and we will kill any"
"GP3F7eb35Fg","00:01:06","00:01:06","MISTAKEN. HE CONTINUED SAYING, WE WILL SURROUND THE E","expletive democrat that"
"GP3F7eb35Fg","00:01:07","00:01:08","MISTAKEN. HE CONTINUED SAYING, WE WILL SURROUND THE EXCLUDE WHITE HOUSE","steps on the expletive lawn"
"GP3F7eb35Fg","00:01:09","00:01:09","HE CONTINUED SAYING, WE WILL SURROUND THE EXCLUDE WHITE HOUSE AND KILL ANY EXPLETI","prosecutors"
"GP3F7eb35Fg","00:01:10","00:01:10","HE CONTINUED SAYING, WE WILL SURROUND THE EXCLUDE WHITE HOUSE AND KILL ANY EXPLETIVE DEMOCRAT","say capriati"
"GP3F7eb35Fg","00:01:11","00:01:11","SURROUND THE EXCLUDE WHITE HOUSE AND KILL ANY EXPLETIVE DEMOCRAT THAT S","identified expletive lawn prosecutors say capriati identified"
"GP3F7eb35Fg","00:01:11","00:01:12","SURROUND THE EXCLUDE WHITE HOUSE AND KILL ANY EXPLETIVE DEMOCRAT THAT STEPS ON THE EXPLETIVE","himself as a nine-year"
"GP3F7eb35Fg","00:01:13","00:01:13","AND KILL ANY EXPLETIVE DEMOCRAT THAT STEPS ON THE EXPLETIVE LAWN","marine"
"GP3F7eb35Fg","00:01:13","00:01:16","THAT STEPS ON THE EXPLETIVE LAWN. PROSECUTORS SAY CAPRIOTT","active duty capriati who prosecutors"
"GP3F7eb35Fg","00:01:17","00:01:18","LAWN. PROSECUTORS SAY CAPRIOTTI IDENTIFIED HIMSELF AS A","say never"
"GP3F7eb35Fg","00:01:19","00:01:19","PROSECUTORS SAY CAPRIOTTI IDENTIFIED HIMSELF AS A NINE-YEA","was an active marine"
"GP3F7eb35Fg","00:01:20","00:01:21","IDENTIFIED HIMSELF AS A NINE-YEAR MARINE ACTIVE DUTY. HE NEVER WAS AN ACTIVE MARIN","is now in federal custody"
"GP3F7eb35Fg","00:01:20","00:01:22","IDENTIFIED HIMSELF AS A NINE-YEAR MARINE ACTIVE DUTY. HE NEVER WAS AN ACTIVE MARINE","tonight in washington"
"GP3F7eb35Fg","00:01:23","00:01:23","NINE-YEAR MARINE ACTIVE DUTY. HE NEVER WAS AN ACTIVE MARINE AND IS NOW IN FEDERAL CUSTODY.","representatives are returning"
"GP3F7eb35Fg","00:01:24","00:01:25","HE NEVER WAS AN ACTIVE MARINE AND IS NOW IN FEDERAL CUSTODY. TONIGHT IN WASHINGTON,","to a battered capitol building"
"GP3F7eb35Fg","00:01:26","00:01:27","AND IS NOW IN FEDERAL CUSTODY. TONIGHT IN WASHINGTON, REPRESENTATIVES ARE RETURNING TO","sworn members must now"
"GP3F7eb35Fg","00:01:28","00:01:28","TONIGHT IN WASHINGTON, REPRESENTATIVES ARE RETURNING TO","pass through metal detectors"
"GP3F7eb35Fg","00:01:29","00:01:29","REPRESENTATIVES ARE RETURNING TO A BATTERED CAPITOL BUILDING. SWORN ","to enter the"
"GP3F7eb35Fg","00:01:29","00:01:31","REPRESENTATIVES ARE RETURNING TO A BATTERED CAPITOL BUILDING. SWORN MEMBERS HAVE NOW PASSED","house chamber and their physical"
"GP3F7eb35Fg","00:01:32","00:01:32","A BATTERED CAPITOL BUILDING. SWORN MEMBERS HAVE NOW PASSED THROUGH CAPITAL CH","protection is"
"GP3F7eb35Fg","00:01:33","00:01:37","SWORN MEMBERS HAVE NOW PASSED THROUGH CAPITAL CHAMBERS TO ENTER THE CHAMBER.","being closely guarded at airports for the first time we"
"GP3F7eb35Fg","00:01:38","00:01:38","THROUGH CAPITAL CHAMBERS TO ENTER THE CHAMBER. >> FOR THE FIRST TIME, WE DO","do have armed"
"GP3F7eb35Fg","00:01:39","00:01:41","ENTER THE CHAMBER. >> FOR THE FIRST TIME, WE DO HAVE ARMS -- ARMED ESCORTS WITH","escorts with us"
"GP3F7eb35Fg","00:01:42","00:01:43",">> FOR THE FIRST TIME, WE DO HAVE ARMS -- ARMED ESCORTS WITH US.","i've never had that before"
"GP3F7eb35Fg","00:01:42","00:01:44",">> FOR THE FIRST TIME, WE DO HAVE ARMS -- ARMED ESCORTS WITH US","never seen that before"
"GP3F7eb35Fg","00:01:45","00:01:46","HAVE ARMS -- ARMED ESCORTS WITH US. I HAVE NEVER HAD THAT BEFORE,","and"
"GP3F7eb35Fg","00:01:47","00:01:47","US. I HAVE NEVER HAD THAT BEFORE, NEVER SEEN THAT BEFORE, AN","yet now"
"GP3F7eb35Fg","00:01:47","00:01:48","US. I HAVE NEVER HAD THAT BEFORE, NEVER SEEN THAT BEFORE, AND,","it's"
"GP3F7eb35Fg","00:01:48","00:01:51","I HAVE NEVER HAD THAT BEFORE, NEVER SEEN THAT BEFORE, AND, YET, NOW IT HAS BECO","become unfortunately a necessity tonight capriati"
"GP3F7eb35Fg","00:01:52","00:01:52","YET, NOW IT HAS BECOME UNFORTUNATELY A NECESSITY. LIZ:","is in federal custody"
"GP3F7eb35Fg","00:01:53","00:01:57","YET, NOW IT HAS BECOME UNFORTUNATELY A NECESSITY. LIZ: CAPRIOTTI IS IN FEDERAL","and he'll stay there until at least friday when he appears before a federal judge again"
"GP3F7eb35Fg","00:01:57","00:02:08","UNFORTUNATELY A NECESSITY. LIZ: CAPRIOTTI IS IN FEDERAL CUSTODY ","if convicted he faces up to five years in prison hey if you like that video be sure to subscribe to our abc7 chicago youtube channel subscribe to our abc7 chicago youtube channel"
"GP3F7eb35Fg","00:01:58","00:02:08","",""
