"video_id","min_timecode","max_timecode","text.user","text.auto"
"pHCEBlpBdMo","00:00:00","00:00:01","(soft ambient music)","deep"
"pHCEBlpBdMo","00:00:01","00:00:04","- Deep within the acid clouds above Venus,","within the acid clouds above venus astronomers"
"pHCEBlpBdMo","00:00:04","00:00:07","astronomers have detected something new,","have detected something new a gas"
"pHCEBlpBdMo","00:00:07","00:00:10","a gas that could be a sign of life.","that could be a sign of life the gas"
"pHCEBlpBdMo","00:00:10","00:00:13","The gas is phosphine, a toxic molecule","is phosphine a toxic molecule with an"
"pHCEBlpBdMo","00:00:13","00:00:15","with an odor of garlic and dead fish.","odor of garlic and dead fish astronomers"
"pHCEBlpBdMo","00:00:16","00:00:19","Astronomers discovered the compound in a cloud layer","with an odor of garlic and dead fish astronomers discovered the compound in a cloud layer where temperatures"
"pHCEBlpBdMo","00:00:19","00:00:20","where temperatures are fairly close","are fairly close to those"
"pHCEBlpBdMo","00:00:20","00:00:22","to those on earth's surface.","on earth's surface"
"pHCEBlpBdMo","00:00:23","00:00:26","Phosphine is exciting because of where it comes from.","phosphine is exciting because of where it comes from on earth"
"pHCEBlpBdMo","00:00:26","00:00:29","On earth, it's either manufactured by humans,","it's either manufactured by humans on earth it's either manufactured by humans or"
"pHCEBlpBdMo","00:00:29","00:00:32","or it's a natural byproduct of life.","it's a natural byproduct of life it just"
"pHCEBlpBdMo","00:00:32","00:00:34","It just doesn't show up anywhere else,","doesn't show up anywhere else and there's"
"pHCEBlpBdMo","00:00:35","00:00:37","and there's no human manufacturing on Venus.","no human manufacturing on venus and there's no human manufacturing on venus"
"pHCEBlpBdMo","00:00:38","00:00:39","Phosphine is not sure fireproof","phosphine is not surefire"
"pHCEBlpBdMo","00:00:40","00:00:42","there are alien microbes on the cloudy planet,","proof there are alien microbes on the cloudy planet"
"pHCEBlpBdMo","00:00:43","00:00:45","but it does mean that something is going on there.","but it does mean that something is going on there"
"pHCEBlpBdMo","00:00:46","00:00:48","Something that we don't understand.","something that we don't understand"
"pHCEBlpBdMo","00:00:48","00:00:51","","[Music] something that we don't understand [Music]"
"pHCEBlpBdMo","00:00:52","00:00:53","Here's the backstory.","here's the backstory late"
"pHCEBlpBdMo","00:00:54","00:00:57","Late last year, a team at MIT put out a paper","last year a team at mit put out a paper calling"
"pHCEBlpBdMo","00:00:57","00:01:00","calling phosphine gas a bio signature,","phosphine gas a biosignature a"
"pHCEBlpBdMo","00:01:00","00:01:03","a substance that may come from life on another world.","substance that may come from life on another world the"
"pHCEBlpBdMo","00:01:03","00:01:05","The team argued that phosphine has no","team argued that phosphine has no abiotic"
"pHCEBlpBdMo","00:01:06","00:01:07","abiotic false positives,","false positives"
