video_id,lang,text,timecode
jHYyW9YTd-s,English,,0:00 / 3:23
jHYyW9YTd-s,English,,0:01 / 3:23
jHYyW9YTd-s,English,,0:02 / 3:23
jHYyW9YTd-s,English,,0:03 / 3:23
jHYyW9YTd-s,English,,0:04 / 3:23
jHYyW9YTd-s,English,,0:05 / 3:23
jHYyW9YTd-s,English,Wow!,0:06 / 3:23
jHYyW9YTd-s,English,Yeah.,0:07 / 3:23
jHYyW9YTd-s,English,Wow!!,0:08 / 3:23
jHYyW9YTd-s,English,Yeah.,0:09 / 3:23
jHYyW9YTd-s,English,Yeah.,0:10 / 3:23
jHYyW9YTd-s,English,Who knew adding two hours to a story could change so much!,0:10 / 3:23
jHYyW9YTd-s,English,Who knew adding two hours to a story could change so much!,0:11 / 3:23
jHYyW9YTd-s,English,Who knew adding two hours to a story could change so much!,0:12 / 3:23
jHYyW9YTd-s,English,Who knew adding two hours to a story could change so much!,0:13 / 3:23
jHYyW9YTd-s,English,Right?,0:14 / 3:23
jHYyW9YTd-s,English,Cyborg has more depth!,0:15 / 3:23
jHYyW9YTd-s,English,Cyborg has more depth!,0:16 / 3:23
jHYyW9YTd-s,English,Flash can reverse time and isn't motorboating Wonder Woman,0:16 / 3:23
jHYyW9YTd-s,English,Flash can reverse time and isn't motorboating Wonder Woman,0:17 / 3:23
jHYyW9YTd-s,English,Flash can reverse time and isn't motorboating Wonder Woman,0:18 / 3:23
jHYyW9YTd-s,English,Flash can reverse time and isn't motorboating Wonder Woman,0:19 / 3:23
jHYyW9YTd-s,English,"Dude, Lex knows your real name!",0:19 / 3:23
jHYyW9YTd-s,English,"Dude, Lex knows your real name!",0:20 / 3:23
jHYyW9YTd-s,English,Oh crap i totally forgot about that!,0:20 / 3:23
jHYyW9YTd-s,English,Oh crap i totally forgot about that!,0:21 / 3:23
jHYyW9YTd-s,English,Oh crap i totally forgot about that!,0:22 / 3:23
jHYyW9YTd-s,English,I know!,0:22 / 3:23
jHYyW9YTd-s,English,How does he know my name?,0:23 / 3:23
