video_id,lang,text,timecode
cbkQEgf_TAs,English,# DRAMATIC ORCHESTRAL MUSIC,0:00 / 3:42
cbkQEgf_TAs,English,# DRAMATIC ORCHESTRAL MUSIC,0:01 / 3:42
cbkQEgf_TAs,English,# DRAMATIC ORCHESTRAL MUSIC,0:02 / 3:42
cbkQEgf_TAs,English,,0:02 / 3:42
cbkQEgf_TAs,English,,0:03 / 3:42
cbkQEgf_TAs,English,,0:04 / 3:42
cbkQEgf_TAs,English,ANDUIN: Look around you!,0:05 / 3:42
cbkQEgf_TAs,English,ANDUIN: Look around you!,0:06 / 3:42
cbkQEgf_TAs,English,,0:07 / 3:42
cbkQEgf_TAs,English,What makes you believe you're not just a weapon,0:07 / 3:42
cbkQEgf_TAs,English,What makes you believe you're not just a weapon,0:08 / 3:42
cbkQEgf_TAs,English,What makes you believe you're not just a weapon,0:09 / 3:42
cbkQEgf_TAs,English,What makes you believe you're not just a weapon,0:10 / 3:42
cbkQEgf_TAs,English,,0:10 / 3:42
cbkQEgf_TAs,English,to achieve his ends?,0:11 / 3:42
cbkQEgf_TAs,English,to achieve his ends?,0:12 / 3:42
cbkQEgf_TAs,English,Enough!,0:12 / 3:42
cbkQEgf_TAs,English,Enough!,0:13 / 3:42
cbkQEgf_TAs,English,,0:13 / 3:42
cbkQEgf_TAs,English,Join our cause... or be made to serve.,0:14 / 3:42
cbkQEgf_TAs,English,Join our cause... or be made to serve.,0:15 / 3:42
cbkQEgf_TAs,English,Join our cause... or be made to serve.,0:16 / 3:42
cbkQEgf_TAs,English,Join our cause... or be made to serve.,0:17 / 3:42
cbkQEgf_TAs,English,Join our cause... or be made to serve.,0:18 / 3:42
cbkQEgf_TAs,English,,0:18 / 3:42
cbkQEgf_TAs,English,,0:19 / 3:42
cbkQEgf_TAs,English,"Right now,",0:20 / 3:42
cbkQEgf_TAs,English,you hold all the power.,0:21 / 3:42
cbkQEgf_TAs,English,you hold all the power.,0:22 / 3:42
cbkQEgf_TAs,English,you hold all the power.,0:23 / 3:42
cbkQEgf_TAs,English,,0:23 / 3:42
cbkQEgf_TAs,English,,0:24 / 3:42
cbkQEgf_TAs,English,Make your choice... Sylvanas Windrunner.,0:25 / 3:42
cbkQEgf_TAs,English,Make your choice... Sylvanas Windrunner.,0:26 / 3:42
cbkQEgf_TAs,English,Make your choice... Sylvanas Windrunner.,0:27 / 3:42
cbkQEgf_TAs,English,Make your choice... Sylvanas Windrunner.,0:28 / 3:42
cbkQEgf_TAs,English,,0:28 / 3:42
cbkQEgf_TAs,English,WIND WHOOSHING,0:29 / 3:42
cbkQEgf_TAs,English,WIND WHOOSHING,0:30 / 3:42
cbkQEgf_TAs,English,WIND WHOOSHING,0:31 / 3:42
cbkQEgf_TAs,English,,0:31 / 3:42
cbkQEgf_TAs,English,,0:32 / 3:42
cbkQEgf_TAs,English,,0:33 / 3:42
cbkQEgf_TAs,English,,0:34 / 3:42
cbkQEgf_TAs,English,,0:35 / 3:42
cbkQEgf_TAs,English,"THENIOS: Despite all our efforts,",0:36 / 3:42
cbkQEgf_TAs,English,"THENIOS: Despite all our efforts,",0:37 / 3:42
cbkQEgf_TAs,English,"THENIOS: Despite all our efforts,",0:38 / 3:42
cbkQEgf_TAs,English,the Maw continues to grow.,0:39 / 3:42
cbkQEgf_TAs,English,the Maw continues to grow.,0:40 / 3:42
cbkQEgf_TAs,English,the Maw continues to grow.,0:41 / 3:42
cbkQEgf_TAs,English,,0:42 / 3:42
cbkQEgf_TAs,English,What if Denathrius's treachery is irreparable?,0:42 / 3:42
cbkQEgf_TAs,English,What if Denathrius's treachery is irreparable?,0:43 / 3:42
cbkQEgf_TAs,English,What if Denathrius's treachery is irreparable?,0:44 / 3:42
cbkQEgf_TAs,English,What if Denathrius's treachery is irreparable?,0:45 / 3:42
cbkQEgf_TAs,English,,0:45 / 3:42
cbkQEgf_TAs,English,"The Primus is lost,",0:46 / 3:42
cbkQEgf_TAs,English,and Bastion cannot save the Shadowlands alone.,0:47 / 3:42
cbkQEgf_TAs,English,and Bastion cannot save the Shadowlands alone.,0:48 / 3:42
cbkQEgf_TAs,English,and Bastion cannot save the Shadowlands alone.,0:49 / 3:42
cbkQEgf_TAs,English,and Bastion cannot save the Shadowlands alone.,0:50 / 3:42
cbkQEgf_TAs,English,,0:51 / 3:42
cbkQEgf_TAs,English,None of this should have happened.,0:51 / 3:42
cbkQEgf_TAs,English,None of this should have happened.,0:52 / 3:42
cbkQEgf_TAs,English,None of this should have happened.,0:53 / 3:42
cbkQEgf_TAs,English,None of this should have happened.,0:54 / 3:42
cbkQEgf_TAs,English,Perhaps the Winter Queen could...,0:54 / 3:42
cbkQEgf_TAs,English,Perhaps the Winter Queen could...,0:55 / 3:42
cbkQEgf_TAs,English,Perhaps the Winter Queen could...,0:56 / 3:42
cbkQEgf_TAs,English,Perhaps the Winter Queen could...,0:57 / 3:42
cbkQEgf_TAs,English,WINGS FLAPPING,0:57 / 3:42
cbkQEgf_TAs,English,,0:58 / 3:42
cbkQEgf_TAs,English,,0:59 / 3:42
cbkQEgf_TAs,English,,1:00 / 3:42
cbkQEgf_TAs,English,My Archon...,1:00 / 3:42
cbkQEgf_TAs,English,My Archon...,1:01 / 3:42
cbkQEgf_TAs,English,My Archon...,1:02 / 3:42
cbkQEgf_TAs,English,a living soul seeks an audience.,1:02 / 3:42
cbkQEgf_TAs,English,a living soul seeks an audience.,1:03 / 3:42
cbkQEgf_TAs,English,a living soul seeks an audience.,1:04 / 3:42
cbkQEgf_TAs,English,a living soul seeks an audience.,1:05 / 3:42
cbkQEgf_TAs,English,A mortal?,1:06 / 3:42
cbkQEgf_TAs,English,A mortal?,1:07 / 3:42
cbkQEgf_TAs,English,,1:07 / 3:42
cbkQEgf_TAs,English,A king.,1:08 / 3:42
cbkQEgf_TAs,English,# UPLIFTING ORCHESTRAL MUSIC,1:09 / 3:42
cbkQEgf_TAs,English,# UPLIFTING ORCHESTRAL MUSIC,1:10 / 3:42
cbkQEgf_TAs,English,,1:11 / 3:42
cbkQEgf_TAs,English,KLEIA: By all our measures...,1:11 / 3:42
cbkQEgf_TAs,English,KLEIA: By all our measures...,1:12 / 3:42
cbkQEgf_TAs,English,,1:13 / 3:42
cbkQEgf_TAs,English,one who has spent his life,1:14 / 3:42
cbkQEgf_TAs,English,one who has spent his life,1:15 / 3:42
cbkQEgf_TAs,English,,1:16 / 3:42
cbkQEgf_TAs,English,striving for justice.,1:16 / 3:42
cbkQEgf_TAs,English,striving for justice.,1:17 / 3:42
cbkQEgf_TAs,English,striving for justice.,1:18 / 3:42
cbkQEgf_TAs,English,,1:18 / 3:42
cbkQEgf_TAs,English,,1:19 / 3:42
cbkQEgf_TAs,English,,1:20 / 3:42
cbkQEgf_TAs,English,One who would give anything to serve his people.,1:21 / 3:42
cbkQEgf_TAs,English,One who would give anything to serve his people.,1:22 / 3:42
cbkQEgf_TAs,English,One who would give anything to serve his people.,1:23 / 3:42
cbkQEgf_TAs,English,One who would give anything to serve his people.,1:24 / 3:42
cbkQEgf_TAs,English,One who would give anything to serve his people.,1:25 / 3:42
cbkQEgf_TAs,English,,1:25 / 3:42
cbkQEgf_TAs,English,,1:26 / 3:42
cbkQEgf_TAs,English,,1:27 / 3:42
cbkQEgf_TAs,English,,1:28 / 3:42
cbkQEgf_TAs,English,One whose heart...,1:28 / 3:42
cbkQEgf_TAs,English,One whose heart...,1:29 / 3:42
cbkQEgf_TAs,English,One whose heart...,1:30 / 3:42
cbkQEgf_TAs,English,,1:30 / 3:42
cbkQEgf_TAs,English,is true.,1:31 / 3:42
cbkQEgf_TAs,English,Very well.,1:32 / 3:42
cbkQEgf_TAs,English,Very well.,1:33 / 3:42
cbkQEgf_TAs,English,,1:33 / 3:42
cbkQEgf_TAs,English,,1:34 / 3:42
cbkQEgf_TAs,English,He may approach.,1:34 / 3:42
cbkQEgf_TAs,English,He may approach.,1:35 / 3:42
cbkQEgf_TAs,English,He may approach.,1:36 / 3:42
cbkQEgf_TAs,English,,1:36 / 3:42
cbkQEgf_TAs,English,,1:37 / 3:42
cbkQEgf_TAs,English,,1:38 / 3:42
