video_id,lang,text,timecode
YaZUlDdBq4g,English (United States) - Captions,"- Curdy curd curd, cheddar curds.",0:00 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"- Curdy curd curd, cheddar curds.",0:01 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"- Curdy curd curd, cheddar curds.",0:02 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- And they got 10 thumbs for fingers.,0:02 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- And they got 10 thumbs for fingers.,0:03 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- And they got 10 thumbs for fingers.,0:04 / 15:50
YaZUlDdBq4g,English (United States) - Captions,[Elizabeth laughs],0:04 / 15:50
YaZUlDdBq4g,English (United States) - Captions,They hold down the.,0:05 / 15:50
YaZUlDdBq4g,English (United States) - Captions,They hold down the.,0:06 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Oozy ba-boozy [hums].,0:06 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Oozy ba-boozy [hums].,0:07 / 15:50
YaZUlDdBq4g,English (United States) - Captions,,0:08 / 15:50
YaZUlDdBq4g,English (United States) - Captions,,0:09 / 15:50
YaZUlDdBq4g,English (United States) - Captions,[clapperboard clicks],0:10 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- I don't even know how to shoot this intro.,0:11 / 15:50
YaZUlDdBq4g,English (United States) - Captions,It's the first one we've ever made.,0:12 / 15:50
YaZUlDdBq4g,English (United States) - Captions,It's the first one we've ever made.,0:13 / 15:50
YaZUlDdBq4g,English (United States) - Captions,,0:14 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"Hey guys, I'm Brad Leone.",0:15 / 15:50
YaZUlDdBq4g,English (United States) - Captions,This is Taste Buds where we taste and explore foods.,0:16 / 15:50
YaZUlDdBq4g,English (United States) - Captions,This is Taste Buds where we taste and explore foods.,0:17 / 15:50
YaZUlDdBq4g,English (United States) - Captions,This is Taste Buds where we taste and explore foods.,0:18 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"Today, we're tasting cheeses",0:19 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"Today, we're tasting cheeses",0:20 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"with my guest, Elizabeth Olsen.",0:21 / 15:50
YaZUlDdBq4g,English (United States) - Captions,"with my guest, Elizabeth Olsen.",0:22 / 15:50
YaZUlDdBq4g,English (United States) - Captions,[upbeat music],0:22 / 15:50
YaZUlDdBq4g,English (United States) - Captions,[upbeat music],0:23 / 15:50
YaZUlDdBq4g,English (United States) - Captions,[upbeat music],0:24 / 15:50
YaZUlDdBq4g,English (United States) - Captions,[upbeat music],0:25 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Sorry your first episode is in different countries.,0:25 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Sorry your first episode is in different countries.,0:26 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Sorry your first episode is in different countries.,0:27 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Sorry your first episode is in different countries.,0:28 / 15:50
YaZUlDdBq4g,English (United States) - Captions,- Sorry your first episode is in different countries.,0:29 / 15:50
