"video_id","min_timecode","max_timecode","text.user","text.auto"
"cotyH4N1_Aw","00:00:00","00:00:04","- The PlayStation 5 costs $399.","the playstation 5 costs 399. now that"
"cotyH4N1_Aw","00:00:04","00:00:05","Now that we have pretty much","we have pretty"
"cotyH4N1_Aw","00:00:06","00:00:08","all the information we need on both the PS5,","much all the information we need on both the ps5"
"cotyH4N1_Aw","00:00:09","00:00:10","as well as the Xbox series X and S","as well as the xbox series x and s"
"cotyH4N1_Aw","00:00:11","00:00:11","let's take a look","let's take a look"
"cotyH4N1_Aw","00:00:12","00:00:13","because there is a lot to go through here.","because there is a lot to go through here so the big"
"cotyH4N1_Aw","00:00:13","00:00:15","So the big one of course is the price point.","one of course is the price point so"
"cotyH4N1_Aw","00:00:16","00:00:18","if you're purchasing a PlayStation 5 on November 12th,","if you're purchasing a playstation 5 on november 12th which is coincidentally"
"cotyH4N1_Aw","00:00:18","00:00:20","which is coincidentally only two days","only two days after"
"cotyH4N1_Aw","00:00:20","00:00:23","after the Xbox series S and X go on sale,","the xbox series s and x go on sale then you will have"
"cotyH4N1_Aw","00:00:23","00:00:25","then you will have two options.","two options now if"
"cotyH4N1_Aw","00:00:26","00:00:27","Now, if you want these Standard Vanilla PlayStation 5","you want the standard vanilla playstation"
"cotyH4N1_Aw","00:00:28","00:00:31","with an optical disk drive, that will run you $499.","5 with an optical disk drive that will run you 499"
"cotyH4N1_Aw","00:00:32","00:00:34","The same price of course as the Xbox series X.","the same price of course as the xbox series"
"cotyH4N1_Aw","00:00:35","00:00:37","However, if you want to go and drop out optical disk drive","x however if you want to go and drop that optical disk drive"
"cotyH4N1_Aw","00:00:38","00:00:39","and go for the digital edition of PS5,","and go for the digital edition of the ps5"
"cotyH4N1_Aw","00:00:40","00:00:42","you'll be able to save a full $100","you'll be able to save a full 100 and pick it up"
"cotyH4N1_Aw","00:00:42","00:00:44","and pick it up for $399 bucks.","for 399 bucks"
"cotyH4N1_Aw","00:00:45","00:00:45","Now, I don't think they need to tell you,","now i don't think i need to tell"
"cotyH4N1_Aw","00:00:46","00:00:48","that it is a very aggressive price point.","you that is a very aggressive price point there were tons"
"cotyH4N1_Aw","00:00:48","00:00:50","There were tons of rumors beforehand","of rumors beforehand that they were having issues"
"cotyH4N1_Aw","00:00:51","00:00:53","trying to get their price down to where they needed.","trying to get their price down to where they needed but after last"
"cotyH4N1_Aw","00:00:53","00:00:54","But after last week we saw Microsoft","week we"
"cotyH4N1_Aw","00:00:55","00:00:56","put their cards on the table","saw microsoft put their cards on the"
"cotyH4N1_Aw","00:00:57","00:00:59","and show off that very aggressive price point for","table and show off that very aggressive price point for specifically that"
"cotyH4N1_Aw","00:00:59","00:01:01","specifically that X-Box series S.","xbox series s i think"
"cotyH4N1_Aw","00:01:01","00:01:02","I think this is really Sony trying","this is really"
"cotyH4N1_Aw","00:01:03","00:01:04","to kind of meet them in the middle.","sony trying to kind of mute them in the middle now"
"cotyH4N1_Aw","00:01:05","00:01:06","Now between the PS 5 and the digital edition","between the ps5 and"
"cotyH4N1_Aw","00:01:07","00:01:08","for a $100 of difference.","the digital edition for 100 of difference you're"
"cotyH4N1_Aw","00:01:09","00:01:09","You're really not seeing much.","really not seeing much really"
"cotyH4N1_Aw","00:01:10","00:01:12","Really you just lose at least as far we know,","you just lose at least as far as we know you just lose"
"cotyH4N1_Aw","00:01:12","00:01:13","you just lose the obstacle disk drive.","the optical"
"cotyH4N1_Aw","00:01:14","00:01:15","There, there may be other changes, but as far as we know,","disk drive now there may be other changes but"
"cotyH4N1_Aw","00:01:16","00:01:18","there's no spec difference or anything like that.","as far as we know there's no spec difference or anything like that"
"cotyH4N1_Aw","00:01:18","00:01:20","There isn't key contrast","and that is in key contrast to what microsoft"
"cotyH4N1_Aw","00:01:20","00:01:23","to what Microsoft has done with the Xbox series S.","have done with the xbox series s so when"
"cotyH4N1_Aw","00:01:23","00:01:26","So when you look at the PS 5 versus the Xbox series X,","you look at the ps5 versus the xbox series x they're actually very"
"cotyH4N1_Aw","00:01:26","00:01:27","they're actually very equivalent, right?","equivalent"
"cotyH4N1_Aw","00:01:28","00:01:28","It's exact same price.","right the exact same price"
"cotyH4N1_Aw","00:01:29","00:01:30","You have optical disk drive.","you have optical disk drive"
"cotyH4N1_Aw","00:01:31","00:01:32","You have a little bit more power on the Xbox side,","you have a little bit more power on the xbox side"
"cotyH4N1_Aw","00:01:32","00:01:34","but they're pretty similar.","but they're pretty similar when you"
"cotyH4N1_Aw","00:01:34","00:01:35","When you compare the PS5 digital edition","compare the ps5 digital"
"cotyH4N1_Aw","00:01:36","00:01:39","to the Xbox series S they're very very different.","edition to the xbox series s they are very very different"
"cotyH4N1_Aw","00:01:40","00:01:42","So if you've seen our video on the Xbox series S,","so if you've seen our video on the xbox series s you'll know"
"cotyH4N1_Aw","00:01:43","00:01:43","but essentially this is a console","a lot of this but essentially this is"
"cotyH4N1_Aw","00:01:44","00:01:45","which will run the same games, right?","a console which will run the same games"
"cotyH4N1_Aw","00:01:46","00:01:46","So you'll be able","right so you'll be able to play all"
"cotyH4N1_Aw","00:01:46","00:01:48","to play all of the Xbox series X games as well,","the xbox series x games as well"
"cotyH4N1_Aw","00:01:48","00:01:50","as long as the older like Xbox one titles and whatnot","as a lot of the older like xbox one titles and"
"cotyH4N1_Aw","00:01:51","00:01:51","if you download them","whatnot if you download them"
"cotyH4N1_Aw","00:01:52","00:01:52","with the differences is","but the difference is it is"
"cotyH4N1_Aw","00:01:53","00:01:54","that it targeting a much lower resolution,","targeting a much lower resolution somewhere"
"cotyH4N1_Aw","00:01:54","00:01:57","somewhere between 1080P and 1440 P","between 1080p and 1440p now on the"
"cotyH4N1_Aw","00:01:58","00:01:59","now on PlayStation 5 digital edition side","playstation 5 digital edition side"
"cotyH4N1_Aw","00:02:00","00:02:01","that should have none of these limitations.","that should have none of these limitations"
"cotyH4N1_Aw","00:02:02","00:02:04","So essentially it is a full PS5","so essentially it is a full ps5 just without"
"cotyH4N1_Aw","00:02:04","00:02:06","just without the ability for you to buy","the ability for you to buy and"
"cotyH4N1_Aw","00:02:06","00:02:08","and insert your physical game discs.","insert your physical game discs now of"
"cotyH4N1_Aw","00:02:09","00:02:10","Now, of course, that might be a downside for some,","course that might be a downside for some"
"cotyH4N1_Aw","00:02:11","00:02:12","but considering that you're saving 100$","but considering that you're saving a hundred dollars"
"cotyH4N1_Aw","00:02:13","00:02:16","and able to still play games at like 4K and 128 FPS","and able to still play games at like 4k and 120 fps and whatever"
"cotyH4N1_Aw","00:02:17","00:02:18","and whatever it is that the main console can run.","it is that the main console can run"
"cotyH4N1_Aw","00:02:19","00:02:21","I think that is an incredibly impressive price point.","i think that is an incredibly impressive price point i mean"
"cotyH4N1_Aw","00:02:21","00:02:23","I mean, let's not forget, well, yes.","let's not forget well yes a hundred"
"cotyH4N1_Aw","00:02:23","00:02:25","100$ seems like no yeah.","dollars seems like oh yeah i guess it makes"
"cotyH4N1_Aw","00:02:25","00:02:26","Like some makes sense when you look at the blue Ray drive,","sense when you look at the blu-ray"
"cotyH4N1_Aw","00:02:27","00:02:28","but realistically Sony Microsoft","drive but realistically sony microsoft"
"cotyH4N1_Aw","00:02:29","00:02:31","probably are able to buy those Blu-ray drives for 20$,","probably are able to buy those blu-ray drives for 20 maybe"
"cotyH4N1_Aw","00:02:31","00:02:33","maybe $25 each,","25 each which means"
"cotyH4N1_Aw","00:02:33","00:02:34","which means that Sony are losing,","that sony are losing"
"cotyH4N1_Aw","00:02:35","00:02:37","leaving a ton of profit on the table.","leaving a ton of profit on the table when you"
"cotyH4N1_Aw","00:02:38","00:02:39","When you buy that PS5 digital edition","buy that ps5 digital edition compared"
"cotyH4N1_Aw","00:02:39","00:02:41","compared to the physical.","to the physical ps5 digital edition compared to the physical now there are a lot"
"cotyH4N1_Aw","00:02:41","00:02:42","Now, there are a lot of reasons for that.","of reasons for that i mean we'll"
"cotyH4N1_Aw","00:02:42","00:02:44","I mean, we'll talk a little about PlayStation plus,","talk a little bit about playstation plus and some of the"
"cotyH4N1_Aw","00:02:44","00:02:45","and some of the games that they're bringing out,","games that they're"
"cotyH4N1_Aw","00:02:46","00:02:46","but generally speaking,","bringing out but generally"
"cotyH4N1_Aw","00:02:47","00:02:49","I assume that they did this for first of all,","speaking i assume that they did this for first of all they want to actually"
"cotyH4N1_Aw","00:02:49","00:02:50","they want to actually be able to be very competitive","be able to be very competitive"
"cotyH4N1_Aw","00:02:51","00:02:52","with the Xbox.","with the xbox and secondly they're"
"cotyH4N1_Aw","00:02:52","00:02:53","And secondly, they're gonna make that money up","going to make that money up by"
"cotyH4N1_Aw","00:02:54","00:02:55","by taking all of that profit","taking all of that profit"
