"video_id","min_timecode","max_timecode","text.user","text.auto"
"_5SpM-QcccU","00:00:00","00:00:02","- This YouTuber, Joshua Weissman,","this youtuber joshua weissman he thinks"
"_5SpM-QcccU","00:00:02","00:00:05","he think he can make Uncle Roger's fried rice better?","he can make uncle roger fry rice better"
"_5SpM-QcccU","00:00:06","00:00:07","Haiyaa.","high yeah if you know uncle"
"_5SpM-QcccU","00:00:07","00:00:08","- If you know Uncle Roger, you know he's a pretty good","roger you know he's"
"_5SpM-QcccU","00:00:09","00:00:09","judge of fried rice.","a pretty good judge of fried rice"
"_5SpM-QcccU","00:00:10","00:00:11","And he just released his own fried rice recipe.","he just released his own fried rice recipe"
"_5SpM-QcccU","00:00:12","00:00:12","And some might say it's a perfect recipe,","and some might say it's a perfect recipe"
"_5SpM-QcccU","00:00:13","00:00:14","but I know we can make it better.","but i know we can make it better"
"_5SpM-QcccU","00:00:15","00:00:15","(swishes)","really he don't"
"_5SpM-QcccU","00:00:16","00:00:16","He don't even look like chef.","even look like chef"
"_5SpM-QcccU","00:00:17","00:00:20","He look more like guy who own more Bitcoin than friend.","he looked more like guy who owned more bitcoin than friend can"
"_5SpM-QcccU","00:00:21","00:00:23","Can he make Uncle Roger Fried Rice better?","he make uncle roger fight rise better can he make uncle roger fight rise better"
"_5SpM-QcccU","00:00:24","00:00:25","Uncle Roger be the judge of that.","uncle roger be the judge of"
"_5SpM-QcccU","00:00:25","00:00:26","(upbeat music)","that"
"_5SpM-QcccU","00:00:27","00:00:30","Niece and Nephew, Uncle Roger Youtooz figurine","niece and nephew uncle roger youtube's victory is"
"_5SpM-QcccU","00:00:31","00:00:31","is now live.","now live"
"_5SpM-QcccU","00:00:32","00:00:34","Put this little Uncle Roger on your desk","put this little uncle roger on your desk and"
"_5SpM-QcccU","00:00:35","00:00:36","and people know you good at making rice.","people know you're good at making"
"_5SpM-QcccU","00:00:37","00:00:39","Go buy it now, link in description.","rice go buy it now link in description they even"
"_5SpM-QcccU","00:00:39","00:00:42","They even have free international shipping.","have free international link in description they even have free international shipping"
"_5SpM-QcccU","00:00:42","00:00:45","That right, they ship this to you for free!","that's right they ship this to you for free"
"_5SpM-QcccU","00:00:46","00:00:47","Postman don't even get paid.","postman don't even get paid go buy this"
"_5SpM-QcccU","00:00:47","00:00:50","Go buy this figurine now, because once this design","figurine now because once this design sew out then"
"_5SpM-QcccU","00:00:50","00:00:52","sold out, then no more this design.","no more this design"
"_5SpM-QcccU","00:00:54","00:00:56","(upbeat music)","[Music] let's begin for"
"_5SpM-QcccU","00:00:56","00:00:57","- Now let's begin.","the record i"
"_5SpM-QcccU","00:00:58","00:00:58","- For the record, I actually love Uncle Roger,","actually love uncle roger i've"
"_5SpM-QcccU","00:00:59","00:00:59","I've watched him multiple times,","watched him multiple times and"
"_5SpM-QcccU","00:01:00","00:01:01","and I find him very entertaining.","i find him very entertaining oh"
"_5SpM-QcccU","00:01:01","00:01:04","- Oh, thank you, thank you Nephew Joshua.","thank you nephew joshua he even"
"_5SpM-QcccU","00:01:04","00:01:07","He even dress up like me Fuiyoh!","dressed up like me for you but his"
"_5SpM-QcccU","00:01:07","00:01:09","But his orange polo not the same","orange polo not the same"
"_5SpM-QcccU","00:01:10","00:01:11","as Uncle Roger orange polo.","as uncle roger orange polo i just"
"_5SpM-QcccU","00:01:11","00:01:13","I just get from random shop.","get from random shop but"
"_5SpM-QcccU","00:01:14","00:01:18","His orange polo have that little man on horse logo.","his orange polo has that little random shop but his orange polo has that little man on horse logo"
"_5SpM-QcccU","00:01:19","00:01:20","Let's see where he get it from.","let's see where he get it from hi"
"_5SpM-QcccU","00:01:20","00:01:25","Haiyaa, 85 pound for polo!","uh 85 pound for polo you think money"
"_5SpM-QcccU","00:01:25","00:01:27","He think money grow on tree.","go on tree so expensive"
"_5SpM-QcccU","00:01:27","00:01:28","So expensive.","who he think he"
"_5SpM-QcccU","00:01:28","00:01:29","Who he think he is.","is uncle"
"_5SpM-QcccU","00:01:30","00:01:32","Uncle Roger can buy that little man on horse","roger can bite that little man on horse"
"_5SpM-QcccU","00:01:33","00:01:34","for three pound, and iron on shirt.","for three pound and iron on [ __ ]"
"_5SpM-QcccU","00:01:35","00:01:39","And see, he also wearing Rolex, what is this?","and see he also wearing rolex and iron on [ __ ] and see he also wearing rolex what is this is this egg"
"_5SpM-QcccU","00:01:39","00:01:42","Is this egg fried rice video a fashion show?","fire rice video of fashion show"
"_5SpM-QcccU","00:01:43","00:01:44","- Double onioning this one, all right,","double onioning this one all right i"
"_5SpM-QcccU","00:01:45","00:01:46","I respect that.","respect that"
"_5SpM-QcccU","00:01:46","00:01:48","Ooh, when he chopped that green onion,","when he chopped that green onion"
"_5SpM-QcccU","00:01:49","00:01:50","his hand was like this, and he was just like.","his hand was like this and he was just like"
"_5SpM-QcccU","00:01:52","00:01:54","- Don't worry, Uncle Roger single,","don't worry uncle roger's single very confident"
"_5SpM-QcccU","00:01:54","00:01:57","very confident in my right hand.","in my right hand"
"_5SpM-QcccU","00:01:59","00:01:59","Sorry children.","sorry children"
"_5SpM-QcccU","00:02:00","00:02:00","(beeps)","the book all"
"_5SpM-QcccU","00:02:01","00:02:01","- The book, all the by the book.","by the book"
"_5SpM-QcccU","00:02:01","00:02:03","He sauteed his veg soften, his eggs go in.","you sauteed his veg softened eggs go in"
"_5SpM-QcccU","00:02:04","00:02:05","","almost look at this"
"_5SpM-QcccU","00:02:05","00:02:08","- Look at this, the headphone not even plugged in.","the headphone not even plugged in he's just"
"_5SpM-QcccU","00:02:08","00:02:11","He just giving the illusion of listening,","giving the illusion of listening just like me"
"_5SpM-QcccU","00:02:11","00:02:14","just like me in my previous marriage.","in my previous marriage we have the data"
"_5SpM-QcccU","00:02:14","00:02:15","- We have the data that we need,","that we need uncle"
"_5SpM-QcccU","00:02:15","00:02:17","Uncle Roger, that's a good looking fried rice.","roger that's a good looking fried rice now i do"
"_5SpM-QcccU","00:02:17","00:02:19","Now, I do think that we can do better.","think that we can do better before"
"_5SpM-QcccU","00:02:20","00:02:21","Before we can even start making your fried rice,","we can even start making your fried rice"
"_5SpM-QcccU","00:02:22","00:02:22","you need, well, rice.","you need well rice"
"_5SpM-QcccU","00:02:23","00:02:25","It must be leftover cold rice.","it must be leftover cold rice all right cooked"
"_5SpM-QcccU","00:02:26","00:02:26","- [Joshua] But that said, let's talk about","with that said let's"
"_5SpM-QcccU","00:02:27","00:02:28","how to cook your rice.","talk about how to cook your rice uncle roger"
"_5SpM-QcccU","00:02:28","00:02:29","Uncle Roger is correct, the holy grail","is correct the holy grail"
"_5SpM-QcccU","00:02:30","00:02:33","of rice cookery is a beautiful rice cooker.","of rice cookery is a beautiful rice cooker"
"_5SpM-QcccU","00:02:34","00:02:34","(Uncle Roger gasps)","it's uncle"
"_5SpM-QcccU","00:02:35","00:02:36","- Is Uncle Roger hallucinating?","roger hallucinating"
"_5SpM-QcccU","00:02:37","00:02:40","This is first white guy with rice cooker!","this is first white guy with rice cooker"
"_5SpM-QcccU","00:02:40","00:02:41","","uncle roger"
