video_id,lang,text,timecode
toVfvRhWbj8,English,- This is a carburetor and this is a special 3D printed,0:00 / 24:37
toVfvRhWbj8,English,- This is a carburetor and this is a special 3D printed,0:01 / 24:37
toVfvRhWbj8,English,- This is a carburetor and this is a special 3D printed,0:02 / 24:37
toVfvRhWbj8,English,- This is a carburetor and this is a special 3D printed,0:03 / 24:37
toVfvRhWbj8,English,see-through carburetor.,0:04 / 24:37
toVfvRhWbj8,English,see-through carburetor.,0:05 / 24:37
toVfvRhWbj8,English,And this is a high-speed camera with a macro lens on it.,0:06 / 24:37
toVfvRhWbj8,English,And this is a high-speed camera with a macro lens on it.,0:07 / 24:37
toVfvRhWbj8,English,And this is a high-speed camera with a macro lens on it.,0:08 / 24:37
toVfvRhWbj8,English,You see where this is going.,0:09 / 24:37
toVfvRhWbj8,English,"If you've ever cranked some type of lawn care product,",0:10 / 24:37
toVfvRhWbj8,English,"If you've ever cranked some type of lawn care product,",0:11 / 24:37
toVfvRhWbj8,English,"If you've ever cranked some type of lawn care product,",0:12 / 24:37
toVfvRhWbj8,English,"with a small engine on it,",0:12 / 24:37
toVfvRhWbj8,English,"with a small engine on it,",0:13 / 24:37
toVfvRhWbj8,English,you have interacted at some point with a carburetor.,0:13 / 24:37
toVfvRhWbj8,English,you have interacted at some point with a carburetor.,0:14 / 24:37
toVfvRhWbj8,English,you have interacted at some point with a carburetor.,0:15 / 24:37
toVfvRhWbj8,English,you have interacted at some point with a carburetor.,0:16 / 24:37
toVfvRhWbj8,English,"The question is, what does this little device do?",0:17 / 24:37
toVfvRhWbj8,English,"The question is, what does this little device do?",0:18 / 24:37
toVfvRhWbj8,English,"Yes, it mixes air and fuel together.",0:19 / 24:37
toVfvRhWbj8,English,"Yes, it mixes air and fuel together.",0:20 / 24:37
toVfvRhWbj8,English,"But how, like,",0:21 / 24:37
toVfvRhWbj8,English,I want to understand how it works.,0:22 / 24:37
toVfvRhWbj8,English,I want to understand how it works.,0:23 / 24:37
toVfvRhWbj8,English,I want to understand how it works.,0:24 / 24:37
toVfvRhWbj8,English,"As a mechanical engineer,",0:24 / 24:37
toVfvRhWbj8,English,"As a mechanical engineer,",0:25 / 24:37
toVfvRhWbj8,English,I thought I had an understanding of carburetors until the,0:25 / 24:37
toVfvRhWbj8,English,I thought I had an understanding of carburetors until the,0:26 / 24:37
toVfvRhWbj8,English,I thought I had an understanding of carburetors until the,0:27 / 24:37
toVfvRhWbj8,English,I thought I had an understanding of carburetors until the,0:28 / 24:37
toVfvRhWbj8,English,day I went to visit my dad,0:28 / 24:37
toVfvRhWbj8,English,day I went to visit my dad,0:29 / 24:37
toVfvRhWbj8,English,who was replacing a carburetor on his tiller.,0:30 / 24:37
