video_id,lang,text,timecode
LQWJAhSfwwo,English - en,,0:00 / 0:46
LQWJAhSfwwo,English - en,,0:01 / 0:46
LQWJAhSfwwo,English - en,MIKAEL IS ACCUSED OF,0:01 / 0:46
LQWJAhSfwwo,English - en,MIKAEL IS ACCUSED OF,0:02 / 0:46
LQWJAhSfwwo,English - en,MAINTAINING A PROSTITUTION RING,0:02 / 0:46
LQWJAhSfwwo,English - en,MAINTAINING A PROSTITUTION RING,0:03 / 0:46
LQWJAhSfwwo,English - en,MAINTAINING A PROSTITUTION RING,0:04 / 0:46
LQWJAhSfwwo,English - en,,0:04 / 0:46
LQWJAhSfwwo,English - en,,0:05 / 0:46
LQWJAhSfwwo,English - en,,0:06 / 0:46
LQWJAhSfwwo,English - en,,0:07 / 0:46
LQWJAhSfwwo,English - en,FOR ABOUT A YEAR IN ARIZONA.,0:07 / 0:46
LQWJAhSfwwo,English - en,FOR ABOUT A YEAR IN ARIZONA.,0:08 / 0:46
LQWJAhSfwwo,English - en,TONIGHT AND M-8 CLAIMS HE,0:09 / 0:46
LQWJAhSfwwo,English - en,TONIGHT AND M-8 CLAIMS HE,0:10 / 0:46
LQWJAhSfwwo,English - en,SUCKED INTO R. KELLY'S GEL CELL,0:11 / 0:46
LQWJAhSfwwo,English - en,SUCKED INTO R. KELLY'S GEL CELL,0:12 / 0:46
LQWJAhSfwwo,English - en,SUCKED INTO R. KELLY'S GEL CELL,0:13 / 0:46
LQWJAhSfwwo,English - en,SUCKED INTO R. KELLY'S GEL CELL,0:14 / 0:46
LQWJAhSfwwo,English - en,SUCKED INTO R. KELLY'S GEL CELL,0:15 / 0:46
LQWJAhSfwwo,English - en,SUCKED INTO R. KELLY'S GEL CELL,0:16 / 0:46
LQWJAhSfwwo,English - en,TO ATTACK THE SINGER.,0:16 / 0:46
LQWJAhSfwwo,English - en,THIS IS JEREMIAH FARMER WHO,0:17 / 0:46
LQWJAhSfwwo,English - en,CLAIMS HE WAS FORCED TO BEAT,0:18 / 0:46
LQWJAhSfwwo,English - en,THE GRAMMY WINNER.,0:19 / 0:46
LQWJAhSfwwo,English - en,THE GRAMMY WINNER.,0:20 / 0:46
LQWJAhSfwwo,English - en,R. KELLY WAS ASLEEP IN HIS,0:20 / 0:46
LQWJAhSfwwo,English - en,CELL AT THE METROPOLITAN,0:21 / 0:46
LQWJAhSfwwo,English - en,CELL AT THE METROPOLITAN,0:22 / 0:46
LQWJAhSfwwo,English - en,CORRECTIONAL CENTER WHEN HE WAS,0:22 / 0:46
LQWJAhSfwwo,English - en,ATTACKED.,0:23 / 0:46
LQWJAhSfwwo,English - en,ATTACKED.,0:24 / 0:46
LQWJAhSfwwo,English - en,ATTACKED.,0:25 / 0:46
LQWJAhSfwwo,English - en,"JEREMIAH FARMER , AND JAIL FOR",0:26 / 0:46
LQWJAhSfwwo,English - en,"JEREMIAH FARMER , AND JAIL FOR",0:27 / 0:46
LQWJAhSfwwo,English - en,"RACKETEERING, LASER OUT IN THIS",0:27 / 0:46
LQWJAhSfwwo,English - en,"RACKETEERING, LASER OUT IN THIS",0:28 / 0:46
LQWJAhSfwwo,English - en,APPEAL TO THE SEVENTH CIRCUIT.,0:28 / 0:46
LQWJAhSfwwo,English - en,APPEAL TO THE SEVENTH CIRCUIT.,0:29 / 0:46
LQWJAhSfwwo,English - en,APPEAL TO THE SEVENTH CIRCUIT.,0:30 / 0:46
